Year,GeoAreaName,Quantile,Value
2000,Kyrgyzstan,B50,6.8
2001,Kyrgyzstan,B50,7.2
2002,Kyrgyzstan,B50,7.5
2003,Kyrgyzstan,B50,5.7
2004,Kyrgyzstan,B50,8.2
2005,Kyrgyzstan,B50,7.1
2006,Kyrgyzstan,B50,10.1
2007,Kyrgyzstan,B50,10.7
2008,Kyrgyzstan,B50,8.9
2009,Kyrgyzstan,B50,5.6
1996,Albania,B50,7.5
2002,Albania,B50,8.4
2005,Albania,B50,9
2008,Albania,B50,7.2
2012,Albania,B50,7.8
2014,Albania,B50,14.4
2015,Albania,B50,10.8
2016,Albania,B50,12.7
2017,Albania,B50,11.7
2018,Albania,B50,11.8
2010,Kyrgyzstan,B50,7.6
2011,Kyrgyzstan,B50,4.8
2012,Kyrgyzstan,B50,5.3
2013,Kyrgyzstan,B50,5.3
2014,Kyrgyzstan,B50,3.4
2015,Kyrgyzstan,B50,4.5
2016,Kyrgyzstan,B50,3.6
2017,Kyrgyzstan,B50,3.8
2018,Kyrgyzstan,B50,3.8
2019,Kyrgyzstan,B50,3.8
2020,Kyrgyzstan,B50,5
2004,Latvia,B50,12.6
2005,Latvia,B50,14.1
2006,Latvia,B50,11.1
2007,Latvia,B50,13.9
2008,Latvia,B50,15.1
2009,Latvia,B50,15.5
2010,Latvia,B50,16.1
2011,Latvia,B50,14.6
2012,Latvia,B50,14.3
2019,Albania,B50,8.6
2020,Albania,B50,9.6
1995,Azerbaijan,B50,12.5
2001,Azerbaijan,B50,9.6
2002,Azerbaijan,B50,1.9
2003,Azerbaijan,B50,3.1
2004,Azerbaijan,B50,1
2005,Azerbaijan,B50,0.9
1994,Austria,B50,9.2
1995,Austria,B50,9.7
2013,Latvia,B50,13.8
2014,Latvia,B50,13.3
2015,Latvia,B50,11.7
2016,Latvia,B50,12.5
2017,Latvia,B50,12.8
2018,Latvia,B50,11.9
2019,Latvia,B50,11.9
2020,Latvia,B50,12.2
2004,Lithuania,B50,16.1
2005,Lithuania,B50,14.4
1996,Austria,B50,8.5
1997,Austria,B50,9.2
1998,Austria,B50,8.7
1999,Austria,B50,8
2000,Austria,B50,8
2003,Austria,B50,8.8
2004,Austria,B50,8.5
2005,Austria,B50,7.9
2006,Austria,B50,8.1
2007,Austria,B50,10
2008,Austria,B50,10.4
2009,Austria,B50,11.3
2010,Austria,B50,10.4
2011,Austria,B50,10.1
2012,Austria,B50,10.7
2013,Austria,B50,9.6
2014,Austria,B50,10.5
2015,Austria,B50,11.3
2016,Austria,B50,10.7
2017,Austria,B50,10.7
2018,Austria,B50,10.2
2019,Austria,B50,10.5
2020,Austria,B50,11
1999,Armenia,B50,9.3
2001,Armenia,B50,9.3
2002,Armenia,B50,7.3
2003,Armenia,B50,6.3
2004,Armenia,B50,8
2005,Armenia,B50,6.9
2006,Armenia,B50,7
2007,Armenia,B50,8.2
2008,Armenia,B50,6.4
2009,Armenia,B50,5.7
2010,Armenia,B50,6.1
2011,Armenia,B50,6.5
2012,Armenia,B50,7.3
2013,Armenia,B50,8
2014,Armenia,B50,8.4
2015,Armenia,B50,8.8
2016,Armenia,B50,11.8
2017,Armenia,B50,6.9
2018,Armenia,B50,7.8
2019,Armenia,B50,7.3
2020,Armenia,B50,4.6
2021,Armenia,B50,6.3
1985,Belgium,B50,6
1988,Belgium,B50,6.7
1992,Belgium,B50,7
1995,Belgium,B50,8.4
1997,Belgium,B50,8
2000,Belgium,B50,7
2003,Belgium,B50,9.3
2004,Belgium,B50,9.1
2005,Belgium,B50,8.5
2006,Belgium,B50,9.1
2007,Belgium,B50,9.1
2008,Belgium,B50,8.8
2009,Belgium,B50,9.4
2010,Belgium,B50,9.6
2011,Belgium,B50,10.2
2012,Belgium,B50,9.1
2013,Belgium,B50,10.1
2014,Belgium,B50,9.7
2015,Belgium,B50,10.5
2016,Belgium,B50,10.2
2017,Belgium,B50,9.9
2018,Belgium,B50,9.6
2019,Belgium,B50,8.6
2020,Belgium,B50,7.9
2001,Bosnia and Herzegovina,B50,7.7
2004,Bosnia and Herzegovina,B50,11.7
2007,Bosnia and Herzegovina,B50,11.9
2011,Bosnia and Herzegovina,B50,11.8
2006,Bulgaria,B50,15.8
2007,Bulgaria,B50,13.2
2008,Bulgaria,B50,12.6
2009,Bulgaria,B50,13.9
2010,Bulgaria,B50,15.1
2011,Bulgaria,B50,14.1
2012,Bulgaria,B50,14.9
2013,Bulgaria,B50,16
2014,Bulgaria,B50,14.9
2015,Bulgaria,B50,16.3
2016,Bulgaria,B50,15.7
2017,Bulgaria,B50,15.3
2018,Bulgaria,B50,14.1
2019,Bulgaria,B50,15.1
2020,Bulgaria,B50,13
1998,Belarus,B50,10.6
1999,Belarus,B50,12.1
2000,Belarus,B50,11.1
2001,Belarus,B50,10.3
2002,Belarus,B50,9.7
2003,Belarus,B50,9.3
2004,Belarus,B50,7.5
2005,Belarus,B50,8.9
2006,Belarus,B50,9.3
2007,Belarus,B50,8.7
2008,Belarus,B50,8.5
2009,Belarus,B50,7.9
2010,Belarus,B50,8.5
2011,Belarus,B50,8.2
2012,Belarus,B50,7
2013,Belarus,B50,6.6
2014,Belarus,B50,6.8
2015,Belarus,B50,6.2
2016,Belarus,B50,5.9
2017,Belarus,B50,5.2
2018,Belarus,B50,5.2
2019,Belarus,B50,5.5
2020,Belarus,B50,3.9
2009,Croatia,B50,13.7
2010,Croatia,B50,13.9
2011,Croatia,B50,14.4
2012,Croatia,B50,14.5
2013,Croatia,B50,13.7
2014,Croatia,B50,13.7
2015,Croatia,B50,13.9
2016,Croatia,B50,14.1
2017,Croatia,B50,13.2
2018,Croatia,B50,11.5
2019,Croatia,B50,11.3
2020,Croatia,B50,11.6
2004,Cyprus,B50,7
2005,Cyprus,B50,5.9
2006,Cyprus,B50,6.6
2007,Cyprus,B50,7.4
2008,Cyprus,B50,7.8
2009,Cyprus,B50,7.2
2010,Cyprus,B50,7.2
2011,Cyprus,B50,7.2
2012,Cyprus,B50,8.4
2013,Cyprus,B50,8
2014,Cyprus,B50,9.7
2015,Cyprus,B50,10.1
2016,Cyprus,B50,8.3
2017,Cyprus,B50,8.5
2018,Cyprus,B50,7.5
2019,Cyprus,B50,7.7
2020,Cyprus,B50,7.1
1992,Czechia,B50,2
1993,Czechia,B50,2.1
1996,Czechia,B50,5.7
2002,Czechia,B50,7
2004,Czechia,B50,7.9
2005,Czechia,B50,7.7
2006,Czechia,B50,7
2007,Czechia,B50,5.9
2008,Czechia,B50,5.8
2009,Czechia,B50,6.2
2010,Czechia,B50,7.1
2011,Czechia,B50,7.7
2012,Czechia,B50,6.3
2013,Czechia,B50,7
2014,Czechia,B50,6.1
2015,Czechia,B50,6.5
2016,Czechia,B50,5.4
2017,Czechia,B50,4.7
