Year,GeoAreaName,Name of international institution,Value
2010,Albania,IMF,0.54945
2015,Albania,WTO,0.625
2015,Albania,UNGA,0.51813
2015,Albania,IMF,0.53191
2015,Albania,ECOSOC,1.85185
2015,Albania,IBRD,0.53191
2015,Albania,IFC,0.54348
2016,Albania,IFC,0.54348
2016,Albania,IMF,0.53191
2016,Albania,IBRD,0.53191
2016,Albania,UNGA,0.51813
2016,Albania,WTO,0.61728
2017,Albania,UNGA,0.51813
2017,Albania,WTO,0.60976
2017,Albania,IBRD,0.5291
2017,Albania,IMF,0.5291
2017,Albania,IFC,0.54348
2018,Albania,IFC,0.54348
2018,Albania,IMF,0.5291
2018,Albania,IBRD,0.5291
2018,Albania,WTO,0.60976
2018,Albania,UNGA,0.51813
2019,Albania,WTO,0.60976
2019,Albania,UNGA,0.51813
2019,Albania,IBRD,0.5291
2019,Albania,IMF,0.5291
2019,Albania,IFC,0.5435
2020,Albania,IFC,0.54054
2020,Albania,IBRD,0.5291
2020,Albania,IMF,0.5291
2020,Albania,UNGA,0.51813
2020,Albania,WTO,0.60976
2021,Albania,IMF,0.52632
2021,Albania,WTO,0.60976
2021,Albania,UNGA,0.51813
2021,Albania,IFC,0.54054
2021,Albania,IBRD,0.5291
2000,Azerbaijan,UNGA,0.5291
2000,Azerbaijan,IMF,0.5618
2000,Azerbaijan,IFC,0.57471
2000,Azerbaijan,IBRD,0.54945
2000,Azerbaijan,ADB,1.6949
2005,Azerbaijan,UNGA,0.52356
2005,Azerbaijan,ADB,1.5625
2005,Azerbaijan,ECOSOC,1.85185
2005,Azerbaijan,IMF,0.55249
2005,Azerbaijan,IBRD,0.54348
2005,Azerbaijan,IFC,0.5618
2010,Azerbaijan,IFC,0.54945
2010,Azerbaijan,IBRD,0.53476
2010,Azerbaijan,UNGA,0.52083
2010,Azerbaijan,IMF,0.54945
2010,Azerbaijan,ADB,1.4925
2015,Azerbaijan,ADB,1.4925
2015,Azerbaijan,IBRD,0.53191
2015,Azerbaijan,IMF,0.53191
2015,Azerbaijan,UNGA,0.51813
2015,Azerbaijan,IFC,0.54348
2016,Azerbaijan,IFC,0.54348
2016,Azerbaijan,IMF,0.53191
2016,Azerbaijan,UNGA,0.51813
2016,Azerbaijan,IBRD,0.53191
2016,Azerbaijan,ADB,1.4925
2017,Azerbaijan,ADB,1.4925
2017,Azerbaijan,ECOSOC,1.85185185185185
2017,Azerbaijan,UNGA,0.51813
2017,Azerbaijan,IBRD,0.5291
2017,Azerbaijan,IMF,0.5291
2017,Azerbaijan,IFC,0.54348
2018,Azerbaijan,IFC,0.54348
2018,Azerbaijan,IMF,0.5291
2018,Azerbaijan,IBRD,0.5291
2018,Azerbaijan,ECOSOC,1.8519
2018,Azerbaijan,ADB,1.4925
2018,Azerbaijan,UNGA,0.51813
2019,Azerbaijan,ADB,1.47059
2019,Azerbaijan,IBRD,0.5291
2000,Ireland,WTO,0.71429
2000,Ireland,UNGA,0.5291
2000,Ireland,IMF,0.5618
2000,Ireland,IFC,0.57471
2000,Ireland,IBRD,0.54945
2005,Ireland,WTO,0.67114
2005,Ireland,IBRD,0.54348
2005,Ireland,IMF,0.55249
2005,Ireland,ECOSOC,1.85185
2005,Ireland,IFC,0.5618
2005,Ireland,UNGA,0.52356
2019,Azerbaijan,ECOSOC,1.85185
2019,Azerbaijan,UNGA,0.51813
2019,Azerbaijan,IMF,0.5291
2019,Azerbaijan,IFC,0.5435
2020,Azerbaijan,IFC,0.54054
2020,Azerbaijan,IBRD,0.5291
2020,Azerbaijan,IMF,0.5291
2020,Azerbaijan,UNGA,0.51813
2020,Azerbaijan,ADB,1.47059
2021,Azerbaijan,UNGA,0.51813
2021,Azerbaijan,IMF,0.52632
2000,Croatia,IBRD,0.54945
2000,Croatia,IADB,2.17391
2000,Croatia,UNGA,0.5291
2000,Croatia,WTO,0.71429
2000,Croatia,IMF,0.5618
2000,Croatia,IFC,0.57471
2000,Croatia,ECOSOC,1.85185
2005,Croatia,WTO,0.67114
2005,Croatia,IMF,0.55249
2005,Croatia,IFC,0.5618
2005,Croatia,UNGA,0.52356
2010,Ireland,WTO,0.65359
2010,Ireland,IFC,0.54945
2010,Ireland,IMF,0.54945
2010,Ireland,ADB,1.4925
2010,Ireland,IBRD,0.53476
2010,Ireland,UNGA,0.52083
2015,Ireland,IBRD,0.53191
2015,Ireland,ADB,1.4925
2015,Ireland,IMF,0.53191
2015,Ireland,IFC,0.54348
2015,Ireland,UNGA,0.51813
2005,Croatia,IBRD,0.54348
2005,Croatia,IADB,2.12766
2010,Croatia,IFC,0.54945
2010,Croatia,IMF,0.54945
2010,Croatia,IBRD,0.53476
2010,Croatia,WTO,0.65359
2010,Croatia,UNGA,0.52083
2010,Croatia,IADB,2.08333
2015,Croatia,IADB,2.08333
2015,Croatia,UNGA,0.51813
2015,Croatia,IBRD,0.53191
2015,Ireland,WTO,0.625
2016,Ireland,UNGA,0.51813
2016,Ireland,IFC,0.54348
2016,Ireland,IMF,0.53191
2016,Ireland,ECOSOC,1.85185
2016,Ireland,ADB,1.4925
2016,Ireland,IBRD,0.53191
2016,Ireland,WTO,0.61728
2017,Ireland,UNGA,0.51813
2017,Ireland,IBRD,0.5291
2017,Ireland,ADB,1.4925
2021,Azerbaijan,IFC,0.54054
2021,Azerbaijan,IBRD,0.5291
2000,Austria,IMF,0.5618
2000,Austria,IFC,0.57471
2000,Austria,ECOSOC,1.85185
2000,Austria,ADB,1.6949
2000,Austria,AFDB,1.2987
2000,Austria,IBRD,0.54945
2000,Austria,IADB,2.17391
2000,Austria,WTO,0.71429
2000,Austria,UNGA,0.5291
2000,Albania,IMF,0.5618
2000,Albania,IFC,0.57471
2000,Albania,IBRD,0.54945
2000,Albania,UNGA,0.5291
2000,Albania,WTO,0.71429
2005,Albania,UNGA,0.52356
2005,Albania,IBRD,0.54348
2005,Albania,WTO,0.67114
2005,Albania,ECOSOC,1.85185
2005,Albania,IMF,0.55249
2005,Albania,IFC,0.5618
2015,Croatia,IMF,0.53191
2015,Croatia,ECOSOC,1.85185
2015,Croatia,WTO,0.625
2015,Croatia,IFC,0.54348
2016,Croatia,IFC,0.54348
2016,Croatia,IMF,0.53191
2016,Croatia,WTO,0.61728
2016,Croatia,IBRD,0.53191
2016,Croatia,UNGA,0.51813
2016,Croatia,IADB,2.08333
2017,Croatia,IADB,2.08333
2017,Croatia,IBRD,0.5291
2017,Croatia,UNGA,0.51813
2017,Croatia,WTO,0.60976
2017,Croatia,IMF,0.5291
2017,Croatia,IFC,0.54348
2018,Croatia,IFC,0.54348
2018,Croatia,IMF,0.5291
2018,Croatia,WTO,0.60976
2018,Croatia,IBRD,0.5291
2018,Croatia,IADB,2.08333
2018,Croatia,UNGA,0.51813
2017,Ireland,ECOSOC,1.85185185185185
2017,Ireland,IMF,0.5291
2017,Ireland,IFC,0.54348
2017,Ireland,WTO,0.60976
2018,Ireland,WTO,0.60976
2018,Ireland,UNGA,0.51813
2018,Ireland,IFC,0.54348
2018,Ireland,IMF,0.5291
2018,Ireland,ECOSOC,1.8519
2018,Ireland,ADB,1.4925
2018,Ireland,IBRD,0.5291
2010,Albania,UNGA,0.52083
2010,Albania,IBRD,0.53476
2010,Albania,WTO,0.65359
2010,Albania,IFC,0.54945
2000,Netherlands,IMF,0.5618
2000,Netherlands,IFC,0.57471
2000,Netherlands,AFDB,1.2987
2000,Netherlands,ADB,1.6949
2000,Netherlands,IBRD,0.54945
2000,Netherlands,IADB,2.17391
2000,Netherlands,UNSC,6.66667
2019,Croatia,UNGA,0.51813
2019,Croatia,WTO,0.60976
2019,Croatia,IADB,2.08333
2019,Croatia,IBRD,0.5291
2019,Croatia,IMF,0.5291
2019,Croatia,IFC,0.5435
2020,Croatia,IFC,0.54054
2020,Croatia,IBRD,0.5291
2020,Croatia,IMF,0.5291
2020,Croatia,UNGA,0.51813
2020,Croatia,WTO,0.60976
2000,Netherlands,WTO,0.71429
2000,Netherlands,UNGA,0.5291
2005,Netherlands,IFC,0.5618
2005,Netherlands,IADB,2.12766
2005,Netherlands,IBRD,0.54348
2005,Netherlands,WTO,0.67114
2005,Netherlands,UNGA,0.52356
2005,Netherlands,ADB,1.5625
2005,Netherlands,AFDB,1.2987
2005,Netherlands,IMF,0.55249
2010,Netherlands,IFC,0.54945
2019,Ireland,IBRD,0.5291
2019,Ireland,WTO,0.60976
2019,Ireland,ADB,1.47059
2019,Ireland,ECOSOC,1.85185
2019,Ireland,IMF,0.5291
2019,Ireland,IFC,0.5435
2019,Ireland,UNGA,0.51813
2020,Ireland,IBRD,0.5291
