Year,GeoAreaName,Level_of_government,Value
2019,Bosnia and Herzegovina,_T,2.67585
2020,Bosnia and Herzegovina,_T,2.89309
2021,Bosnia and Herzegovina,_T,3.03219
2019,Belarus,_T,0.5428
2019,Denmark,_T,52.051
2020,Denmark,_T,63.61151
2017,Finland,_T,2.52104
2018,Finland,_T,6.52073
2019,Finland,_T,10.11835
2020,Finland,_T,5.81836
2018,France,_T,26.45044
2019,France,_T,27.61678
2020,France,_T,41.09536
2021,Georgia,_T,10.10492
2020,Luxembourg,_T,27.43858
2021,Luxembourg,_T,32.03984
2020,Malta,_T,144.61074
2017,Spain,_T,9.57644
2018,Spain,_T,10.29004
2019,Spain,_T,10.63301
2020,Spain,_T,3.91474
2018,Sweden,_T,39.24652
2019,Sweden,_T,29.23392
2020,Sweden,_T,28.82891
2021,Sweden,_T,60.33052
2018,Switzerland,_T,77.0288
2019,Switzerland,_T,81.65969
2020,Switzerland,_T,90.24376
2020,Switzerland,_T,90.24376
