Year,GeoAreaName,Sex,Type of occupation,Value
2013,Albania,MALE,NURS,31.50
2013,Albania,FEMALE,NURS,68.50
2013,Albania,MALE,PHYS,53.10
2013,Albania,FEMALE,PHYS,46.90
2013,Azerbaijan,FEMALE,PHYS,64.70
2013,Azerbaijan,MALE,PHYS,35.30
2016,Austria,FEMALE,NURS,93.20
2016,Austria,MALE,NURS,6.80
2000,Armenia,FEMALE,PHYS,71.30
2000,Armenia,MALE,PHYS,28.70
2001,Armenia,FEMALE,PHYS,71.80
2001,Armenia,MALE,PHYS,28.20
2002,Armenia,MALE,PHYS,29.20
2002,Armenia,FEMALE,PHYS,70.80
2003,Armenia,FEMALE,PHYS,70.40
2003,Armenia,MALE,PHYS,29.60
2004,Armenia,MALE,PHYS,29.60
2004,Armenia,FEMALE,PHYS,70.40
2005,Armenia,FEMALE,PHYS,70.60
2005,Armenia,MALE,PHYS,29.40
2006,Armenia,MALE,PHYS,29.50
2006,Armenia,FEMALE,PHYS,70.50
2007,Armenia,FEMALE,PHYS,70.70
2007,Armenia,MALE,PHYS,29.30
2008,Armenia,MALE,PHYS,29.60
2008,Armenia,FEMALE,PHYS,70.40
2009,Armenia,MALE,PHYS,30.00
2016,Norway,FEMALE,NURS,89.10
2016,Norway,MALE,NURS,10.90
2018,Norway,FEMALE,PHYS,49.90
2018,Norway,MALE,PHYS,50.10
2018,Poland,FEMALE,NURS,97.70
2018,Poland,MALE,NURS,2.30
2011,Portugal,FEMALE,NURS,82.10
2011,Portugal,MALE,NURS,17.90
2016,Portugal,MALE,NURS,22.10
2009,Armenia,FEMALE,PHYS,70.00
2010,Armenia,FEMALE,PHYS,69.50
2010,Armenia,MALE,PHYS,30.50
2011,Armenia,FEMALE,PHYS,69.50
2011,Armenia,FEMALE,NURS,97.60
2011,Armenia,MALE,NURS,2.40
2011,Armenia,MALE,PHYS,30.50
2012,Armenia,FEMALE,PHYS,69.20
2012,Armenia,MALE,PHYS,30.80
2013,Armenia,FEMALE,PHYS,69.20
2013,Armenia,MALE,PHYS,30.80
2014,Armenia,MALE,PHYS,30.40
2014,Armenia,FEMALE,PHYS,69.60
2015,Armenia,FEMALE,PHYS,69.50
2015,Armenia,MALE,PHYS,30.50
2016,Belgium,FEMALE,NURS,86.30
2016,Belgium,MALE,NURS,13.70
2003,Bosnia and Herzegovina,FEMALE,PHYS,90.50
2016,Portugal,FEMALE,NURS,77.90
2004,Romania,FEMALE,PHYS,66.70
2004,Romania,MALE,PHYS,33.30
2005,Romania,MALE,PHYS,31.30
2005,Romania,FEMALE,PHYS,68.70
2006,Romania,FEMALE,PHYS,67.70
2006,Romania,MALE,PHYS,32.30
2007,Romania,FEMALE,PHYS,69.10
2007,Romania,MALE,PHYS,30.90
2003,Bosnia and Herzegovina,MALE,PHYS,9.50
2004,Bosnia and Herzegovina,FEMALE,PHYS,91.50
2004,Bosnia and Herzegovina,MALE,PHYS,8.50
2005,Bosnia and Herzegovina,FEMALE,PHYS,91.50
2005,Bosnia and Herzegovina,MALE,PHYS,8.50
2006,Bosnia and Herzegovina,MALE,PHYS,9.60
2006,Bosnia and Herzegovina,FEMALE,PHYS,90.40
2007,Bosnia and Herzegovina,MALE,PHYS,10.80
2008,Romania,FEMALE,PHYS,69.40
2008,Romania,MALE,PHYS,30.60
2009,Romania,MALE,PHYS,30.60
2009,Romania,FEMALE,PHYS,69.40
2010,Romania,MALE,PHYS,30.90
2010,Romania,FEMALE,PHYS,69.10
2011,Romania,FEMALE,PHYS,69.10
2011,Romania,MALE,PHYS,30.90
2011,Romania,MALE,NURS,8.60
