Year,GeoAreaName,Level/Status,Value
2017,Albania,_T,65
2020,Albania,_T,58
2017,Azerbaijan,_T,59
2020,Azerbaijan,_T,61
2017,Austria,_T,95
2020,Austria,_T,95
2017,Armenia,_T,40
2020,Armenia,_T,46
2017,Belgium,_T,94
2020,Belgium,_T,95
2017,Bosnia and Herzegovina,_T,62
2020,Bosnia and Herzegovina,_T,53
2017,Bulgaria,_T,65
2020,Bulgaria,_T,72
2017,Belarus,_T,35
2020,Belarus,_T,56
2017,Croatia,_T,98
2020,Croatia,_T,98
2017,Cyprus,_T,91
2020,Cyprus,_T,96
2017,Czechia,_T,83
2020,Czechia,_T,83
2017,Denmark,_T,94
2020,Denmark,_T,96
2017,Estonia,_T,93
2020,Estonia,_T,96
2017,Finland,_T,79
2020,Finland,_T,80
2017,France,_T,100
2020,France,_T,100
2017,Georgia,_T,48
2020,Georgia,_T,59
2017,Germany,_T,89
2020,Germany,_T,89
2017,Greece,_T,86
2020,Greece,_T,87
2017,Hungary,_T,81
2020,Hungary,_T,79
2017,Iceland,_T,70
2020,Iceland,_T,75
2017,Ireland,_T,84
2020,Ireland,_T,80
2017,Italy,_T,61
2020,Italy,_T,78
2017,Kazakhstan,_T,24
2020,Kazakhstan,_T,51
2020,Kyrgyzstan,_T,30
2017,Latvia,_T,72
2020,Latvia,_T,66
2017,Liechtenstein,_T,63
2020,Liechtenstein,_T,67
2017,Lithuania,_T,46
2020,Lithuania,_T,45
2017,Luxembourg,_T,96
2020,Luxembourg,_T,92
2017,Malta,_T,73
2020,Malta,_T,82
2017,Republic of Moldova,_T,33
2020,Republic of Moldova,_T,53
2017,Montenegro,_T,28
2020,Montenegro,_T,24
2017,Netherlands,_T,96
2020,Netherlands,_T,92
2017,Norway,_T,65
2020,Norway,_T,75
2017,Poland,_T,40
2020,Poland,_T,80
2017,Portugal,_T,83
2020,Portugal,_T,68
2017,Romania,_T,65
2020,Romania,_T,82
2017,Serbia,_T,25
2020,Serbia,_T,42
2017,Slovakia,_T,76
2020,Slovakia,_T,71
2017,Slovenia,_T,55
2020,Slovenia,_T,88
2017,Spain,_T,81
2020,Spain,_T,99
2017,Sweden,_T,91
2020,Sweden,_T,85
2017,Switzerland,_T,79
2020,Switzerland,_T,79
2020,Tajikistan,_T,43
2017,Türkiye,_T,75
2020,Türkiye,_T,75
2020,Turkmenistan,_T,48
2017,Ukraine,_T,49
2020,Ukraine,_T,49
2017,North Macedonia,_T,20
2020,North Macedonia,_T,26
2017,Uzbekistan,_T,53
2020,Uzbekistan,_T,53
2020,Uzbekistan,_T,53
