Year,GeoAreaName,Age,Value
2021,Albania,<=45Y,31.15
2022,Albania,<=45Y,31.15
2021,Azerbaijan,<=45Y,30.36
2022,Azerbaijan,<=45Y,30.36
2023,Azerbaijan,<=45Y,22.03
2021,Austria,<=45Y,43.72
2022,Austria,<=45Y,43.72
2023,Austria,<=45Y,43.72
2021,Armenia,<=45Y,71.97
2022,Armenia,<=45Y,70.09
2023,Armenia,<=45Y,70.09
2021,Belgium,<=45Y,54
2022,Belgium,<=45Y,54
2023,Belgium,<=45Y,54
2021,Bosnia and Herzegovina,<=45Y,19.05
2022,Bosnia and Herzegovina,<=45Y,19.05
2023,Bosnia and Herzegovina,<=45Y,24.39
2021,Bulgaria,<=45Y,41.42
2022,Bulgaria,<=45Y,51.67
2023,Bulgaria,<=45Y,52.5
2021,Belarus,<=45Y,20.91
2022,Belarus,<=45Y,20.91
2023,Belarus,<=45Y,20.91
2021,Croatia,<=45Y,39.74
2022,Croatia,<=45Y,39.74
2023,Croatia,<=45Y,39.74
2021,Cyprus,<=45Y,25
2022,Cyprus,<=45Y,33.93
2023,Cyprus,<=45Y,33.93
2021,Czechia,<=45Y,36
2022,Czechia,<=45Y,33
2023,Czechia,<=45Y,33
2021,Denmark,<=45Y,49.72
2022,Denmark,<=45Y,49.72
2023,Denmark,<=45Y,47.49
2021,Estonia,<=45Y,35.64
2022,Estonia,<=45Y,35.64
2023,Estonia,<=45Y,35.64
2021,Finland,<=45Y,45
2022,Finland,<=45Y,45
2023,Finland,<=45Y,45
2021,France,<=45Y,36.92
2022,France,<=45Y,36.92
2023,France,<=45Y,37.95
2021,Georgia,<=45Y,52
2022,Georgia,<=45Y,49.33
2023,Georgia,<=45Y,49.33
2021,Germany,<=45Y,23.27
2022,Germany,<=45Y,41.98
2023,Germany,<=45Y,41.98
2021,Greece,<=45Y,24.67
2022,Greece,<=45Y,24.67
2023,Greece,<=45Y,24.67
2021,Hungary,<=45Y,32.66
2022,Hungary,<=45Y,32.66
2023,Hungary,<=45Y,30.15
2021,Iceland,<=45Y,36.51
2022,Iceland,<=45Y,41.27
2023,Iceland,<=45Y,41.27
2021,Ireland,<=45Y,41.25
2022,Ireland,<=45Y,41.25
2023,Ireland,<=45Y,41.25
2021,Italy,<=45Y,59.52
2022,Italy,<=45Y,59.52
2023,Italy,<=45Y,35
2021,Kazakhstan,<=45Y,11.32
2022,Kazakhstan,<=45Y,29.25
2023,Kazakhstan,<=45Y,29.25
2021,Kyrgyzstan,<=45Y,54.17
2022,Kyrgyzstan,<=45Y,42.74
2023,Kyrgyzstan,<=45Y,48.89
2021,Latvia,<=45Y,51
2022,Latvia,<=45Y,51
2023,Latvia,<=45Y,43
2021,Liechtenstein,<=45Y,16
2022,Liechtenstein,<=45Y,24
2023,Liechtenstein,<=45Y,24
2021,Lithuania,<=45Y,45.39
2022,Lithuania,<=45Y,45.39
2023,Lithuania,<=45Y,45.39
2021,Luxembourg,<=45Y,28.33
2022,Luxembourg,<=45Y,28.33
2023,Luxembourg,<=45Y,28.33
2021,Malta,<=45Y,46.27
2022,Malta,<=45Y,46.27
2023,Malta,<=45Y,51.43
2021,Republic of Moldova,<=45Y,48
2022,Republic of Moldova,<=45Y,47.52
2023,Republic of Moldova,<=45Y,47.52
2021,Montenegro,<=45Y,53.09
2022,Montenegro,<=45Y,53.09
2023,Montenegro,<=45Y,53.09
2021,Netherlands,<=45Y,55.33
2022,Netherlands,<=45Y,62
2023,Netherlands,<=45Y,62
2021,Norway,<=45Y,44.97
2022,Norway,<=45Y,44.97
2023,Norway,<=45Y,44.97
2021,Poland,<=45Y,36.96
2022,Poland,<=45Y,36.96
2023,Poland,<=45Y,36.96
2021,Portugal,<=45Y,39.13
2022,Portugal,<=45Y,39.13
2023,Portugal,<=45Y,37.39
2021,Romania,<=45Y,51.67
2022,Romania,<=45Y,59.57
2023,Romania,<=45Y,59.57
2021,Serbia,<=45Y,56.4
2022,Serbia,<=45Y,56.4
2023,Serbia,<=45Y,56.4
2021,Slovakia,<=45Y,52.03
2022,Slovakia,<=45Y,52.03
2023,Slovakia,<=45Y,52.03
2021,Slovenia,<=45Y,32.22
2022,Slovenia,<=45Y,32.22
2023,Slovenia,<=45Y,35.56
2021,Spain,<=45Y,40.86
2022,Spain,<=45Y,40.86
2023,Spain,<=45Y,40.86
2021,Sweden,<=45Y,46.07
2022,Sweden,<=45Y,46.07
2023,Sweden,<=45Y,43.84
2021,Switzerland,<=45Y,39.5
2022,Switzerland,<=45Y,39.5
2023,Switzerland,<=45Y,39.5
2022,Tajikistan,<=45Y,15.87
2023,Tajikistan,<=45Y,15.87
2021,Türkiye,<=45Y,28.67
2022,Türkiye,<=45Y,28.67
2023,Türkiye,<=45Y,28.67
2021,Turkmenistan,<=45Y,63.2
2022,Turkmenistan,<=45Y,63.2
2023,Turkmenistan,<=45Y,63.2
2021,Ukraine,<=45Y,63.36
2022,Ukraine,<=45Y,63.36
2023,Ukraine,<=45Y,63.36
2021,North Macedonia,<=45Y,48.33
2022,North Macedonia,<=45Y,53.33
2023,North Macedonia,<=45Y,53.33
2022,Uzbekistan,<=45Y,47.92
2023,Uzbekistan,<=45Y,47.92
2023,Uzbekistan,<=45Y,47.92
