Year,GeoAreaName,Age,Value
2008,Austria,15-64,1.1
2008,Austria,55-64,1.2
2009,Austria,55-64,1.2
2009,Austria,15-64,1.1
2009,Austria,15-24,1
2009,Austria,25-54,1.1
2010,Austria,25-54,1.1
2010,Austria,15-24,1
2010,Austria,15-64,1.1
2010,Austria,55-64,1.3
2011,Austria,55-64,1.3
2011,Austria,15-64,1.1
2011,Austria,15-24,1.1
2011,Austria,25-54,1.2
2012,Austria,25-54,1.1
2012,Austria,15-24,1.1
2012,Austria,15-64,1.1
2012,Austria,55-64,1.2
2013,Austria,55-64,1.3
2013,Austria,15-64,1.1
2013,Austria,15-24,1.1
2013,Austria,25-54,1.2
2014,Austria,25-54,1.1
2014,Austria,15-24,1
2014,Austria,15-64,1.1
2014,Austria,55-64,1.2
2015,Austria,55-64,1.2
2015,Austria,15-64,1.1
2015,Austria,15-24,1.1
2015,Austria,25-54,1.1
2016,Austria,25-54,1.2
2016,Austria,15-24,1.1
2016,Austria,15-64,1.1
2016,Austria,55-64,1.3
2017,Austria,55-64,1.3
2017,Austria,15-64,1.1
2017,Austria,15-24,1.1
2017,Austria,25-54,1.2
2018,Austria,25-54,1.2
2018,Austria,15-24,1.1
2018,Austria,15-64,1.1
2018,Austria,55-64,1.3
2018,Georgia,15-24,1.1
2018,Georgia,25-54,1.3
2019,Georgia,25-54,1
2019,Georgia,15-24,1.1
2019,Georgia,15-64,1
2019,Georgia,55-64,0.9
2020,Georgia,15-64,1
2015,Netherlands,25-54,1
2015,Netherlands,15-24,1
2015,Netherlands,15-64,1
2016,Netherlands,15-64,1
2016,Netherlands,15-24,1
2016,Netherlands,25-54,1.1
2016,Netherlands,55-64,1.1
2017,Netherlands,55-64,1.1
2017,Netherlands,25-54,1.1
2017,Netherlands,15-24,1
2017,Netherlands,15-64,1.1
2018,Netherlands,15-64,1.1
2018,Netherlands,15-24,1
2018,Netherlands,25-54,1.1
2007,Albania,15-64,1
2007,Albania,55-64,0.6
2007,Albania,15-24,1.1
2007,Albania,25-54,1
2008,Albania,25-54,1.2
2008,Albania,15-24,1
2008,Albania,55-64,1.1
2008,Albania,15-64,1
2009,Albania,15-64,0.9
2009,Albania,55-64,0.7
2009,Albania,15-24,0.9
2009,Albania,25-54,0.8
2010,Albania,25-54,1
2010,Albania,15-24,1
2019,Austria,55-64,1.3
2019,Austria,15-64,1.1
2019,Austria,15-24,1.1
2019,Austria,25-54,1.2
2020,Austria,25-54,1.2
2020,Austria,15-24,1.1
2020,Austria,15-64,1.1
2010,Albania,55-64,0.1
2010,Albania,15-64,1
2011,Albania,15-64,1
2011,Albania,15-24,1.1
2011,Albania,25-54,1
2012,Albania,25-54,0.5
2012,Albania,15-24,1.1
2020,Austria,55-64,1.2
2018,Armenia,15-24,1.1
