Year,GeoAreaName,Deviation Level,Value
2017,Ireland,MEDIUM,20.21474
2017,Ireland,EXTREME,5.88039
2017,Ireland,HIGH,16.87261
2018,Ireland,EXTREME,6.05643
2018,Ireland,LOW,53.30525
2018,Ireland,HIGH,18.09582
2018,Ireland,MEDIUM,22.5425
2019,Ireland,EXTREME,2.26581
2019,Ireland,HIGH,8.42659
2019,Ireland,LOW,74.65681
2019,Ireland,MEDIUM,14.65079
2020,Ireland,HIGH,7.39126
2020,Ireland,LOW,76.73066
2020,Ireland,EXTREME,1.70318
2020,Ireland,MEDIUM,14.1749
2021,Ireland,EXTREME,2.5876
2021,Ireland,LOW,73.27373
2021,Ireland,MEDIUM,14.88052
2021,Ireland,HIGH,9.25816
2017,Italy,EXTREME,0.92475
2017,Italy,LOW,66.53001
2017,Italy,MEDIUM,20.33524
2017,Italy,HIGH,12.21
2018,Italy,MEDIUM,21.16638
2018,Italy,EXTREME,1.1875
2018,Italy,LOW,70.66971
2018,Italy,HIGH,6.97642
2019,Italy,MEDIUM,14.30642
2019,Italy,LOW,82.78536
2019,Italy,EXTREME,0.03577
2019,Italy,HIGH,2.87245
2020,Italy,EXTREME,0.08939
2020,Italy,MEDIUM,11.52464
2020,Italy,LOW,86.50414
2020,Italy,HIGH,1.88183
2021,Italy,HIGH,1.78312
2021,Italy,EXTREME,0.06915
2021,Italy,MEDIUM,11.88933
2021,Italy,LOW,86.2584
2017,Kazakhstan,HIGH,1.12812
2017,Kazakhstan,LOW,92.91037
2017,Kazakhstan,MEDIUM,5.57287
2017,Kazakhstan,EXTREME,0.38864
2018,Kazakhstan,HIGH,1.62318
2018,Kazakhstan,EXTREME,0.51919
2018,Kazakhstan,MEDIUM,7.11142
2018,Kazakhstan,LOW,90.74621
2019,Kazakhstan,EXTREME,0.30467
2017,Albania,LOW,91.23014
2017,Albania,EXTREME,0.24085
2017,Albania,HIGH,1.83638
2017,Albania,MEDIUM,6.69264
2018,Albania,MEDIUM,7.79387
2018,Albania,LOW,88.56531
2018,Albania,EXTREME,0.09715
2018,Albania,HIGH,3.54366
2019,Albania,EXTREME,0.02649
2019,Albania,MEDIUM,4.84949
2019,Albania,LOW,94.51049
2019,Albania,HIGH,0.61353
2019,Kazakhstan,HIGH,0.63324
2019,Kazakhstan,MEDIUM,3.08736
2019,Kazakhstan,LOW,95.97472
2020,Kazakhstan,MEDIUM,3.45448
2020,Kazakhstan,HIGH,1.00672
2020,Kazakhstan,EXTREME,0.2446
2020,Kazakhstan,LOW,95.2942
2021,Kazakhstan,LOW,95.93442
2021,Kazakhstan,HIGH,0.84131
2021,Kazakhstan,EXTREME,0.28514
2021,Kazakhstan,MEDIUM,2.93914
2017,Kyrgyzstan,MEDIUM,15.50863
2017,Kyrgyzstan,HIGH,16.04642
2017,Kyrgyzstan,EXTREME,15.37102
2017,Kyrgyzstan,LOW,53.07393
2018,Kyrgyzstan,EXTREME,11.94766
2018,Kyrgyzstan,LOW,68.55946
2018,Kyrgyzstan,HIGH,9.95781
2018,Kyrgyzstan,MEDIUM,9.53507
2019,Kyrgyzstan,LOW,82.20746
2019,Kyrgyzstan,HIGH,5.29975
2019,Kyrgyzstan,EXTREME,5.28268
2019,Kyrgyzstan,MEDIUM,7.21011
2020,Kyrgyzstan,EXTREME,5.7305
2020,Kyrgyzstan,HIGH,6.26614
2020,Kyrgyzstan,LOW,80.05999
2020,Kyrgyzstan,MEDIUM,7.94336
2021,Kyrgyzstan,EXTREME,7.00353
2021,Kyrgyzstan,MEDIUM,7.80919
2021,Kyrgyzstan,LOW,78.47715
2021,Kyrgyzstan,HIGH,6.71013
2017,Latvia,HIGH,2.20161
2017,Latvia,LOW,81.45223
2017,Latvia,MEDIUM,7.6049
2017,Latvia,EXTREME,0.40792
2018,Latvia,LOW,79.36663
2018,Latvia,HIGH,1.83006
2018,Latvia,MEDIUM,10.08567
2018,Latvia,EXTREME,0.38431
2019,Latvia,LOW,94.71574
2019,Latvia,EXTREME,0.37742
2019,Latvia,HIGH,1.58455
2019,Latvia,MEDIUM,3.32228
2020,Latvia,EXTREME,0.40111
2020,Latvia,LOW,93.13112
2020,Latvia,MEDIUM,5.07804
2020,Latvia,HIGH,1.38973
2021,Latvia,MEDIUM,4.48609
2021,Latvia,LOW,77.16807
2021,Latvia,HIGH,1.36915
2021,Latvia,EXTREME,0.31003
2017,Lithuania,MEDIUM,14.86799
2017,Lithuania,EXTREME,0.45194
