Year,GeoAreaName,Activity,Value
2000,Belgium,ISIC4_C,14.37
2001,Belgium,ISIC4_C,14.31
2002,Belgium,ISIC4_C,14.13
2003,Belgium,ISIC4_C,13.96
2004,Belgium,ISIC4_C,14.16
2005,Belgium,ISIC4_C,14.21
2006,Belgium,ISIC4_C,13.53
2007,Belgium,ISIC4_C,13.88
2008,Belgium,ISIC4_C,13.36
2009,Belgium,ISIC4_C,12.45
2010,Belgium,ISIC4_C,12.84
2011,Belgium,ISIC4_C,12.64
2012,Belgium,ISIC4_C,12.35
2013,Belgium,ISIC4_C,12.42
2014,Belgium,ISIC4_C,12.61
2015,Belgium,ISIC4_C,12.69
2016,Belgium,ISIC4_C,12.33
2017,Belgium,ISIC4_C,12.32
2018,Belgium,ISIC4_C,12.1
2019,Belgium,ISIC4_C,12.32
2000,Republic of Moldova,ISIC4_C,14.28
2001,Republic of Moldova,ISIC4_C,14.2
2002,Republic of Moldova,ISIC4_C,13.55
2003,Republic of Moldova,ISIC4_C,14.97
2004,Republic of Moldova,ISIC4_C,15.04
2005,Republic of Moldova,ISIC4_C,14.35
2006,Republic of Moldova,ISIC4_C,13.09
2007,Republic of Moldova,ISIC4_C,12.55
2008,Republic of Moldova,ISIC4_C,11.77
2009,Republic of Moldova,ISIC4_C,9.79
2020,Belgium,ISIC4_C,12.48
2021,Belgium,ISIC4_C,11.76
2022,Belgium,ISIC4_C,11.72
2000,Bosnia and Herzegovina,ISIC4_C,8.26
2001,Bosnia and Herzegovina,ISIC4_C,8.59
2002,Bosnia and Herzegovina,ISIC4_C,8.86
2003,Bosnia and Herzegovina,ISIC4_C,8.79
2004,Bosnia and Herzegovina,ISIC4_C,8.65
2005,Bosnia and Herzegovina,ISIC4_C,9.11
2006,Bosnia and Herzegovina,ISIC4_C,9.88
2007,Bosnia and Herzegovina,ISIC4_C,10.32
2008,Bosnia and Herzegovina,ISIC4_C,10.42
2009,Bosnia and Herzegovina,ISIC4_C,10.16
