Year,GeoAreaName,Type of product,Value
2000,Armenia,TEX,2.07232
2000,Armenia,IND,0.33794
2000,Armenia,CLO,12.16688
2000,Armenia,ALP,1.22475
2000,Armenia,AGR,7.86207
2005,Armenia,IND,0.38294
2005,Armenia,CLO,11.95659
2005,Armenia,ALP,1.20624
2005,Armenia,AGR,8.42352
2005,Armenia,TEX,3.20046
2010,Armenia,ALP,0.91576
2010,Armenia,AGR,4.46928
2010,Armenia,CLO,8.97123
2010,Armenia,IND,0.3185
2010,Armenia,TEX,0.97482
2011,Armenia,ALP,1.03482
2011,Armenia,AGR,4.42692
2011,Armenia,TEX,0.99344
2011,Armenia,IND,0.44703
2011,Armenia,CLO,8.97518
2012,Armenia,TEX,0.99046
2012,Armenia,IND,0.46231
2012,Armenia,CLO,8.98809
2012,Armenia,ALP,1.04277
2012,Armenia,AGR,4.20644
2013,Armenia,TEX,0.98937
2013,Armenia,IND,0.46436
2013,Armenia,CLO,8.9333
2013,Armenia,ALP,1.03964
2013,Armenia,AGR,4.36415
2014,Armenia,TEX,0.98935
2014,Armenia,IND,0.4564
2014,Armenia,CLO,8.93318
2014,Armenia,ALP,1.03334
2014,Armenia,AGR,4.34834
2015,Armenia,ALP,1.02626
2000,Albania,TEX,7.66881
2000,Albania,OIL,0.24362
2000,Albania,IND,1.51384
2000,Albania,CLO,10.69259
2000,Albania,ARM,1.05604
2000,Albania,ALP,2.8157
2000,Albania,AGR,2.08868
2005,Albania,ARM,0.63601
2005,Albania,ALP,2.37384
2015,Armenia,AGR,4.34224
2015,Armenia,CLO,8.86807
2015,Armenia,IND,0.45425
2015,Armenia,TEX,1.0306
2016,Armenia,CLO,8.86742
2016,Armenia,ALP,1.0261
2016,Armenia,AGR,4.34473
2016,Armenia,TEX,1.03148
2016,Armenia,IND,0.45422
2005,Albania,AGR,1.85735
2005,Albania,TEX,6.63971
2005,Albania,OIL,0.1243
2005,Albania,IND,1.41434
2005,Albania,CLO,8.15418
2010,Albania,AGR,1.80581
2010,Albania,ALP,2.18129
2010,Albania,CLO,8.36317
2010,Albania,TEX,6.62755
2017,Armenia,TEX,0.9897
2017,Armenia,IND,0.43963
2017,Armenia,CLO,8.73189
2017,Armenia,ALP,1.01843
2017,Armenia,AGR,4.78299
2018,Armenia,AGR,4.37128
2018,Armenia,TEX,1.03382
2018,Armenia,IND,0.45099
2018,Armenia,CLO,8.93108
2000,Denmark,IND,1.10695
2000,Denmark,CLO,12.56629
2000,Denmark,ARM,1.70594
2000,Denmark,ALP,2.97408
2000,Denmark,AGR,26.04436
2005,Denmark,OIL,0.22338
2005,Denmark,IND,1.00219
2005,Denmark,CLO,11.38858
2005,Denmark,ARM,1.84872
2005,Denmark,ALP,2.6536
2005,Denmark,TEX,5.955
2005,Denmark,AGR,24.87687
2010,Denmark,AGR,24.59338
2010,Denmark,TEX,5.33813
2010,Denmark,OIL,0
2010,Denmark,IND,0.8979
2010,Denmark,CLO,11.33852
2010,Denmark,ARM,1.85772
2010,Denmark,ALP,2.49205
2011,Denmark,AGR,24.58269
2011,Denmark,ARM,1.85772
2011,Denmark,TEX,5.30989
2011,Denmark,OIL,0
2011,Denmark,IND,0.89264
2011,Denmark,CLO,11.33544
2011,Denmark,ALP,2.48626
2012,Denmark,ARM,1.86031
2012,Denmark,ALP,1.85941
2012,Denmark,AGR,10.68152
2012,Denmark,TEX,5.3252
2012,Denmark,OIL,0
2012,Denmark,IND,0.9595
2012,Denmark,CLO,11.34956
2013,Denmark,TEX,5.30483
2013,Denmark,OIL,0
2013,Denmark,IND,0.95179
2010,Albania,OIL,0
2010,Albania,IND,0.87622
2010,Albania,ARM,0.63883
2011,Albania,IND,0.88616
2011,Albania,CLO,8.30201
2011,Albania,ARM,0.63883
2011,Albania,ALP,2.1792
2011,Albania,AGR,1.80351
2011,Albania,TEX,6.61929
2013,Denmark,CLO,11.33317
2013,Denmark,ARM,1.86031
2013,Denmark,ALP,2.51904
2013,Denmark,AGR,24.34007
2014,Denmark,AGR,24.33721
2014,Denmark,IND,0.96909
2014,Denmark,OIL,0
2014,Denmark,CLO,11.35057
2014,Denmark,TEX,5.27713
2000,Croatia,ALP,1.85016
2000,Croatia,AGR,10.55855
2000,Croatia,TEX,6.9234
2000,Croatia,IND,1.10392
2000,Croatia,CLO,11.81584
2000,Croatia,ARM,1.16599
2005,Croatia,TEX,4.88146
2005,Croatia,IND,0.91719
