Year,GeoAreaName,Activity,Sex,Value
2016,Czechia,ISIC4_C,,27.8
2017,Czechia,ISIC4_C,,27.86
2018,Czechia,ISIC4_C,,27.55
2019,Czechia,ISIC4_C,,27.44
2020,Czechia,ISIC4_C,,26.72
2021,Czechia,ISIC4_C,,26.03
2000,Denmark,ISIC4_C,,18.04
2001,Denmark,ISIC4_C,,18.13
2002,Denmark,ISIC4_C,,16.19
2003,Denmark,ISIC4_C,,15.72
2004,Denmark,ISIC4_C,,15.84
2005,Denmark,ISIC4_C,,16.14
2006,Denmark,ISIC4_C,,15.29
2007,Denmark,ISIC4_C,,15.68
2008,Denmark,ISIC4_C,,14.76
2009,Denmark,ISIC4_C,,12.85
2010,Denmark,ISIC4_C,,12.7
2011,Denmark,ISIC4_C,,12.72
2012,Denmark,ISIC4_C,,12.38
2013,Denmark,ISIC4_C,,12.1
2014,Denmark,ISIC4_C,,11.9
2015,Denmark,ISIC4_C,,11.96
2016,Denmark,ISIC4_C,,11.88
2017,Denmark,ISIC4_C,,11.5
2018,Denmark,ISIC4_C,,11.39
2019,Denmark,ISIC4_C,,10.96
2020,Denmark,ISIC4_C,,11.26
2021,Denmark,ISIC4_C,,11.43
2000,Estonia,ISIC4_C,,24
2001,Estonia,ISIC4_C,,24.11
2002,Estonia,ISIC4_C,,21.25
2003,Estonia,ISIC4_C,,21.52
2004,Estonia,ISIC4_C,,23.66
2005,Estonia,ISIC4_C,,22.91
2006,Estonia,ISIC4_C,,20.99
2007,Estonia,ISIC4_C,,20.44
2008,Estonia,ISIC4_C,,20.41
2009,Estonia,ISIC4_C,,18.9
2010,Estonia,ISIC4_C,,18.78
2011,Estonia,ISIC4_C,,19.74
2012,Estonia,ISIC4_C,,18.78
2013,Estonia,ISIC4_C,,18.74
2014,Estonia,ISIC4_C,,18.25
2015,Estonia,ISIC4_C,,18.82
2016,Estonia,ISIC4_C,,18.72
2017,Estonia,ISIC4_C,,18.96
2018,Estonia,ISIC4_C,,18.63
2019,Estonia,ISIC4_C,,18.05
2020,Estonia,ISIC4_C,,18.07
2021,Estonia,ISIC4_C,,18.2
2000,Finland,ISIC4_C,,20.08
2001,Finland,ISIC4_C,,19.85
2002,Finland,ISIC4_C,,19.69
2003,Finland,ISIC4_C,,18.91
2004,Finland,ISIC4_C,,18.69
2005,Finland,ISIC4_C,,18.17
2006,Finland,ISIC4_C,,18.09
2007,Finland,ISIC4_C,,17.92
