Year,GeoAreaName,Type of product,Value
2005,Azerbaijan,IND,7.63881
2005,Azerbaijan,AGR,7.51269
2005,Azerbaijan,ALP,7.73323
2005,Azerbaijan,TEX,15.65179
2005,Azerbaijan,CLO,15
2010,Azerbaijan,TEX,5.38492
2010,Azerbaijan,OIL,0
2010,Azerbaijan,ALP,6.91486
2010,Azerbaijan,AGR,8.11273
2010,Azerbaijan,IND,6.61403
2010,Azerbaijan,CLO,15
2015,Azerbaijan,CLO,15
2015,Azerbaijan,AGR,6.20737
2015,Azerbaijan,IND,7.24955
2015,Azerbaijan,ALP,7.15803
2015,Azerbaijan,TEX,13.75122
2016,Azerbaijan,TEX,14.8311
2016,Azerbaijan,OIL,0
2016,Azerbaijan,IND,7.57545
2016,Azerbaijan,AGR,5.58456
2016,Azerbaijan,ALP,7.344
2016,Azerbaijan,CLO,15
2017,Azerbaijan,ALP,8.22878
2017,Azerbaijan,AGR,9.0397
2017,Azerbaijan,CLO,15
2017,Azerbaijan,IND,7.67037
2017,Azerbaijan,OIL,0
2017,Azerbaijan,TEX,14.0715
2018,Azerbaijan,ALP,8.22878
2018,Azerbaijan,AGR,9.0397
2018,Azerbaijan,CLO,15
2018,Azerbaijan,TEX,14.0715
2018,Azerbaijan,OIL,0
2018,Azerbaijan,IND,7.67037
2019,Azerbaijan,CLO,15
2019,Azerbaijan,AGR,11.26239
2019,Azerbaijan,ALP,9.65652
2019,Azerbaijan,IND,9.31462
2019,Azerbaijan,OIL,0
2019,Azerbaijan,TEX,13.81451
2020,Azerbaijan,IND,7.81377
2020,Azerbaijan,TEX,13.5779
2020,Azerbaijan,OIL,0
2020,Azerbaijan,ALP,8.51623
2005,Albania,CLO,15
2005,Albania,ARM,14.98984
2005,Albania,AGR,7.31967
2005,Albania,ALP,5.08071
2005,Albania,IND,3.46099
2005,Albania,TEX,9.68126
2010,Albania,OIL,10
2010,Albania,TEX,9.42484
2010,Albania,ALP,4.96894
2010,Albania,IND,3.60781
2010,Albania,AGR,7.3329
2010,Albania,CLO,15
2010,Albania,ARM,15
2015,Albania,CLO,0
2015,Albania,AGR,6.65017
2015,Albania,ALP,3.43176
2015,Albania,IND,3.06284
2015,Albania,TEX,1.68153
2016,Albania,IND,2.75292
2016,Albania,TEX,2.47506
2016,Albania,ALP,3.22543
2016,Albania,AGR,6.66682
2020,Azerbaijan,CLO,15
2020,Azerbaijan,AGR,10.23926
2021,Azerbaijan,AGR,10.63957
2021,Azerbaijan,CLO,15
2021,Azerbaijan,ALP,9.06392
2021,Azerbaijan,OIL,0
2021,Azerbaijan,TEX,13.38242
2021,Azerbaijan,IND,8.3572
2005,Armenia,AGR,7.24641
2005,Armenia,ALP,2.49034
2005,Armenia,TEX,3.31678
2005,Kyrgyzstan,IND,7.20565
2005,Kyrgyzstan,AGR,19.05737
2005,Kyrgyzstan,ALP,9.36501
2005,Kyrgyzstan,CLO,12.04747
2005,Kyrgyzstan,OIL,10
2005,Kyrgyzstan,TEX,8.15473
2010,Kyrgyzstan,CLO,11.69231
2010,Kyrgyzstan,AGR,18.31843
2010,Kyrgyzstan,ALP,9.29377
2010,Kyrgyzstan,IND,7.16532
2010,Kyrgyzstan,TEX,10.03391
2005,Georgia,ARM,12
2005,Georgia,CLO,12.52167
2005,Georgia,TEX,10.05205
2005,Georgia,IND,8.36397
2005,Georgia,OIL,12
2005,Georgia,AGR,14.06964
2005,Georgia,ALP,9.20975
2010,Georgia,ALP,1.35941
2010,Georgia,AGR,6.41336
2010,Georgia,OIL,0
2010,Georgia,IND,0.23111
2016,Albania,CLO,0
2017,Albania,CLO,0
2017,Albania,AGR,6.78201
2017,Albania,ALP,3.31174
2017,Albania,TEX,1.98984
2017,Albania,IND,3.00828
2018,Albania,IND,2.91181
2018,Albania,TEX,1.96777
2018,Albania,AGR,7.19035
2018,Albania,CLO,0
2018,Albania,ALP,3.27197
2010,Georgia,ARM,0
2010,Georgia,TEX,0
2010,Georgia,CLO,0
2015,Georgia,CLO,0
2015,Georgia,TEX,0.44148
2015,Georgia,ARM,0
2015,Georgia,IND,0.93664
2015,Georgia,OIL,0
2015,Georgia,ALP,1.85691
2015,Georgia,AGR,7.17458
2016,Georgia,AGR,7.17458
2016,Georgia,ALP,1.85691
2016,Georgia,OIL,0
2016,Georgia,IND,0.93664
2016,Georgia,ARM,0
2016,Georgia,TEX,0.44148
2016,Georgia,CLO,0
2017,Georgia,CLO,0
2017,Georgia,OIL,0
2017,Georgia,ARM,0
2017,Georgia,IND,0.82692
2017,Georgia,ALP,1.65731
2017,Georgia,AGR,7.13912
2017,Georgia,TEX,0.45772
2018,Georgia,AGR,7.13912
2018,Georgia,ALP,1.65731
2018,Georgia,IND,0.82692
2018,Georgia,ARM,0
2018,Georgia,CLO,0
2018,Georgia,OIL,0
2018,Georgia,TEX,0.45772
2019,Georgia,CLO,0
2019,Georgia,ARM,0
2019,Georgia,IND,0.98041
2019,Georgia,ALP,1.8903
2019,Georgia,AGR,7.37784
2019,Georgia,OIL,0
2019,Georgia,TEX,0.48461
2020,Georgia,AGR,6.90322
2020,Georgia,ALP,2.03904
2020,Georgia,CLO,0
2020,Georgia,ARM,0
2020,Georgia,IND,1.08109
2020,Georgia,TEX,0.43885
2020,Georgia,OIL,0
2021,Georgia,ARM,0
2021,Georgia,CLO,0
2021,Georgia,AGR,7.03718
2021,Georgia,TEX,0.47848
2021,Georgia,ALP,1.86483
2021,Georgia,IND,0.97419
2005,Iceland,CLO,14.87811
2005,Iceland,ALP,2.68179
2005,Iceland,ARM,8.12067
2005,Iceland,AGR,11.55377
2005,Armenia,IND,1.16934
2005,Armenia,CLO,9.87845
2010,Armenia,CLO,9.76941
2010,Armenia,IND,1.99903
2010,Armenia,ALP,3.18465
2010,Armenia,AGR,6.53556
2010,Armenia,TEX,3.71589
2015,Armenia,AGR,7.55242
2015,Armenia,ALP,4.89951
2015,Armenia,IND,3.6978
2015,Armenia,TEX,6.24799
2015,Armenia,CLO,9.97441
2016,Armenia,CLO,6.74882
2016,Armenia,TEX,4.05204
2016,Armenia,IND,2.46659
2016,Armenia,ALP,3.26286
2016,Armenia,AGR,5.74143
2017,Armenia,TEX,5.11502
2017,Armenia,IND,2.06127
2017,Armenia,CLO,6.96545
2017,Armenia,ALP,3.09281
2017,Armenia,AGR,6.21505
2019,Albania,ALP,3.30181
2019,Albania,CLO,0
2019,Albania,AGR,6.97546
2019,Albania,IND,2.99387
2019,Albania,TEX,1.89228
2020,Albania,TEX,2.26665
2020,Albania,AGR,7.05183
2020,Albania,IND,2.9703
2020,Albania,ALP,3.42207
2020,Albania,CLO,0
2021,Albania,ALP,3.47906
