Year,GeoAreaName,Activity,Value
2000,Azerbaijan,TOTAL,48.53
2000,Azerbaijan,ISIC4_GTT,3.91
2000,Azerbaijan,ISIC4_A01_A0210_A0322,28.16
2000,Azerbaijan,INDUSTRIES,16.46
2001,Azerbaijan,ISIC4_A01_A0210_A0322,25.5
2001,Azerbaijan,TOTAL,43.82
2001,Azerbaijan,ISIC4_GTT,3.18
2001,Azerbaijan,INDUSTRIES,15.14
2002,Azerbaijan,TOTAL,43.8
2002,Azerbaijan,ISIC4_GTT,3.56
2000,Belarus,ISIC4_GTT,2.8
2000,Belarus,TOTAL,6.05
2000,Belarus,ISIC4_A01_A0210_A0322,1.46
2000,Belarus,INDUSTRIES,1.79
2001,Belarus,TOTAL,5.97
2001,Belarus,ISIC4_GTT,2.77
2001,Belarus,INDUSTRIES,1.76
2001,Belarus,ISIC4_A01_A0210_A0322,1.44
2002,Belarus,TOTAL,5.88
2002,Belarus,ISIC4_GTT,2.74
2002,Belarus,INDUSTRIES,1.73
2002,Belarus,ISIC4_A01_A0210_A0322,1.41
2003,Belarus,TOTAL,5.8
2003,Belarus,INDUSTRIES,1.69
2003,Belarus,ISIC4_GTT,2.71
2003,Belarus,ISIC4_A01_A0210_A0322,1.39
2004,Belarus,ISIC4_GTT,2.68
2004,Belarus,TOTAL,5.71
2004,Belarus,ISIC4_A01_A0210_A0322,1.37
2004,Belarus,INDUSTRIES,1.66
2002,Azerbaijan,ISIC4_A01_A0210_A0322,27.72
2002,Azerbaijan,INDUSTRIES,12.52
2003,Azerbaijan,ISIC4_A01_A0210_A0322,28.95
2003,Azerbaijan,INDUSTRIES,13.98
2003,Azerbaijan,TOTAL,46.45
2003,Azerbaijan,ISIC4_GTT,3.52
2004,Azerbaijan,ISIC4_GTT,3.44
2004,Azerbaijan,TOTAL,49.35
2004,Azerbaijan,INDUSTRIES,13.56
2004,Azerbaijan,ISIC4_A01_A0210_A0322,32.35
2005,Belarus,TOTAL,5.62
2005,Belarus,ISIC4_A01_A0210_A0322,1.35
2005,Belarus,ISIC4_GTT,2.65
2005,Belarus,INDUSTRIES,1.63
2006,Belarus,TOTAL,5.52
2006,Belarus,INDUSTRIES,1.62
2006,Belarus,ISIC4_A01_A0210_A0322,1.39
