Year,GeoAreaName,Disability status,Grounds of discrimination,Location,Sex,Value
2014,Ireland,_T,ALL,ALLAREA,FEMALE,12.6
2014,Ireland,_T,ALL,ALLAREA,BOTHSEX,11.8
2014,Ireland,_T,ALL,ALLAREA,MALE,11
2014,Ireland,_T,AGE,ALLAREA,BOTHSEX,24.2
2014,Ireland,_T,ETHCOLLANNAL,ALLAREA,MALE,26.4
2014,Ireland,_T,DIS,ALLAREA,FEMALE,6.2
2014,Ireland,_T,ETHCOLLANNAL,ALLAREA,FEMALE,17.1
2014,Ireland,_T,FAM,ALLAREA,FEMALE,13.6
2014,Ireland,_T,FAM,ALLAREA,BOTHSEX,9.3
2014,Ireland,_T,MAR,ALLAREA,MALE,0.7
2014,Ireland,_T,MAR,ALLAREA,FEMALE,4.6
2014,Ireland,_T,MAR,ALLAREA,BOTHSEX,2.8
2014,Ireland,_T,OTHER,ALLAREA,BOTHSEX,40.7
2014,Ireland,_T,SEX,ALLAREA,MALE,3.4
2014,Ireland,_T,DIS,ALLAREA,BOTHSEX,6
2014,Ireland,PWD,ALL,ALLAREA,BOTHSEX,11.1
2019,Ireland,_T,ETHCOLLANNAL,ALLAREA,BOTHSEX,21.9
2019,Ireland,_T,ETHCOLLANNAL,ALLAREA,FEMALE,16
2019,Ireland,_T,DIS,ALLAREA,FEMALE,5
2019,Ireland,_T,ALL,ALLAREA,MALE,16.6
2014,Denmark,_T,ALL,ALLAREA,MALE,4.5
2014,Denmark,_T,ALL,ALLAREA,FEMALE,5.4
2014,Denmark,_T,ALL,ALLAREA,BOTHSEX,4.9
2014,Denmark,PWD,ALL,ALLAREA,BOTHSEX,8.05
2014,Denmark,PD,ALL,ALLAREA,BOTHSEX,3.75
2016,Denmark,_T,ETH,ALLAREA,FEMALE,6.3
2019,Ireland,_T,DIS,ALLAREA,BOTHSEX,4.9
2019,Ireland,_T,FAM,ALLAREA,BOTHSEX,11.7
2019,Ireland,_T,ETHCOLLANNAL,ALLAREA,MALE,28.4
2019,Ireland,_T,ALL,ALLAREA,FEMALE,18.8
2019,Ireland,_T,AGE,ALLAREA,BOTHSEX,34.1
2016,Denmark,_T,DISHEA,ALLAREA,MALE,3.74
2016,Denmark,_T,DISHEA,ALLAREA,FEMALE,5.9
2016,Denmark,_T,ALL,ALLAREA,MALE,18.4
2016,Denmark,_T,ALL,ALLAREA,FEMALE,25
2016,Denmark,PWD,RELIGION,ALLAREA,BOTHSEX,2.91
2019,Belarus,_T,ALL,ALLAREA,FEMALE,4.8
2019,Belarus,_T,ALL,ALLAREA,BOTHSEX,4.4
2019,Belarus,_T,AGE,ALLAREA,MALE,1.6
2019,Belarus,_T,AGE,ALLAREA,FEMALE,1.8
2019,Belarus,_T,AGE,ALLAREA,BOTHSEX,1.7
2015,Poland,_T,ALL,ALLAREA,BOTHSEX,8.2
2015,Poland,_T,ALL,URBAN,BOTHSEX,8.9
2015,Poland,_T,ALL,ALLAREA,FEMALE,8.6
2015,Poland,_T,ALL,ALLAREA,MALE,7.7
2015,Poland,_T,ALL,RURAL,BOTHSEX,7
2018,Poland,_T,ALL,ALLAREA,FEMALE,6.1
2019,Ireland,_T,AGE,ALLAREA,FEMALE,34.1
2019,Ireland,_T,ALL,ALLAREA,BOTHSEX,17.7
2019,Ireland,_T,MAR,ALLAREA,BOTHSEX,5
2019,Ireland,_T,OTHER,ALLAREA,MALE,32.9
2019,Ireland,_T,OTHER,ALLAREA,BOTHSEX,32.2
2019,Ireland,_T,OTHER,ALLAREA,FEMALE,31.7
2019,Ireland,_T,FAM,ALLAREA,MALE,9
2019,Ireland,_T,FAM,ALLAREA,FEMALE,14.1
2019,Ireland,_T,MAR,ALLAREA,FEMALE,4.4
2019,Ireland,_T,SEXO,ALLAREA,FEMALE,8.8
2016,Denmark,PWD,ETH,ALLAREA,BOTHSEX,6.74
2016,Denmark,PWD,DISHEA,ALLAREA,BOTHSEX,1.26
2016,Denmark,PWD,ALL,ALLAREA,BOTHSEX,20.4
2016,Denmark,PWD,AGE,ALLAREA,BOTHSEX,9.42
2016,Denmark,PD,ALL,ALLAREA,BOTHSEX,27.9
2019,Ireland,_T,SEXO,ALLAREA,MALE,9.5
2019,Ireland,_T,SEX,ALLAREA,BOTHSEX,18.6
2019,Ireland,PWD,ALL,ALLAREA,BOTHSEX,16.7
2019,Ireland,PD,ALL,ALLAREA,BOTHSEX,24.1
2019,Ireland,_T,DIS,ALLAREA,MALE,4.8
2019,Belarus,_T,ALL,ALLAREA,MALE,4
2019,Belarus,_T,OTHER,RURAL,FEMALE,0.7
2019,Belarus,_T,OTHER,RURAL,BOTHSEX,0.6
2019,Belarus,_T,MIG,RURAL,MALE,0.2
2019,Belarus,_T,MIG,RURAL,FEMALE,0.1
2019,Ireland,_T,AGE,ALLAREA,MALE,34.2
2019,Ireland,_T,MAR,ALLAREA,MALE,5.6
2019,Ireland,_T,SEX,ALLAREA,MALE,7.8
2019,Ireland,_T,SEXO,ALLAREA,BOTHSEX,9.1
2019,Ireland,_T,SEX,ALLAREA,FEMALE,29.1
2016,Denmark,_T,ALL,ALLAREA,BOTHSEX,22.5
