Year,GeoAreaName,Age,Type of skill,Value
2012,Austria,16-65,LITE,0.7676
2012,Austria,16-65,NUME,0.76559
2012,Belgium,16-65,NUME,0.76798
2012,Belgium,16-65,LITE,0.71704
2012,Cyprus,16-65,NUME,0.96282
2012,Cyprus,16-65,LITE,0.9027
2012,Czechia,16-65,LITE,0.93911
2012,Czechia,16-65,NUME,0.89655
2012,Denmark,16-65,NUME,0.73527
2012,Denmark,16-65,LITE,0.70278
2012,Estonia,16-65,NUME,0.9087
2012,Estonia,16-65,LITE,0.8655
2012,Finland,16-65,LITE,0.68468
2012,Finland,16-65,NUME,0.67272
2012,France,16-65,NUME,0.62016
2012,France,16-65,LITE,0.68977
2012,Germany,16-65,LITE,0.71627
2012,Germany,16-65,NUME,0.70824
2015,Greece,16-65,NUME,0.97385
2015,Greece,16-65,LITE,0.93667
2017,Hungary,16-65,NUME,1.04718
2017,Hungary,16-65,LITE,1.06388
2012,Ireland,16-65,NUME,1.03248
2012,Ireland,16-65,LITE,0.97201
2012,Italy,16-65,LITE,0.77817
2012,Italy,16-65,NUME,0.84878
2017,Kazakhstan,16-65,LITE,0.95375
2017,Kazakhstan,16-65,NUME,1.05601
2015,Lithuania,16-65,NUME,0.93376
2015,Lithuania,16-65,LITE,0.90811
2012,Netherlands,16-65,NUME,0.68325
2012,Netherlands,16-65,LITE,0.69596
2012,Norway,16-65,LITE,0.71197
2012,Norway,16-65,NUME,0.67671
2012,Slovakia,16-65,LITE,0.97845
2012,Slovakia,16-65,NUME,0.93639
2015,Slovenia,16-65,NUME,0.67954
2015,Slovenia,16-65,LITE,0.7442
2012,Spain,16-65,LITE,0.77081
2012,Spain,16-65,NUME,0.77117
2012,Sweden,16-65,NUME,0.63196
2012,Sweden,16-65,LITE,0.62251
2012,Sweden,16-65,LITE,0.62251
