Year,GeoAreaName,Age,Location,Sex,Value
2000,Albania,<1M,,BOTHSEX,12.2
2001,Albania,<1M,,BOTHSEX,11.8
2002,Albania,<1M,,BOTHSEX,11.5
2003,Albania,<1M,,BOTHSEX,11.2
2004,Albania,<1M,,BOTHSEX,10.9
2005,Albania,<1M,,BOTHSEX,10.5
2006,Albania,<1M,,BOTHSEX,10
2007,Albania,<1M,,BOTHSEX,9.3
2008,Albania,<1M,,BOTHSEX,8.3
2009,Albania,<1M,,BOTHSEX,7.4
2010,Albania,<1M,,BOTHSEX,6.7
2011,Albania,<1M,,BOTHSEX,6.3
2012,Albania,<1M,,BOTHSEX,6.1
2013,Albania,<1M,,BOTHSEX,5.9
2014,Albania,<1M,,BOTHSEX,5.9
2015,Albania,<1M,,BOTHSEX,6
2016,Albania,<1M,,BOTHSEX,6.3
2017,Albania,<1M,,BOTHSEX,6.7
2018,Albania,<1M,,BOTHSEX,7
2019,Albania,<1M,,BOTHSEX,7.1
2020,Albania,<1M,,BOTHSEX,7.2
2021,Albania,<1M,,BOTHSEX,7.1
2000,Kosovo,<1M,,BOTHSEX,27.6
2001,Kosovo,<1M,,BOTHSEX,26.2
2002,Kosovo,<1M,,BOTHSEX,24.8
2003,Kosovo,<1M,,BOTHSEX,23.3
2004,Kosovo,<1M,,BOTHSEX,21.6
2005,Kosovo,<1M,,BOTHSEX,19.9
2006,Kosovo,<1M,,BOTHSEX,18.4
2007,Kosovo,<1M,,BOTHSEX,17.1
2008,Kosovo,<1M,,BOTHSEX,15.9
2009,Kosovo,<1M,,BOTHSEX,14.9
2010,Kosovo,<1M,,BOTHSEX,14
2011,Kosovo,<1M,,BOTHSEX,13.1
2012,Kosovo,<1M,,BOTHSEX,12.2
2013,Kosovo,<1M,,BOTHSEX,11.5
2014,Kosovo,<1M,,BOTHSEX,10.7
2015,Kosovo,<1M,,BOTHSEX,10.1
2016,Kosovo,<1M,,BOTHSEX,9.6
2017,Kosovo,<1M,,BOTHSEX,9.1
2018,Kosovo,<1M,,BOTHSEX,8.7
2019,Kosovo,<1M,,BOTHSEX,8.3
2020,Kosovo,<1M,,BOTHSEX,7.9
2021,Kosovo,<1M,,BOTHSEX,7.5
2000,Kyrgyzstan,<1M,,BOTHSEX,20.3
2001,Kyrgyzstan,<1M,,BOTHSEX,19.9
2002,Kyrgyzstan,<1M,,BOTHSEX,19.7
2003,Kyrgyzstan,<1M,,BOTHSEX,19.6
2004,Kyrgyzstan,<1M,,BOTHSEX,19.5
2005,Kyrgyzstan,<1M,,BOTHSEX,19.5
2006,Kyrgyzstan,<1M,,BOTHSEX,19.4
2007,Kyrgyzstan,<1M,,BOTHSEX,19.1
2008,Kyrgyzstan,<1M,,BOTHSEX,18.4
2009,Kyrgyzstan,<1M,,BOTHSEX,17.7
2010,Kyrgyzstan,<1M,,BOTHSEX,17
2011,Kyrgyzstan,<1M,,BOTHSEX,16.4
2012,Kyrgyzstan,<1M,,BOTHSEX,15.9
2013,Kyrgyzstan,<1M,,BOTHSEX,15.6
2014,Kyrgyzstan,<1M,,BOTHSEX,15.3
2015,Kyrgyzstan,<1M,,BOTHSEX,14.9
2016,Kyrgyzstan,<1M,,BOTHSEX,14.3
