Year,GeoAreaName,Age,Value
2015,Albania,<5Y,1.29
2015,Azerbaijan,<5Y,0.27
2015,Austria,<5Y,0.32
2015,Armenia,<5Y,0.25
2015,Belgium,<5Y,0.18
2015,Bosnia and Herzegovina,<5Y,0.3
2015,Bulgaria,<5Y,0.31
2015,Belarus,<5Y,0.2
2015,Croatia,<5Y,0.11
2015,Cyprus,<5Y,0.6
2015,Czechia,<5Y,0.39
2015,Denmark,<5Y,0.79
2015,Estonia,<5Y,0.36
2015,Finland,<5Y,1.05
2015,France,<5Y,0.01
2015,Georgia,<5Y,0.26
2015,Germany,<5Y,0.24
2015,Greece,<5Y,0.37
2015,Hungary,<5Y,0.44
2015,Iceland,<5Y,0.88
2015,Ireland,<5Y,0.01
2015,Italy,<5Y,0.61
2015,Kazakhstan,<5Y,0.21
2015,Kyrgyzstan,<5Y,0.5
2015,Latvia,<5Y,0.51
2015,Lithuania,<5Y,0.19
2015,Luxembourg,<5Y,0.24
2015,Malta,<5Y,0.39
2015,Republic of Moldova,<5Y,0.65
2015,Montenegro,<5Y,0.65
2015,Netherlands,<5Y,0.04
2015,Norway,<5Y,0.01
2015,Poland,<5Y,0.04
2015,Portugal,<5Y,0.1
2015,Romania,<5Y,0.65
2015,Serbia,<5Y,0.11
2015,Slovakia,<5Y,0.56
2015,Slovenia,<5Y,1.04
2015,Spain,<5Y,0.19
2015,Sweden,<5Y,0.32
2015,Switzerland,<5Y,0.17
2015,Tajikistan,<5Y,0.71
2015,Türkiye,<5Y,0.32
2015,Turkmenistan,<5Y,0.23
2015,Ukraine,<5Y,0.46
2015,North Macedonia,<5Y,0.2
2015,Uzbekistan,<5Y,0.6
2015,Uzbekistan,<5Y,0.6
