Year,GeoAreaName,Age,Value
2021,Austria,<=45Y,16
2022,Austria,<=45Y,19
2023,Austria,<=45Y,19
2021,Belgium,<=45Y,29
2022,Belgium,<=45Y,29
2023,Belgium,<=45Y,29
2021,Bosnia and Herzegovina,<=45Y,1
2022,Bosnia and Herzegovina,<=45Y,1
2023,Bosnia and Herzegovina,<=45Y,1
2021,Belarus,<=45Y,10
2022,Belarus,<=45Y,10
2023,Belarus,<=45Y,10
2021,Czechia,<=45Y,4
2022,Czechia,<=45Y,4
2023,Czechia,<=45Y,7
2021,France,<=45Y,25
2022,France,<=45Y,25
2023,France,<=45Y,25
2022,Germany,<=45Y,9
2023,Germany,<=45Y,9
2021,Ireland,<=45Y,16
2022,Ireland,<=45Y,16
2023,Ireland,<=45Y,16
2021,Italy,<=45Y,86
2022,Italy,<=45Y,86
2023,Italy,<=45Y,18
2022,Kazakhstan,<=45Y,1
2023,Kazakhstan,<=45Y,1
2021,Netherlands,<=45Y,9
2022,Netherlands,<=45Y,9
2023,Netherlands,<=45Y,9
2021,Poland,<=45Y,9
2022,Poland,<=45Y,9
2023,Poland,<=45Y,9
2021,Romania,<=45Y,47
2022,Romania,<=45Y,47
2023,Romania,<=45Y,47
2022,Slovenia,<=45Y,2
2023,Slovenia,<=45Y,8
2021,Spain,<=45Y,59
2022,Spain,<=45Y,59
2023,Spain,<=45Y,59
2021,Switzerland,<=45Y,8
2022,Switzerland,<=45Y,8
2023,Switzerland,<=45Y,8
2022,Tajikistan,<=45Y,7
2023,Tajikistan,<=45Y,7
2022,Uzbekistan,<=45Y,16
2023,Uzbekistan,<=45Y,16
2023,Uzbekistan,<=45Y,16
