Year,GeoAreaName,Type of product,Value
2000,Azerbaijan,IND,3.28922
2000,Azerbaijan,ALP,1.62338
2000,Azerbaijan,ARM,1.37112
2000,Azerbaijan,AGR,2.7164
2000,Azerbaijan,CLO,12.35891
2000,Azerbaijan,TEX,4.21757
2000,Azerbaijan,OIL,0.29983
2005,Azerbaijan,TEX,4.87913
2005,Azerbaijan,OIL,0.16938
2005,Azerbaijan,IND,2.06474
2005,Azerbaijan,CLO,11.28164
2005,Azerbaijan,ARM,1.4846
2005,Azerbaijan,ALP,1.1128
2005,Azerbaijan,AGR,3.32258
2010,Azerbaijan,CLO,11.18639
2010,Azerbaijan,ARM,1.4846
2010,Azerbaijan,ALP,0.88626
2010,Azerbaijan,AGR,4.10471
2010,Azerbaijan,TEX,4.84074
2010,Azerbaijan,OIL,0
2010,Azerbaijan,IND,1.77261
2011,Azerbaijan,CLO,11.18639
2011,Azerbaijan,ARM,1.4846
2011,Azerbaijan,ALP,0.8467
2011,Azerbaijan,AGR,4.05224
2011,Azerbaijan,IND,1.68865
2011,Azerbaijan,OIL,0
2011,Azerbaijan,TEX,4.83795
2012,Azerbaijan,AGR,3.98637
2012,Azerbaijan,TEX,4.83515
2012,Azerbaijan,OIL,0
2012,Azerbaijan,IND,1.53524
2012,Azerbaijan,CLO,11.1864
2012,Azerbaijan,ARM,2.03553
2012,Azerbaijan,ALP,0.78122
2013,Azerbaijan,ARM,2.03553
2013,Azerbaijan,ALP,0.81653
2013,Azerbaijan,AGR,4.04861
2013,Azerbaijan,TEX,4.83272
2013,Azerbaijan,OIL,0
2013,Azerbaijan,IND,1.61502
2013,Azerbaijan,CLO,11.18543
2014,Azerbaijan,TEX,4.834
2014,Azerbaijan,OIL,0
2014,Azerbaijan,IND,1.51966
2014,Azerbaijan,CLO,11.21352
2014,Azerbaijan,ARM,2.03553
2014,Azerbaijan,ALP,0.77287
2014,Azerbaijan,AGR,4.04901
2015,Azerbaijan,ALP,0.69464
2015,Azerbaijan,ARM,2.03553
2015,Azerbaijan,IND,1.33229
2015,Azerbaijan,CLO,11.11998
2015,Azerbaijan,TEX,4.864
2015,Azerbaijan,AGR,4.03814
2015,Azerbaijan,OIL,0
2016,Azerbaijan,ALP,0.7063
2016,Azerbaijan,AGR,4.02821
2016,Azerbaijan,TEX,4.86907
2016,Azerbaijan,OIL,0
2016,Azerbaijan,IND,1.35348
2016,Azerbaijan,CLO,11.11896
2016,Azerbaijan,ARM,2.03553
2017,Azerbaijan,TEX,4.81648
2017,Azerbaijan,OIL,0
2017,Azerbaijan,IND,1.54274
2017,Azerbaijan,CLO,10.99256
2017,Azerbaijan,ARM,1.81901
2017,Azerbaijan,ALP,0.78561
2017,Azerbaijan,AGR,3.66172
2018,Azerbaijan,IND,1.56387
2018,Azerbaijan,CLO,11.12903
2018,Azerbaijan,ARM,2.03553
2018,Azerbaijan,ALP,0.79491
2018,Azerbaijan,AGR,3.66852
2018,Azerbaijan,OIL,0
