Year,GeoAreaName,Bioclimatic belt,Value
2000,Republic of Moldova,REMAIN_MOUNT,NaN
2000,Republic of Moldova,NIVAL,NaN
2000,Republic of Moldova,ALPINE,NaN
2000,Republic of Moldova,TOTAL,65.04
2000,Republic of Moldova,MONTANE,65.04
2005,Republic of Moldova,MONTANE,65.04
2005,Republic of Moldova,TOTAL,65.04
2005,Republic of Moldova,REMAIN_MOUNT,NaN
2005,Republic of Moldova,ALPINE,NaN
2005,Republic of Moldova,NIVAL,NaN
2010,Republic of Moldova,REMAIN_MOUNT,NaN
2010,Republic of Moldova,NIVAL,NaN
2010,Republic of Moldova,ALPINE,NaN
2000,Albania,NIVAL,NaN
2000,Albania,MONTANE,20033.47
2000,Albania,ALPINE,12.88
2000,Albania,REMAIN_MOUNT,221.1
2000,Albania,TOTAL,20267.45
2005,Albania,REMAIN_MOUNT,221.1
2005,Albania,MONTANE,20033.47
2005,Albania,ALPINE,12.88
2005,Albania,TOTAL,20267.45
2005,Albania,NIVAL,NaN
2010,Albania,REMAIN_MOUNT,221.1
2010,Albania,ALPINE,12.88
2010,Republic of Moldova,MONTANE,65.04
2010,Republic of Moldova,TOTAL,65.04
2015,Republic of Moldova,MONTANE,65.04
2015,Republic of Moldova,TOTAL,65.04
2015,Republic of Moldova,ALPINE,NaN
2015,Republic of Moldova,NIVAL,NaN
2015,Republic of Moldova,REMAIN_MOUNT,NaN
2018,Republic of Moldova,ALPINE,NaN
2018,Republic of Moldova,REMAIN_MOUNT,NaN
2018,Republic of Moldova,TOTAL,65.04
2018,Republic of Moldova,NIVAL,NaN
2018,Republic of Moldova,MONTANE,65.04
2010,Albania,TOTAL,20267.45
2010,Albania,MONTANE,20033.47
2010,Albania,NIVAL,NaN
2015,Albania,TOTAL,20267.45
2015,Albania,ALPINE,12.88
2015,Albania,MONTANE,20033.47
2015,Albania,REMAIN_MOUNT,221.1
2015,Albania,NIVAL,NaN
2018,Albania,ALPINE,12.88
