Year,GeoAreaName,Activity,Value
2000,Azerbaijan,ISIC4_GTT,5.25
2000,Azerbaijan,ISIC4_A01_A0210_A0322,0.21
2000,Azerbaijan,TOTAL,0.98
2000,Azerbaijan,INDUSTRIES,1.27
2001,Azerbaijan,ISIC4_A01_A0210_A0322,0.25
2001,Azerbaijan,TOTAL,1.18
2001,Azerbaijan,INDUSTRIES,1.6
2001,Azerbaijan,ISIC4_GTT,6.65
2002,Azerbaijan,ISIC4_GTT,5.97
2002,Azerbaijan,ISIC4_A01_A0210_A0322,0.25
2002,Azerbaijan,TOTAL,1.29
2002,Azerbaijan,INDUSTRIES,2.28
2003,Azerbaijan,INDUSTRIES,2.35
2003,Azerbaijan,TOTAL,1.34
2003,Azerbaijan,ISIC4_GTT,6.51
2003,Azerbaijan,ISIC4_A01_A0210_A0322,0.23
2004,Azerbaijan,ISIC4_GTT,7.21
2004,Azerbaijan,INDUSTRIES,2.78
2004,Azerbaijan,TOTAL,1.4
2004,Azerbaijan,ISIC4_A01_A0210_A0322,0.2
2005,Azerbaijan,ISIC4_A01_A0210_A0322,0.2
2005,Azerbaijan,TOTAL,1.7
2013,Estonia,INDUSTRIES,2.76
2013,Estonia,TOTAL,10.57
2014,Estonia,TOTAL,10.98
2014,Estonia,INDUSTRIES,2.84
2014,Estonia,ISIC4_A01_A0210_A0322,0.31
2014,Estonia,ISIC4_GTT,237.54
2015,Estonia,TOTAL,12.14
2015,Estonia,INDUSTRIES,3.08
2015,Estonia,ISIC4_GTT,248.93
2015,Estonia,ISIC4_A01_A0210_A0322,0.48
2016,Estonia,TOTAL,11.33
2005,Azerbaijan,INDUSTRIES,4.05
2005,Azerbaijan,ISIC4_GTT,7.12
2006,Azerbaijan,TOTAL,2.29
2006,Azerbaijan,INDUSTRIES,5.72
2006,Azerbaijan,ISIC4_A01_A0210_A0322,0.2
2006,Azerbaijan,ISIC4_GTT,8.75
2007,Azerbaijan,ISIC4_A01_A0210_A0322,0.22
2007,Azerbaijan,TOTAL,2.87
