Year,GeoAreaName,Bioclimatic belt,Land cover,Value
2000,Albania,MONTANE,HERB_AQUA_FLOOD,10.28
2000,Albania,TOTAL,SPARSE_NAT_VEG,365.83
2000,Albania,MONTANE,SHRUB_COVERED,759.35
2000,Albania,REMAIN_MOUNT,GRASSLAND,7.39
2000,Albania,TOTAL,MGCI,19398.27
2000,Albania,TOTAL,GRASSLAND,1499.05
2000,Albania,REMAIN_MOUNT,MGCI,218.4
2000,Albania,REMAIN_MOUNT,SHRUB_COVERED,9.64
2000,Albania,TOTAL,ARTIFICIAL,20.97
2000,Albania,ALPINE,ARTIFICIAL,0.07
2000,Albania,ALPINE,GRASSLAND,6.25
2000,Albania,TOTAL,TREE_COVERED,8529.65
2000,Albania,TOTAL,TERRESTRIAL_BARREN,303.3
2000,Albania,ALPINE,TERRESTRIAL_BARREN,0.68
2000,Albania,MONTANE,GRASSLAND,1485.42
2000,Albania,TOTAL,SHRUB_COVERED,768.99
2000,Albania,ALPINE,SPARSE_NAT_VEG,5.88
2000,Albania,REMAIN_MOUNT,TREE_COVERED,23.16
2000,Albania,MONTANE,TREE_COVERED,8506.5
2000,Albania,TOTAL,HERB_AQUA_FLOOD,10.28
2000,Albania,MONTANE,CROPLAND,8412.08
2000,Albania,REMAIN_MOUNT,INLAND_WATER,0.24
2000,Albania,MONTANE,INLAND_WATER,178.84
2000,Albania,MONTANE,SPARSE_NAT_VEG,359.95
2000,Albania,ALPINE,MGCI,6.25
2000,Albania,REMAIN_MOUNT,CROPLAND,178.21
2000,Albania,TOTAL,INLAND_WATER,179.09
2000,Albania,MONTANE,MGCI,19173.63
2000,Albania,TOTAL,CROPLAND,8590.29
2000,Albania,MONTANE,ARTIFICIAL,20.89
2000,Albania,REMAIN_MOUNT,TERRESTRIAL_BARREN,2.46
2000,Albania,MONTANE,TERRESTRIAL_BARREN,300.17
2005,Albania,REMAIN_MOUNT,INLAND_WATER,0.24
2005,Albania,MONTANE,TERRESTRIAL_BARREN,304.08
2005,Albania,REMAIN_MOUNT,TREE_COVERED,23.8
2005,Albania,ALPINE,TERRESTRIAL_BARREN,0.68
2005,Albania,MONTANE,SHRUB_COVERED,752.41
2005,Albania,REMAIN_MOUNT,GRASSLAND,7.39
2005,Albania,TOTAL,SHRUB_COVERED,762.05
2005,Albania,MONTANE,ARTIFICIAL,21.54
2005,Albania,MONTANE,MGCI,19164.92
