Year,GeoAreaName,Age,Value
2021,Austria,<=45Y,26.23
2022,Austria,<=45Y,31.15
2023,Austria,<=45Y,31.15
2021,Belgium,<=45Y,48.33
2022,Belgium,<=45Y,48.33
2023,Belgium,<=45Y,48.33
2021,Bosnia and Herzegovina,<=45Y,6.67
2022,Bosnia and Herzegovina,<=45Y,6.67
2023,Bosnia and Herzegovina,<=45Y,6.67
2021,Belarus,<=45Y,16.67
2022,Belarus,<=45Y,16.67
2023,Belarus,<=45Y,16.67
2021,Czechia,<=45Y,4.94
2022,Czechia,<=45Y,4.94
2023,Czechia,<=45Y,8.54
2021,France,<=45Y,7.18
2022,France,<=45Y,7.18
2023,France,<=45Y,7.18
2022,Germany,<=45Y,13.04
2023,Germany,<=45Y,13.04
2021,Ireland,<=45Y,27.12
2022,Ireland,<=45Y,27.12
2023,Ireland,<=45Y,27.12
2021,Italy,<=45Y,26.88
2022,Italy,<=45Y,26.88
2023,Italy,<=45Y,8.74
2022,Kazakhstan,<=45Y,2.08
2023,Kazakhstan,<=45Y,2.08
2021,Netherlands,<=45Y,12
2022,Netherlands,<=45Y,12
2023,Netherlands,<=45Y,12
2021,Poland,<=45Y,9
2022,Poland,<=45Y,9
2023,Poland,<=45Y,9
2021,Romania,<=45Y,34.56
2022,Romania,<=45Y,34.56
2023,Romania,<=45Y,34.56
2022,Slovenia,<=45Y,5
2023,Slovenia,<=45Y,20
2021,Spain,<=45Y,22.35
2022,Spain,<=45Y,22.35
2023,Spain,<=45Y,22.35
2021,Switzerland,<=45Y,17.39
2022,Switzerland,<=45Y,17.39
2023,Switzerland,<=45Y,17.39
2022,Tajikistan,<=45Y,22.58
2023,Tajikistan,<=45Y,22.58
2022,Uzbekistan,<=45Y,16.84
2023,Uzbekistan,<=45Y,16.84
2023,Uzbekistan,<=45Y,16.84
