Year,GeoAreaName,Education level,Location,Quantile,Sex,Value
2000,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,0.5026
2000,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,0.97251
2000,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,0.93444
2005,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,0.97682
2005,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,1.0007
2005,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,0.21595
2009,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,0.9736
2009,Albania,LOWSEC,URBAN,_T,FEMALE,0
2009,Albania,LOWSEC,URBAN,_T,MALE,0
2009,Albania,LOWSEC,URBAN,_T,BOTHSEX,0
2009,Albania,LOWSEC,RURAL,_T,BOTHSEX,0
2009,Albania,PRIMAR,URBAN,_T,BOTHSEX,0
2009,Albania,PRIMAR,URBAN,_T,MALE,0
2009,Albania,LOWSEC,RURAL,_T,MALE,0
2009,Albania,UPPSEC,URBAN,_T,MALE,0
2009,Albania,UPPSEC,URBAN,_T,FEMALE,0
2009,Albania,PRIMAR,RURAL,_T,MALE,0
2009,Albania,LOWSEC,RURAL,_T,FEMALE,0
2009,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,0.18084
2009,Albania,PRIMAR,ALLAREA,_T,MALE,0.97531
2009,Albania,PRIMAR,RURAL,_T,BOTHSEX,0
2009,Albania,UPPSEC,RURAL,_T,BOTHSEX,0
2009,Albania,PRIMAR,ALLAREA,_T,FEMALE,0.97177
2009,Albania,LOWSEC,ALLAREA,_T,FEMALE,0.4037
2009,Albania,PRIMAR,RURAL,_T,FEMALE,0
2009,Albania,LOWSEC,ALLAREA,_T,MALE,0.45957
2009,Albania,UPPSEC,URBAN,_T,BOTHSEX,0
2009,Albania,UPPSEC,ALLAREA,_T,MALE,0.22223
2009,Albania,PRIMAR,URBAN,_T,FEMALE,0
2009,Albania,UPPSEC,ALLAREA,_T,FEMALE,0.14785
2009,Albania,UPPSEC,RURAL,_T,FEMALE,0
2009,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,0.42906
2009,Albania,UPPSEC,RURAL,_T,MALE,0
2017,Albania,UPPSEC,URBAN,_T,FEMALE,0.4871
2017,Albania,LOWSEC,RURAL,_T,MALE,0
2017,Albania,PRIMAR,URBAN,_T,MALE,1.01349
2017,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,0.87836
2017,Albania,UPPSEC,RURAL,_T,FEMALE,0
2017,Albania,UPPSEC,ALLAREA,_T,FEMALE,0.61352
2017,Albania,UPPSEC,RURAL,_T,MALE,0
2017,Albania,LOWSEC,RURAL,_T,FEMALE,0
2017,Albania,PRIMAR,RURAL,_T,MALE,0
2017,Albania,UPPSEC,URBAN,_T,MALE,0.43115
2017,Albania,PRIMAR,URBAN,_T,FEMALE,0.9751
2017,Albania,UPPSEC,ALLAREA,_T,MALE,0.62573
2017,Albania,PRIMAR,URBAN,_T,BOTHSEX,0.9926
2017,Albania,LOWSEC,RURAL,_T,BOTHSEX,0.94351
2000,Republic of Moldova,UPPSEC,ALLAREA,_T,BOTHSEX,0.35229
2000,Republic of Moldova,PRIMAR,ALLAREA,_T,BOTHSEX,0.9851
2000,Republic of Moldova,LOWSEC,ALLAREA,_T,BOTHSEX,0.79169
2005,Republic of Moldova,LOWSEC,URBAN,_T,BOTHSEX,0
2005,Republic of Moldova,LOWSEC,URBAN,_T,FEMALE,0
2005,Republic of Moldova,LOWSEC,RURAL,_T,BOTHSEX,0
2005,Republic of Moldova,PRIMAR,URBAN,_T,BOTHSEX,0
2005,Republic of Moldova,LOWSEC,RURAL,_T,FEMALE,0
2005,Republic of Moldova,UPPSEC,ALLAREA,_T,FEMALE,0.36879
2005,Republic of Moldova,PRIMAR,ALLAREA,_T,FEMALE,0.96505
2005,Republic of Moldova,LOWSEC,ALLAREA,_T,FEMALE,0.88229
2005,Republic of Moldova,UPPSEC,URBAN,_T,MALE,0
2005,Republic of Moldova,PRIMAR,ALLAREA,_T,MALE,0.93343
2005,Republic of Moldova,UPPSEC,RURAL,_T,MALE,0
2005,Republic of Moldova,UPPSEC,URBAN,_T,FEMALE,0
2005,Republic of Moldova,LOWSEC,ALLAREA,_T,BOTHSEX,0.79238
2005,Republic of Moldova,PRIMAR,URBAN,_T,FEMALE,0
2005,Republic of Moldova,PRIMAR,RURAL,_T,BOTHSEX,0
2005,Republic of Moldova,UPPSEC,ALLAREA,_T,MALE,0.25155
2005,Republic of Moldova,UPPSEC,URBAN,_T,BOTHSEX,0
2005,Republic of Moldova,LOWSEC,RURAL,_T,MALE,0
2005,Republic of Moldova,LOWSEC,URBAN,_T,MALE,0
2005,Republic of Moldova,PRIMAR,URBAN,_T,MALE,0
2005,Republic of Moldova,UPPSEC,RURAL,_T,FEMALE,0
2005,Republic of Moldova,PRIMAR,RURAL,_T,FEMALE,0
2005,Republic of Moldova,PRIMAR,ALLAREA,_T,BOTHSEX,0.94901
2005,Republic of Moldova,UPPSEC,ALLAREA,_T,BOTHSEX,0.30437
2005,Republic of Moldova,UPPSEC,RURAL,_T,BOTHSEX,0
2005,Republic of Moldova,LOWSEC,ALLAREA,_T,MALE,0.70902
2005,Republic of Moldova,PRIMAR,RURAL,_T,MALE,0
2012,Republic of Moldova,LOWSEC,ALLAREA,_T,MALE,0.78789
2012,Republic of Moldova,UPPSEC,RURAL,_T,BOTHSEX,0
2012,Republic of Moldova,UPPSEC,URBAN,_T,FEMALE,0
2012,Republic of Moldova,UPPSEC,RURAL,_T,MALE,0
2012,Republic of Moldova,LOWSEC,ALLAREA,_T,FEMALE,0.91129
2012,Republic of Moldova,PRIMAR,ALLAREA,_T,MALE,0.96951
2012,Republic of Moldova,PRIMAR,ALLAREA,_T,BOTHSEX,0.97003
2012,Republic of Moldova,UPPSEC,RURAL,_T,FEMALE,0
2012,Republic of Moldova,UPPSEC,ALLAREA,_T,FEMALE,0.23533
2012,Republic of Moldova,LOWSEC,RURAL,_T,FEMALE,0
2012,Republic of Moldova,PRIMAR,URBAN,_T,BOTHSEX,0
2012,Republic of Moldova,LOWSEC,RURAL,_T,BOTHSEX,0
2012,Republic of Moldova,LOWSEC,URBAN,_T,MALE,0
2006,Kazakhstan,UPPSEC,URBAN,_T,BOTHSEX,0.82722
2006,Kazakhstan,LOWSEC,URBAN,_T,MALE,1.00533
2006,Kazakhstan,LOWSEC,RURAL,_T,BOTHSEX,0
2006,Kazakhstan,UPPSEC,ALLAREA,_T,FEMALE,0.88583
2006,Kazakhstan,UPPSEC,RURAL,_T,FEMALE,0
2006,Kazakhstan,UPPSEC,ALLAREA,_T,MALE,0.94037
2006,Kazakhstan,LOWSEC,RURAL,_T,FEMALE,0
2006,Kazakhstan,PRIMAR,URBAN,_T,FEMALE,1.00206
2005,Georgia,UPPSEC,ALLAREA,_T,BOTHSEX,0.63818
2005,Georgia,PRIMAR,ALLAREA,_T,BOTHSEX,0.96149
2005,Georgia,LOWSEC,ALLAREA,_T,BOTHSEX,0.90628
2013,Georgia,LOWSEC,ALLAREA,_T,BOTHSEX,0.98938
2013,Georgia,PRIMAR,ALLAREA,_T,BOTHSEX,1.0056
2013,Georgia,UPPSEC,ALLAREA,_T,BOTHSEX,0.8914
2016,Georgia,UPPSEC,ALLAREA,_T,BOTHSEX,0.92075
2016,Georgia,PRIMAR,ALLAREA,_T,BOTHSEX,1
2016,Georgia,LOWSEC,ALLAREA,_T,BOTHSEX,1
2018,Georgia,LOWSEC,ALLAREA,_T,BOTHSEX,0.93167
2012,Republic of Moldova,UPPSEC,URBAN,_T,BOTHSEX,0
2012,Republic of Moldova,UPPSEC,ALLAREA,_T,MALE,0.28344
2012,Republic of Moldova,PRIMAR,RURAL,_T,BOTHSEX,0
2012,Republic of Moldova,LOWSEC,ALLAREA,_T,BOTHSEX,0.84609
2012,Republic of Moldova,PRIMAR,URBAN,_T,FEMALE,0
2012,Republic of Moldova,PRIMAR,RURAL,_T,MALE,0
2012,Republic of Moldova,UPPSEC,URBAN,_T,MALE,0
2012,Republic of Moldova,PRIMAR,ALLAREA,_T,FEMALE,0.97085
2012,Republic of Moldova,UPPSEC,ALLAREA,_T,BOTHSEX,0.25813
2012,Republic of Moldova,PRIMAR,RURAL,_T,FEMALE,0
2012,Republic of Moldova,LOWSEC,URBAN,_T,FEMALE,0
2012,Republic of Moldova,LOWSEC,URBAN,_T,BOTHSEX,0
2012,Republic of Moldova,LOWSEC,RURAL,_T,MALE,0
2012,Republic of Moldova,PRIMAR,URBAN,_T,MALE,0
2017,Albania,LOWSEC,URBAN,_T,BOTHSEX,0.70134
2017,Albania,PRIMAR,ALLAREA,_T,FEMALE,0.96466
2017,Albania,LOWSEC,ALLAREA,_T,FEMALE,0.85951
2017,Albania,UPPSEC,RURAL,_T,BOTHSEX,0.68799
2017,Albania,PRIMAR,RURAL,_T,BOTHSEX,0.95621
2017,Albania,PRIMAR,ALLAREA,_T,MALE,0.93917
2017,Albania,LOWSEC,URBAN,_T,MALE,0.68239
2017,Albania,LOWSEC,URBAN,_T,FEMALE,0.72394
2005,Montenegro,PRIMAR,ALLAREA,_T,BOTHSEX,0.95637
2005,Montenegro,UPPSEC,ALLAREA,_T,BOTHSEX,0.38011
2005,Montenegro,LOWSEC,ALLAREA,_T,BOTHSEX,0.88
2013,Montenegro,UPPSEC,RURAL,_T,FEMALE,0
2013,Montenegro,LOWSEC,URBAN,_T,FEMALE,0
2013,Montenegro,PRIMAR,URBAN,_T,BOTHSEX,0
2013,Montenegro,LOWSEC,RURAL,_T,BOTHSEX,0.99009
2013,Montenegro,PRIMAR,URBAN,_T,MALE,0
2018,Georgia,PRIMAR,URBAN,_T,MALE,1.00411
2018,Georgia,PRIMAR,URBAN,_T,FEMALE,1
2018,Georgia,UPPSEC,ALLAREA,_T,MALE,0.60876
2018,Georgia,UPPSEC,URBAN,_T,BOTHSEX,0.61794
2018,Georgia,LOWSEC,ALLAREA,_T,FEMALE,0.91254
2018,Georgia,UPPSEC,ALLAREA,_T,BOTHSEX,0.57944
2018,Georgia,LOWSEC,ALLAREA,_T,MALE,0.94608
2018,Georgia,UPPSEC,URBAN,_T,FEMALE,0
2013,Montenegro,LOWSEC,RURAL,_T,MALE,0.98121
2013,Montenegro,PRIMAR,ALLAREA,_T,FEMALE,0.98952
2013,Montenegro,LOWSEC,ALLAREA,_T,FEMALE,0.97771
2013,Montenegro,UPPSEC,URBAN,_T,MALE,0
2013,Montenegro,UPPSEC,URBAN,_T,FEMALE,0
