Year,GeoAreaName,Education level,Type of skill,Value
2000,Albania,LOWSEC,SKILL_MATH,0.41048
2000,Albania,LOWSEC,SKILL_READ,0.27339
2009,Albania,LOWSEC,SKILL_READ,0.41353
2009,Albania,LOWSEC,SKILL_MATH,0.37906
2012,Albania,LOWSEC,SKILL_MATH,1.03127
2012,Albania,LOWSEC,SKILL_READ,1.03566
2018,Albania,LOWSEC,SKILL_READ,0.50815
2018,Albania,LOWSEC,SKILL_MATH,0.74998
2019,Albania,PRIMAR,SKILL_MATH,0.70848
2011,Azerbaijan,PRIMAR,SKILL_READ,1.02502
2016,Azerbaijan,PRIMAR,SKILL_READ,0.90271
2019,Azerbaijan,PRIMAR,SKILL_MATH,1.06767
2000,Austria,LOWSEC,SKILL_READ,0.71508
2000,Austria,LOWSEC,SKILL_MATH,0.71906
2003,Austria,LOWSEC,SKILL_MATH,0.69172
2003,Austria,LOWSEC,SKILL_READ,0.63342
2006,Austria,LOWSEC,SKILL_READ,0.66346
2006,Austria,LOWSEC,SKILL_MATH,0.66862
2006,Austria,PRIMAR,SKILL_READ,0.91625
2009,Austria,LOWSEC,SKILL_MATH,0.62775
2009,Austria,LOWSEC,SKILL_READ,0.55399
2011,Austria,PRIMAR,SKILL_READ,0.92638
2015,Austria,LOWSEC,SKILL_MATH,0.69739
2015,Austria,LOWSEC,SKILL_READ,0.6978
2016,Austria,PRIMAR,SKILL_READ,0.92086
2018,Austria,LOWSEC,SKILL_MATH,0.70036
2018,Austria,LOWSEC,SKILL_READ,0.70467
2019,Austria,PRIMAR,SKILL_MATH,0.77291
2003,Armenia,LOWSEC,SKILL_MATH,0.9055
2003,Armenia,PRIMAR,SKILL_MATH,0.9933
2007,Armenia,PRIMAR,SKILL_MATH,1.07182
2007,Armenia,LOWSEC,SKILL_MATH,1.02896
2011,Armenia,LOWSEC,SKILL_MATH,0.78614
2011,Armenia,PRIMAR,SKILL_MATH,0.93304
2015,Armenia,PRIMAR,SKILL_MATH,0.93835
2015,Armenia,LOWSEC,SKILL_MATH,0.98864
2019,Armenia,PRIMAR,SKILL_MATH,0.93136
2000,Belgium,LOWSEC,SKILL_MATH,0.65963
2000,Belgium,LOWSEC,SKILL_READ,0.68019
2003,Belgium,LOWSEC,SKILL_READ,0.6333
2003,Belgium,LOWSEC,SKILL_MATH,0.63753
2006,Belgium,LOWSEC,SKILL_MATH,0.68995
2006,Belgium,LOWSEC,SKILL_READ,0.67515
2009,Belgium,LOWSEC,SKILL_READ,0.69317
2009,Belgium,LOWSEC,SKILL_MATH,0.65052
2012,Belgium,LOWSEC,SKILL_MATH,0.66563
2012,Belgium,LOWSEC,SKILL_READ,0.72243
2015,Belgium,LOWSEC,SKILL_READ,0.70719
2015,Belgium,LOWSEC,SKILL_MATH,0.68822
2018,Belgium,LOWSEC,SKILL_MATH,0.66628
2018,Belgium,LOWSEC,SKILL_READ,0.67817
2019,Belgium,PRIMAR,SKILL_MATH,0.70971
2018,Bosnia and Herzegovina,LOWSEC,SKILL_READ,0.49884
2019,Bosnia and Herzegovina,PRIMAR,SKILL_MATH,0.88226
2000,Bulgaria,LOWSEC,SKILL_READ,0.41866
2000,Bulgaria,LOWSEC,SKILL_MATH,0.38653
2001,Bulgaria,PRIMAR,SKILL_READ,0.91162
2006,Bulgaria,PRIMAR,SKILL_READ,0.92698
2006,Bulgaria,LOWSEC,SKILL_MATH,0.25503
2006,Bulgaria,LOWSEC,SKILL_READ,0.29497
2009,Bulgaria,LOWSEC,SKILL_READ,0.38274
2009,Bulgaria,LOWSEC,SKILL_MATH,0.32491
2011,Bulgaria,PRIMAR,SKILL_READ,0.88319
2012,Bulgaria,LOWSEC,SKILL_MATH,0.3614
2012,Bulgaria,LOWSEC,SKILL_READ,0.37612
2015,Bulgaria,LOWSEC,SKILL_READ,0.43001
2015,Bulgaria,PRIMAR,SKILL_MATH,0.70077
2015,Bulgaria,LOWSEC,SKILL_MATH,0.46792
2016,Bulgaria,PRIMAR,SKILL_READ,0.91135
2018,Bulgaria,LOWSEC,SKILL_MATH,0.44816
2018,Bulgaria,LOWSEC,SKILL_READ,0.39931
2019,Bulgaria,PRIMAR,SKILL_MATH,0.50452
2018,Belarus,LOWSEC,SKILL_READ,0.61239
2018,Belarus,LOWSEC,SKILL_MATH,0.54292
2006,Croatia,LOWSEC,SKILL_READ,0.71148
2006,Croatia,LOWSEC,SKILL_MATH,0.61525
2009,Croatia,LOWSEC,SKILL_MATH,0.6058
2009,Croatia,LOWSEC,SKILL_READ,0.6976
2011,Croatia,PRIMAR,SKILL_MATH,0.70336
2011,Croatia,PRIMAR,SKILL_READ,0.98571
2012,Croatia,LOWSEC,SKILL_MATH,0.62327
2012,Croatia,LOWSEC,SKILL_READ,0.75762
2015,Croatia,LOWSEC,SKILL_READ,0.77042
2015,Croatia,PRIMAR,SKILL_MATH,0.82587
2015,Croatia,LOWSEC,SKILL_MATH,0.66021
2018,Croatia,LOWSEC,SKILL_MATH,0.68355
2018,Croatia,LOWSEC,SKILL_READ,0.80376
2019,Croatia,PRIMAR,SKILL_MATH,0.97937
2001,Cyprus,PRIMAR,SKILL_READ,0.89303
2003,Cyprus,PRIMAR,SKILL_MATH,0.79744
2015,Cyprus,PRIMAR,SKILL_MATH,0.79266
2018,Cyprus,LOWSEC,SKILL_READ,0.58378
2019,Cyprus,PRIMAR,SKILL_MATH,0.67098
2000,Czechia,LOWSEC,SKILL_READ,0.67537
2000,Czechia,LOWSEC,SKILL_MATH,0.58592
2001,Czechia,PRIMAR,SKILL_READ,0.96873
2003,Czechia,LOWSEC,SKILL_MATH,0.71907
2003,Czechia,LOWSEC,SKILL_READ,0.71572
2006,Czechia,LOWSEC,SKILL_READ,0.67431
2006,Czechia,LOWSEC,SKILL_MATH,0.6769
2007,Czechia,PRIMAR,SKILL_MATH,0.60901
2009,Czechia,LOWSEC,SKILL_READ,0.69716
2009,Czechia,LOWSEC,SKILL_MATH,0.66484
2011,Czechia,PRIMAR,SKILL_READ,0.93666
2011,Czechia,PRIMAR,SKILL_MATH,0.7746
2012,Czechia,LOWSEC,SKILL_READ,0.74042
2012,Czechia,LOWSEC,SKILL_MATH,0.6652
2015,Czechia,LOWSEC,SKILL_MATH,0.63717
