Year,GeoAreaName,Age,Freq,Location,Sex,Value
2000,Albania,<5Y,,,,12.2
2005,Albania,<5Y,,,,7.3
2009,Albania,<5Y,,,,9.6
2017,Albania,<5Y,,,,1.6
2000,Azerbaijan,<5Y,,,,9.0
2001,Azerbaijan,<5Y,,,,3.2
2006,Azerbaijan,<5Y,,,,6.8
2011,Azerbaijan,<5Y,,,,6.6
2013,Azerbaijan,<5Y,,,,3.2
2000,Armenia,<5Y,,,,2.5
2005,Armenia,<5Y,,,,5.4
2010,Armenia,<5Y,,,,4.1
2016,Armenia,<5Y,,,,4.4
2014,Belgium,<5Y,,,,0.4
2000,Bosnia and Herzegovina,<5Y,,,,7.4
2006,Bosnia and Herzegovina,<5Y,,,,4.0
2012,Bosnia and Herzegovina,<5Y,,,,2.3
2004,Bulgaria,<5Y,,,,3.2
2007,Bulgaria,<5Y,,,,4.7
2014,Bulgaria,<5Y,,,,6.3
2005,Belarus,<5Y,,,,2.2
2001,Czechia,<5Y,,,,4.6
2014,Estonia,<5Y,,,,1.5
2005,Georgia,<5Y,,,,3.0
2009,Georgia,<5Y,,,,1.3
2018,Georgia,<5Y,,,,0.6
2004,Germany,<5Y,,,,1.0
2016,Germany,<5Y,,,,0.3
2003,Greece,<5Y,,,,0.6
2006,Kazakhstan,<5Y,,,,4.9
2010,Kazakhstan,<5Y,,,,4.1
2015,Kazakhstan,<5Y,,,,3.1
2006,Kyrgyzstan,<5Y,,,,3.4
2009,Kyrgyzstan,<5Y,,,,1.3
2012,Kyrgyzstan,<5Y,,,,2.8
2014,Kyrgyzstan,<5Y,,,,2.8
2018,Kyrgyzstan,<5Y,,,,2.0
2005,Republic of Moldova,<5Y,,,,5.8
2012,Republic of Moldova,<5Y,,,,1.9
2005,Montenegro,<5Y,,,,4.2
2013,Montenegro,<5Y,,,,2.8
2018,Montenegro,<5Y,,,,2.2
2009,Netherlands,<5Y,,,,1.0
2011,Poland,<5Y,,,,0.7
2016,Portugal,<5Y,,,,0.6
2000,Romania,<5Y,,,,4.3
2001,Romania,<5Y,,,,3.9
2002,Romania,<5Y,,,,3.5
2005,Serbia,<5Y,,,,4.5
2010,Serbia,<5Y,,,,3.5
2014,Serbia,<5Y,,,,3.9
2019,Serbia,<5Y,,,,2.6
2000,Tajikistan,<5Y,,,,9.4
2001,Tajikistan,<5Y,,,,19.4
2002,Tajikistan,<5Y,,,,6.1
2003,Tajikistan,<5Y,,,,5.9
2005,Tajikistan,<5Y,,,,8.7
2007,Tajikistan,<5Y,,,,6.9
2009,Tajikistan,<5Y,,,,4.3
2012,Tajikistan,<5Y,,,,9.9
2016,Tajikistan,<5Y,,,,3.5
2017,Tajikistan,<5Y,,,,5.6
2004,Türkiye,<5Y,,,,1.1
2008,Türkiye,<5Y,,,,1.0
2013,Türkiye,<5Y,,,,1.9
2018,Türkiye,<5Y,,,,1.7
2000,Turkmenistan,<5Y,,,,7.1
2006,Turkmenistan,<5Y,,,,7.2
2015,Turkmenistan,<5Y,,,,4.2
2019,Turkmenistan,<5Y,,,,4.1
2000,Ukraine,<5Y,,,,8.2
2005,North Macedonia,<5Y,,,,3.4
2011,North Macedonia,<5Y,,,,1.8
2019,North Macedonia,<5Y,,,,3.4
2002,Uzbekistan,<5Y,,,,9.0
2006,Uzbekistan,<5Y,,,,4.4
2017,Uzbekistan,<5Y,,,,1.8
2017,Uzbekistan,<5Y,,,,1.8
