Year,GeoAreaName,Age,Freq,Location,Sex,Value
2000,Albania,<5Y,,,,34.3
2005,Albania,<5Y,,,,16.1
2009,Albania,<5Y,,,,17.2
2017,Albania,<5Y,,,,2.8
2000,Azerbaijan,<5Y,,,,64.0
2001,Azerbaijan,<5Y,,,,21.6
2006,Azerbaijan,<5Y,,,,44.7
2011,Azerbaijan,<5Y,,,,48.5
2013,Azerbaijan,<5Y,,,,25.6
2000,Armenia,<5Y,,,,5.0
2005,Armenia,<5Y,,,,10.0
2010,Armenia,<5Y,,,,8.3
2016,Armenia,<5Y,,,,9.5
2014,Belgium,<5Y,,,,2.5
2000,Bosnia and Herzegovina,<5Y,,,,17.3
2006,Bosnia and Herzegovina,<5Y,,,,6.7
2012,Bosnia and Herzegovina,<5Y,,,,4.3
2004,Bulgaria,<5Y,,,,10.3
2007,Bulgaria,<5Y,,,,17.2
2014,Bulgaria,<5Y,,,,21.9
2005,Belarus,<5Y,,,,9.8
2001,Czechia,<5Y,,,,19.4
2014,Estonia,<5Y,,,,1.1
2005,Georgia,<5Y,,,,7.0
2009,Georgia,<5Y,,,,3.3
2018,Georgia,<5Y,,,,1.8
2004,Germany,<5Y,,,,36.8
2016,Germany,<5Y,,,,10.8
2003,Greece,<5Y,,,,3.1
2006,Kazakhstan,<5Y,,,,63.6
2010,Kazakhstan,<5Y,,,,64.6
2015,Kazakhstan,<5Y,,,,60.6
2006,Kyrgyzstan,<5Y,,,,16.6
2009,Kyrgyzstan,<5Y,,,,7.4
2012,Kyrgyzstan,<5Y,,,,19.5
2014,Kyrgyzstan,<5Y,,,,21.3
2018,Kyrgyzstan,<5Y,,,,16.0
2005,Republic of Moldova,<5Y,,,,12.0
2012,Republic of Moldova,<5Y,,,,4.3
2005,Montenegro,<5Y,,,,1.7
2013,Montenegro,<5Y,,,,1.1
2018,Montenegro,<5Y,,,,0.8
2009,Netherlands,<5Y,,,,9.9
2011,Poland,<5Y,,,,15.5
2016,Portugal,<5Y,,,,2.5
2000,Romania,<5Y,,,,47.4
2001,Romania,<5Y,,,,44.9
2002,Romania,<5Y,,,,40.2
2005,Serbia,<5Y,,,,24.1
2010,Serbia,<5Y,,,,17.2
2014,Serbia,<5Y,,,,17.3
2019,Serbia,<5Y,,,,11.0
2000,Tajikistan,<5Y,,,,83.9
2001,Tajikistan,<5Y,,,,172.0
2002,Tajikistan,<5Y,,,,53.4
2003,Tajikistan,<5Y,,,,50.9
2005,Tajikistan,<5Y,,,,74.5
2007,Tajikistan,<5Y,,,,60.9
2009,Tajikistan,<5Y,,,,41.0
2012,Tajikistan,<5Y,,,,108.8
2016,Tajikistan,<5Y,,,,44.7
2017,Tajikistan,<5Y,,,,72.5
2004,Türkiye,<5Y,,,,69.2
2008,Türkiye,<5Y,,,,61.3
2013,Türkiye,<5Y,,,,123.1
2018,Türkiye,<5Y,,,,114.7
2000,Turkmenistan,<5Y,,,,34.8
2006,Turkmenistan,<5Y,,,,37.7
2015,Turkmenistan,<5Y,,,,28.3
2019,Turkmenistan,<5Y,,,,27.7
2000,Ukraine,<5Y,,,,177.3
2005,North Macedonia,<5Y,,,,4.2
2011,North Macedonia,<5Y,,,,2.0
2019,North Macedonia,<5Y,,,,3.8
2002,Uzbekistan,<5Y,,,,238.3
2006,Uzbekistan,<5Y,,,,115.1
2017,Uzbekistan,<5Y,,,,61.4
2017,Uzbekistan,<5Y,,,,61.4
