Year,GeoAreaName,Bioclimatic belt,Value
2015,Portugal,ALPINE,NaN
2015,Portugal,NIVAL,NaN
2015,Portugal,TOTAL,3.86
2015,Portugal,MONTANE,4.06
2018,Portugal,ALPINE,NaN
2018,Portugal,NIVAL,NaN
2018,Portugal,MONTANE,0.25
2018,Portugal,TOTAL,0.22
2018,Portugal,REMAIN_MOUNT,0.05
2015,Romania,NIVAL,NaN
2015,Romania,REMAIN_MOUNT,NaN
2015,Romania,TOTAL,1.37
2015,Albania,REMAIN_MOUNT,0.1
2015,Albania,NIVAL,NaN
2015,Albania,ALPINE,0
2015,Albania,MONTANE,0.68
2015,Albania,TOTAL,0.68
2018,Albania,NIVAL,NaN
2018,Albania,MONTANE,0.07
2018,Albania,REMAIN_MOUNT,0.03
2018,Albania,ALPINE,0
2018,Albania,TOTAL,0.07
2015,Azerbaijan,TOTAL,1.35
2015,Azerbaijan,NIVAL,0
2015,Azerbaijan,MONTANE,1.19
2015,Azerbaijan,ALPINE,0.03
2015,Azerbaijan,REMAIN_MOUNT,5.09
2018,Azerbaijan,NIVAL,0
2018,Azerbaijan,ALPINE,0.08
2018,Azerbaijan,MONTANE,0.03
2018,Azerbaijan,TOTAL,0.03
2018,Azerbaijan,REMAIN_MOUNT,0.06
2015,Austria,TOTAL,2.94
2015,Austria,NIVAL,0.3
2015,Austria,ALPINE,1.11
2015,Austria,MONTANE,3.3
2015,Austria,REMAIN_MOUNT,NaN
2018,Austria,REMAIN_MOUNT,NaN
2018,Austria,NIVAL,0.17
2018,Austria,MONTANE,0.27
2018,Austria,ALPINE,0.28
2018,Austria,TOTAL,0.27
2015,Armenia,REMAIN_MOUNT,NaN
2015,Armenia,MONTANE,NaN
2015,Armenia,TOTAL,NaN
2015,Armenia,ALPINE,NaN
2015,Armenia,NIVAL,NaN
2018,Armenia,MONTANE,NaN
2018,Armenia,TOTAL,NaN
2018,Armenia,ALPINE,NaN
2018,Armenia,REMAIN_MOUNT,NaN
2018,Armenia,NIVAL,NaN
2015,Belgium,NIVAL,NaN
2015,Belgium,REMAIN_MOUNT,NaN
2015,Belgium,MONTANE,2.6
2015,Belgium,TOTAL,2.6
2015,Belgium,ALPINE,NaN
2018,Belgium,TOTAL,0.04
2018,Belgium,MONTANE,0.04
2018,Belgium,NIVAL,NaN
2018,Belgium,ALPINE,NaN
2018,Belgium,REMAIN_MOUNT,NaN
2015,Bosnia and Herzegovina,ALPINE,NaN
2015,Bosnia and Herzegovina,NIVAL,NaN
2015,Bosnia and Herzegovina,REMAIN_MOUNT,1.14
2015,Bosnia and Herzegovina,TOTAL,0.76
2015,Bosnia and Herzegovina,MONTANE,0.76
2018,Bosnia and Herzegovina,REMAIN_MOUNT,0.28
2018,Bosnia and Herzegovina,MONTANE,0.31
2018,Bosnia and Herzegovina,TOTAL,0.31
2018,Bosnia and Herzegovina,ALPINE,NaN
2018,Bosnia and Herzegovina,NIVAL,NaN
2015,Bulgaria,REMAIN_MOUNT,NaN
2015,Bulgaria,MONTANE,0.52
2015,Bulgaria,NIVAL,NaN
2015,Bulgaria,ALPINE,3.88
2015,Bulgaria,TOTAL,0.55
2018,Bulgaria,TOTAL,0.12
2018,Bulgaria,REMAIN_MOUNT,NaN
2018,Bulgaria,ALPINE,0.1
2018,Bulgaria,MONTANE,0.12
2018,Bulgaria,NIVAL,NaN
2015,Romania,ALPINE,0.2
2015,Romania,MONTANE,1.37
2018,Romania,MONTANE,0.3
2018,Romania,NIVAL,NaN
2018,Romania,REMAIN_MOUNT,NaN
2018,Romania,ALPINE,0.04
2018,Romania,TOTAL,0.3
2015,Serbia,REMAIN_MOUNT,NaN
2015,Serbia,NIVAL,NaN
2015,Serbia,TOTAL,0.66
2015,Serbia,ALPINE,0
2015,Serbia,MONTANE,0.66
2018,Serbia,MONTANE,0.55
2018,Serbia,TOTAL,0.55
2018,Serbia,ALPINE,0
2018,Serbia,REMAIN_MOUNT,NaN
2018,Serbia,NIVAL,NaN
2015,Slovakia,REMAIN_MOUNT,NaN
2015,Slovakia,TOTAL,1.83
2015,Slovakia,MONTANE,1.84
2015,Slovakia,ALPINE,1.39
2015,Slovakia,NIVAL,0.64
2018,Slovakia,MONTANE,0.34
2018,Slovakia,ALPINE,0.62
2018,Slovakia,TOTAL,0.34
2018,Slovakia,NIVAL,0.16
2018,Slovakia,REMAIN_MOUNT,NaN
2015,Slovenia,NIVAL,NaN
2015,Slovenia,REMAIN_MOUNT,NaN
2015,Slovenia,TOTAL,2.96
2015,Slovenia,MONTANE,2.96
2015,Slovenia,ALPINE,2.89
2018,Slovenia,MONTANE,0.19
2018,Slovenia,TOTAL,0.19
2018,Slovenia,ALPINE,1.56
2018,Slovenia,REMAIN_MOUNT,NaN
2015,Belarus,REMAIN_MOUNT,NaN
2015,Belarus,ALPINE,NaN
2015,Belarus,TOTAL,NaN
2015,Belarus,MONTANE,NaN
2015,Belarus,NIVAL,NaN
2018,Belarus,ALPINE,NaN
2018,Belarus,REMAIN_MOUNT,NaN
2018,Belarus,NIVAL,NaN
2018,Belarus,MONTANE,NaN
2018,Belarus,TOTAL,NaN
2015,Croatia,TOTAL,0.53
2015,Croatia,ALPINE,NaN
2015,Croatia,REMAIN_MOUNT,0.43
2018,Slovenia,NIVAL,NaN
2015,Spain,MONTANE,1.59
2015,Spain,NIVAL,0.34
2015,Spain,ALPINE,0.46
2015,Spain,REMAIN_MOUNT,1.51
2015,Spain,TOTAL,1.57
2018,Spain,TOTAL,0.09
2018,Spain,MONTANE,0.08
2018,Spain,NIVAL,0.17
2018,Spain,ALPINE,0.1
2018,Spain,REMAIN_MOUNT,0.13
2015,Sweden,NIVAL,0.38
