Year,GeoAreaName,Level_of_government,Value
2019,Bosnia and Herzegovina,_T,1.2191
2020,Bosnia and Herzegovina,_T,3.822
2021,Bosnia and Herzegovina,_T,0.72073
2019,Belarus,_T,0.16701
2018,Czechia,_T,62.83339
2019,Czechia,_T,58.07425
2020,Czechia,_T,42.91929
2018,Denmark,_T,84.10413
2019,Denmark,_T,97.76358
2020,Denmark,_T,93.68757
2017,Finland,_T,34.24417
2018,Finland,_T,30.07948
2019,Finland,_T,35.41422
2020,Finland,_T,30.33862
2018,France,_T,7.96181
2019,France,_T,9.75722
2020,France,_T,13.3126
2020,Georgia,_T,4.2092
2021,Georgia,_T,2.10713
2020,Greece,_T,0.426
2020,Luxembourg,_T,3.51348
2021,Luxembourg,_T,5.28657
2020,Malta,_T,140.40001
2020,Norway,_T,1.94013
2021,Norway,_T,1.29578
2019,Poland,_T,32.78944
2020,Poland,_T,31.91514
2021,Poland,_T,25.48585
2018,Portugal,_T,18.67804
2019,Portugal,_T,19.87684
2020,Portugal,_T,7.64429
2017,Spain,_T,27.66104
2018,Spain,_T,30.44706
2019,Spain,_T,32.84265
2020,Spain,_T,14.77883
2018,Sweden,_T,23.13189
2019,Sweden,_T,22.60368
2020,Sweden,_T,16.68971
2021,Sweden,_T,21.29711
2018,Switzerland,_T,25.69757
2019,Switzerland,_T,27.20581
2020,Switzerland,_T,13.15573
2020,Switzerland,_T,13.15573
