Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2005,Albania,,,,,ANYS,0.00897
2007,Albania,,,,,ANYS,0.33601
2008,Albania,,,,,ANYS,2.16825
2009,Albania,,,,,ANYS,3.13935
2010,Albania,,,,,ANYS,3.62254
2011,Albania,,,,,ANYS,4.42004
2012,Albania,,,,,10MBPS,0.51546
2012,Albania,,,,,256KT2MBPS,1.19833
2012,Albania,,,,,2MT10MBPS,3.82139
2012,Albania,,,,,ANYS,5.53518
2013,Albania,,,,,ANYS,6.32335
2013,Albania,,,,,10MBPS,0.57076
2013,Albania,,,,,256KT2MBPS,1.17859
2013,Albania,,,,,2MT10MBPS,4.574
2014,Albania,,,,,ANYS,7.2107
2014,Albania,,,,,10MBPS,0.48802
2014,Albania,,,,,256KT2MBPS,0.64963
2014,Albania,,,,,2MT10MBPS,6.07305
2000,Belgium,,,,,ANYS,1.40501
2001,Belgium,,,,,ANYS,4.46212
2002,Belgium,,,,,ANYS,7.8742
2003,Belgium,,,,,ANYS,11.9483
2004,Belgium,,,,,ANYS,15.49272
2005,Belgium,,,,,ANYS,19.11751
2006,Belgium,,,,,ANYS,23.16537
2007,Belgium,,,,,ANYS,25.62138
2007,Belgium,,,,,2MT10MBPS,13.61514
2015,Albania,,,,,256KT2MBPS,0.42547
2015,Albania,,,,,10MBPS,0.49721
2015,Albania,,,,,2MT10MBPS,7.50305
2015,Albania,,,,,ANYS,8.42573
2016,Albania,,,,,ANYS,9.24586
2016,Albania,,,,,2MT10MBPS,7.05385
2016,Albania,,,,,256KT2MBPS,0.64608
2016,Albania,,,,,10MBPS,1.54592
2017,Albania,,,,,2MT10MBPS,7.99408
2007,Belgium,,,,,10MBPS,6.96325
2007,Belgium,,,,,256KT2MBPS,2.6846
2008,Belgium,,,,,256KT2MBPS,2.13323
2008,Belgium,,,,,ANYS,27.80441
2008,Belgium,,,,,2MT10MBPS,13.96732
2008,Belgium,,,,,10MBPS,10.35829
2009,Belgium,,,,,ANYS,29.19321
2009,Belgium,,,,,2MT10MBPS,14.65164
2009,Belgium,,,,,10MBPS,11.56323
2017,Albania,,,,,ANYS,10.54444
2017,Albania,,,,,256KT2MBPS,0.40818
2017,Albania,,,,,10MBPS,2.14218
2018,Albania,,,,,10MBPS,3.61024
2018,Albania,,,,,2MT10MBPS,8.79885
2018,Albania,,,,,ANYS,12.58065
2018,Albania,,,,,256KT2MBPS,0.17157
2019,Albania,,,,,10MBPS,6.21344
2019,Albania,,,,,2MT10MBPS,8.81626
2009,Belgium,,,,,256KT2MBPS,1.96099
2010,Belgium,,,,,ANYS,31.00901
2010,Belgium,,,,,10MBPS,17.79259
2010,Belgium,,,,,2MT10MBPS,12.57008
2010,Belgium,,,,,256KT2MBPS,0.64599
2011,Belgium,,,,,256KT2MBPS,0.40047
2011,Belgium,,,,,ANYS,32.34613
2011,Belgium,,,,,10MBPS,22.88322
2011,Belgium,,,,,2MT10MBPS,8.92626
2014,Finland,,,,,2MT10MBPS,7.67197
2015,Finland,,,,,ANYS,31.57057
2015,Finland,,,,,10MBPS,24.47604
2015,Finland,,,,,256KT2MBPS,0.66439
2015,Finland,,,,,2MT10MBPS,6.43014
2016,Finland,,,,,2MT10MBPS,5.11718
2016,Finland,,,,,256KT2MBPS,0.54229
2016,Finland,,,,,ANYS,31.15435
2016,Finland,,,,,10MBPS,25.49489
2017,Finland,,,,,2MT10MBPS,4.79291
2017,Finland,,,,,10MBPS,26.25206
2017,Finland,,,,,ANYS,31.04496
2018,Finland,,,,,ANYS,31.49329
2018,Finland,,,,,10MBPS,29.37198
2018,Finland,,,,,2MT10MBPS,2.12131
2019,Finland,,,,,10MBPS,31.04209
2019,Finland,,,,,2MT10MBPS,1.5032
2019,Finland,,,,,ANYS,32.54529
2020,Finland,,,,,10MBPS,32.33584
2020,Finland,,,,,2MT10MBPS,1.04893
2020,Finland,,,,,ANYS,33.38477
2021,Finland,,,,,ANYS,33.67057
2021,Finland,,,,,2MT10MBPS,0.72254
2021,Finland,,,,,10MBPS,32.94802
2000,France,,,,,ANYS,0.33512
2001,France,,,,,ANYS,1.01924
2002,France,,,,,ANYS,2.78747
2003,France,,,,,ANYS,5.97603
2004,France,,,,,ANYS,10.91533
2005,France,,,,,ANYS,15.65194
2006,France,,,,,ANYS,20.86536
2007,France,,,,,ANYS,25.681
2008,France,,,,,ANYS,28.88806
2009,France,,,,,ANYS,31.97125
2010,France,,,,,ANYS,34.16951
2011,France,,,,,ANYS,36.23879
2012,France,,,,,ANYS,38.02039
2012,France,,,,,10MBPS,33.03874
2012,France,,,,,256KT2MBPS,0.90374
2012,France,,,,,2MT10MBPS,3.16784
2013,France,,,,,ANYS,39.3778
2013,France,,,,,10MBPS,36.22473
2013,France,,,,,2MT10MBPS,2.38414
2013,France,,,,,256KT2MBPS,0.56051
2014,France,,,,,256KT2MBPS,0.49852
2014,France,,,,,ANYS,40.83915
2014,France,,,,,10MBPS,37.12779
2014,France,,,,,2MT10MBPS,2.27085
2015,France,,,,,ANYS,42.10484
2015,France,,,,,2MT10MBPS,1.7991
2015,France,,,,,10MBPS,38.91567
2015,France,,,,,256KT2MBPS,0.34948
2016,France,,,,,256KT2MBPS,0.12658
2016,France,,,,,ANYS,43.25722
2016,France,,,,,10MBPS,40.87245
2016,France,,,,,2MT10MBPS,1.19551
2017,France,,,,,ANYS,44.40004
2017,France,,,,,2MT10MBPS,0.93539
2017,France,,,,,256KT2MBPS,0.0265
2017,France,,,,,10MBPS,42.00543
2018,France,,,,,ANYS,45.27223
2018,France,,,,,10MBPS,42.35365
2018,France,,,,,2MT10MBPS,0.90233
2012,Belgium,,,,,ANYS,33.46897
2012,Belgium,,,,,10MBPS,26.32285
2012,Belgium,,,,,2MT10MBPS,6.66832
2012,Belgium,,,,,256KT2MBPS,0.36165
2013,Belgium,,,,,ANYS,34.48464
2013,Belgium,,,,,10MBPS,28.88683
2013,Belgium,,,,,2MT10MBPS,5.24189
2013,Belgium,,,,,256KT2MBPS,0.27013
2014,Belgium,,,,,256KT2MBPS,0.23807
2014,Belgium,,,,,ANYS,35.88888
2014,Belgium,,,,,10MBPS,31.31682
2014,Belgium,,,,,2MT10MBPS,4.334
2015,Belgium,,,,,ANYS,36.63707
2015,Belgium,,,,,10MBPS,33.06491
2015,Belgium,,,,,2MT10MBPS,3.39484
2015,Belgium,,,,,256KT2MBPS,0.17732
2016,Belgium,,,,,ANYS,37.73412
2016,Belgium,,,,,10MBPS,34.62408
2000,Malta,,,,,ANYS,0.41482
2001,Malta,,,,,ANYS,2.277
2002,Malta,,,,,ANYS,4.36843
2003,Malta,,,,,ANYS,5.58735
2004,Malta,,,,,ANYS,9.20797
2005,Malta,,,,,ANYS,12.53242
2006,Malta,,,,,ANYS,12.87652
2007,Malta,,,,,ANYS,20.37997
2007,Malta,,,,,2MT10MBPS,18.20831
2018,France,,,,,256KT2MBPS,0.01322
2019,France,,,,,ANYS,46.21135
2019,France,,,,,256KT2MBPS,0.01071
2019,France,,,,,10MBPS,43.92874
2019,France,,,,,2MT10MBPS,0.86336
2020,France,,,,,ANYS,47.49841
2020,France,,,,,2MT10MBPS,1.26241
2020,France,,,,,256KT2MBPS,0.01086
2020,France,,,,,10MBPS,45.35976
2016,Belgium,,,,,2MT10MBPS,2.99963
2016,Belgium,,,,,256KT2MBPS,0.11042
2017,Belgium,,,,,256KT2MBPS,0.03093
2017,Belgium,,,,,ANYS,38.46438
2017,Belgium,,,,,10MBPS,36.67015
2017,Belgium,,,,,2MT10MBPS,1.76329
2018,Belgium,,,,,ANYS,39.3319
2018,Belgium,,,,,10MBPS,38.05634
2018,Belgium,,,,,2MT10MBPS,1.23143
2021,France,,,,,ANYS,48.75608
2001,Georgia,,,,,ANYS,0.01038
2002,Georgia,,,,,ANYS,0.02265
2003,Georgia,,,,,ANYS,0.03509
2004,Georgia,,,,,ANYS,0.04763
2005,Georgia,,,,,ANYS,0.06034
2006,Georgia,,,,,ANYS,0.68635
2007,Georgia,,,,,ANYS,1.19635
2008,Georgia,,,,,ANYS,2.8902
2007,Malta,,,,,256KT2MBPS,1.94137
2008,Malta,,,,,ANYS,23.7563
2008,Malta,,,,,2MT10MBPS,20.08747
2008,Malta,,,,,256KT2MBPS,0.64078
2008,Malta,,,,,10MBPS,2.3309
2009,Malta,,,,,2MT10MBPS,23.19783
2009,Malta,,,,,10MBPS,2.59639
2009,Malta,,,,,256KT2MBPS,0.34609
2009,Malta,,,,,ANYS,27.35403
2018,Belgium,,,,,256KT2MBPS,0.04413
2019,Belgium,,,,,ANYS,39.88254
2019,Belgium,,,,,10MBPS,39.17007
2019,Belgium,,,,,2MT10MBPS,0.62947
2019,Belgium,,,,,256KT2MBPS,0.08301
2020,Belgium,,,,,256KT2MBPS,0.04269
2020,Belgium,,,,,ANYS,40.9473
2020,Belgium,,,,,10MBPS,40.42319
2020,Belgium,,,,,2MT10MBPS,0.48141
2010,Malta,,,,,2MT10MBPS,25.38191
2010,Malta,,,,,ANYS,30.06269
2010,Malta,,,,,10MBPS,3.40342
2010,Malta,,,,,256KT2MBPS,0.16454
2011,Malta,,,,,ANYS,30.37932
2011,Malta,,,,,2MT10MBPS,22.72252
2011,Malta,,,,,10MBPS,7.5168
2011,Malta,,,,,256KT2MBPS,0.08239
2012,Malta,,,,,2MT10MBPS,6.97895
2019,Albania,,,,,ANYS,15.17779
2019,Albania,,,,,256KT2MBPS,0.14809
2020,Albania,,,,,10MBPS,11.95934
2020,Albania,,,,,ANYS,17.75249
2020,Albania,,,,,256KT2MBPS,0.05553
2020,Albania,,,,,2MT10MBPS,5.73763
2021,Albania,,,,,ANYS,19.59548
2021,Albania,,,,,256KT2MBPS,0.04148
2021,Albania,,,,,2MT10MBPS,3.37449
2021,Belgium,,,,,10MBPS,42.06297
2021,Belgium,,,,,2MT10MBPS,0.27775
2021,Belgium,,,,,256KT2MBPS,0.0372
2021,Belgium,,,,,ANYS,42.37793
2000,Bosnia and Herzegovina,,,,,ANYS,0.00065
2001,Bosnia and Herzegovina,,,,,ANYS,0.00162
2002,Bosnia and Herzegovina,,,,,ANYS,0.00507
2003,Bosnia and Herzegovina,,,,,ANYS,0.03585
2004,Bosnia and Herzegovina,,,,,ANYS,0.1602
2012,Malta,,,,,256KT2MBPS,0.06094
2012,Malta,,,,,ANYS,31.57846
2012,Malta,,,,,10MBPS,24.53368
2013,Malta,,,,,ANYS,32.68613
2013,Malta,,,,,10MBPS,28.35495
2013,Malta,,,,,256KT2MBPS,0.00023
2013,Malta,,,,,2MT10MBPS,4.32478
2014,Malta,,,,,ANYS,33.94782
2014,Malta,,,,,10MBPS,31.77665
2009,Georgia,,,,,ANYS,3.89085
2010,Georgia,,,,,ANYS,4.75476
2010,Georgia,,,,,2MT10MBPS,0.86702
2010,Georgia,,,,,10MBPS,0.00435
2010,Georgia,,,,,256KT2MBPS,3.75458
2011,Georgia,,,,,ANYS,6.50251
2011,Georgia,,,,,256KT2MBPS,4.66417
2011,Georgia,,,,,2MT10MBPS,1.44382
2011,Georgia,,,,,10MBPS,0.04226
2021,Albania,,,,,10MBPS,16.17951
2002,Azerbaijan,,,,,ANYS,0.01194
2005,Azerbaijan,,,,,ANYS,0.02523
2006,Azerbaijan,,,,,ANYS,0.04513
2007,Azerbaijan,,,,,ANYS,0.16444
2008,Azerbaijan,,,,,10MBPS,0.13334
2008,Azerbaijan,,,,,2MT10MBPS,0.03333
2008,Azerbaijan,,,,,ANYS,0.66669
2008,Azerbaijan,,,,,256KT2MBPS,0.62002
2012,Georgia,,,,,ANYS,12.17163
2012,Georgia,,,,,256KT2MBPS,4.68255
2012,Georgia,,,,,2MT10MBPS,3.51852
2012,Georgia,,,,,10MBPS,3.2744
2013,Georgia,,,,,ANYS,13.65367
2013,Georgia,,,,,10MBPS,5.12564
2013,Georgia,,,,,2MT10MBPS,3.70899
2013,Georgia,,,,,256KT2MBPS,3.50196
2014,Georgia,,,,,ANYS,15.91915
2014,Malta,,,,,2MT10MBPS,2.16804
2014,Malta,,,,,256KT2MBPS,0
2015,Malta,,,,,256KT2MBPS,0
2015,Malta,,,,,ANYS,35.74518
2015,Malta,,,,,10MBPS,35.14704
2015,Malta,,,,,2MT10MBPS,0.59814
2016,Malta,,,,,ANYS,36.61774
2016,Malta,,,,,10MBPS,36.35283
2016,Malta,,,,,2MT10MBPS,0.26491
2014,Georgia,,,,,10MBPS,6.06976
2014,Georgia,,,,,2MT10MBPS,5.78583
2014,Georgia,,,,,256KT2MBPS,4.06355
2015,Georgia,,,,,ANYS,16.85552
2015,Georgia,,,,,2MT10MBPS,8.35609
2015,Georgia,,,,,10MBPS,7.87302
2015,Georgia,,,,,256KT2MBPS,0.62642
2016,Georgia,,,,,ANYS,18.05935
2016,Georgia,,,,,10MBPS,9.73443
2016,Georgia,,,,,256KT2MBPS,0.43237
2016,Georgia,,,,,2MT10MBPS,7.89256
2017,Georgia,,,,,ANYS,20.57814
2017,Georgia,,,,,10MBPS,13.74975
2017,Georgia,,,,,2MT10MBPS,6.51571
2017,Georgia,,,,,256KT2MBPS,0.31268
2018,Georgia,,,,,ANYS,22.7262
2018,Georgia,,,,,10MBPS,17.37183
2018,Georgia,,,,,256KT2MBPS,0.19237
2016,Malta,,,,,256KT2MBPS,0
2017,Malta,,,,,ANYS,37.81421
2017,Malta,,,,,10MBPS,37.63548
2017,Malta,,,,,2MT10MBPS,0.17873
2017,Malta,,,,,256KT2MBPS,0
2018,Malta,,,,,ANYS,39.02328
2018,Malta,,,,,10MBPS,38.91689
