Year,GeoAreaName,Location,Value
2017,Albania,RURAL,1
2019,Albania,RURAL,3
2022,Albania,RURAL,3
2014,Azerbaijan,RURAL,2
2017,Azerbaijan,RURAL,3
2019,Azerbaijan,RURAL,3
2022,Azerbaijan,RURAL,3
2019,Austria,RURAL,3
2017,Bosnia and Herzegovina,RURAL,2
2019,Bosnia and Herzegovina,RURAL,3
2022,Bosnia and Herzegovina,RURAL,3
2014,Belarus,RURAL,2
2017,Belarus,RURAL,2
2019,Belarus,RURAL,2
2022,Belarus,RURAL,2
2022,Croatia,RURAL,2
2014,Estonia,RURAL,2
2022,Estonia,RURAL,3
2014,Georgia,RURAL,0
2017,Georgia,RURAL,0
2019,Georgia,RURAL,2
2022,Georgia,RURAL,2
2022,Greece,RURAL,3
2019,Hungary,RURAL,2
2022,Hungary,RURAL,2
2022,Italy,RURAL,0
2014,Kazakhstan,RURAL,3
2022,Kazakhstan,RURAL,3
2014,Kyrgyzstan,RURAL,2
2017,Kyrgyzstan,RURAL,0
2019,Kyrgyzstan,RURAL,2
2022,Kyrgyzstan,RURAL,3
2014,Lithuania,RURAL,2
2017,Lithuania,RURAL,2
2019,Lithuania,RURAL,3
2014,Republic of Moldova,RURAL,2
2019,Montenegro,RURAL,2
2022,Montenegro,RURAL,2
2019,Netherlands,RURAL,2
2022,Norway,RURAL,2
2022,Romania,RURAL,2
2014,Serbia,RURAL,1
2017,Serbia,RURAL,3
2019,Serbia,RURAL,3
2022,Serbia,RURAL,3
2014,Tajikistan,RURAL,1
2017,Tajikistan,RURAL,2
2019,Tajikistan,RURAL,2
2022,Tajikistan,RURAL,2
2022,Turkmenistan,RURAL,3
2014,Ukraine,RURAL,1
2017,Ukraine,RURAL,1
2019,Ukraine,RURAL,3
2022,Ukraine,RURAL,2
2014,North Macedonia,RURAL,0
2017,Uzbekistan,RURAL,0
2019,Uzbekistan,RURAL,0
2022,Uzbekistan,RURAL,2
2022,Uzbekistan,RURAL,2
