Year,GeoAreaName,Location,Nature,Reporting Type,Units,Value
2000,Albania,ALLAREA,E,G,PERCENT,49
2001,Albania,ALLAREA,E,G,PERCENT,49
2002,Albania,ALLAREA,E,G,PERCENT,49
2003,Albania,ALLAREA,E,G,PERCENT,49
2004,Albania,ALLAREA,E,G,PERCENT,51
2005,Albania,ALLAREA,E,G,PERCENT,53
2006,Albania,ALLAREA,E,G,PERCENT,54
2007,Albania,ALLAREA,E,G,PERCENT,56
2008,Albania,ALLAREA,E,G,PERCENT,58
2009,Albania,ALLAREA,E,G,PERCENT,60
2010,Albania,ALLAREA,E,G,PERCENT,62
2011,Albania,ALLAREA,E,G,PERCENT,64
2012,Albania,ALLAREA,E,G,PERCENT,66
2013,Albania,ALLAREA,E,G,PERCENT,68
2014,Albania,ALLAREA,E,G,PERCENT,71
2015,Albania,ALLAREA,E,G,PERCENT,71
2016,Albania,ALLAREA,E,G,PERCENT,71
2017,Albania,ALLAREA,E,G,PERCENT,71
2018,Albania,ALLAREA,E,G,PERCENT,71
2019,Albania,ALLAREA,E,G,PERCENT,71
2020,Albania,ALLAREA,E,G,PERCENT,71
2000,Azerbaijan,ALLAREA,E,G,PERCENT,58
2000,Azerbaijan,RURAL,E,G,PERCENT,34
2000,Azerbaijan,URBAN,E,G,PERCENT,81
2001,Azerbaijan,ALLAREA,E,G,PERCENT,60
2001,Azerbaijan,RURAL,E,G,PERCENT,36
2001,Azerbaijan,URBAN,E,G,PERCENT,82
2002,Azerbaijan,ALLAREA,E,G,PERCENT,61
2002,Azerbaijan,RURAL,E,G,PERCENT,38
2002,Azerbaijan,URBAN,E,G,PERCENT,83
2000,Denmark,ALLAREA,E,G,PERCENT,94
2001,Denmark,ALLAREA,E,G,PERCENT,94
2002,Denmark,ALLAREA,E,G,PERCENT,94
2003,Denmark,ALLAREA,E,G,PERCENT,94
2004,Denmark,ALLAREA,E,G,PERCENT,94
2005,Denmark,ALLAREA,E,G,PERCENT,95
2006,Denmark,ALLAREA,E,G,PERCENT,95
2007,Denmark,ALLAREA,E,G,PERCENT,96
2008,Denmark,ALLAREA,E,G,PERCENT,96
2009,Denmark,ALLAREA,E,G,PERCENT,96
2003,Azerbaijan,RURAL,E,G,PERCENT,40
2003,Azerbaijan,URBAN,E,G,PERCENT,84
2003,Azerbaijan,ALLAREA,E,G,PERCENT,63
2004,Azerbaijan,ALLAREA,E,G,PERCENT,65
2004,Azerbaijan,RURAL,E,G,PERCENT,43
2004,Azerbaijan,URBAN,E,G,PERCENT,85
2005,Azerbaijan,ALLAREA,E,G,PERCENT,67
2005,Azerbaijan,RURAL,E,G,PERCENT,45
2005,Azerbaijan,URBAN,E,G,PERCENT,87
2006,Azerbaijan,RURAL,E,G,PERCENT,48
2000,Netherlands,ALLAREA,E,G,PERCENT,100
2001,Netherlands,ALLAREA,E,G,PERCENT,100
2002,Netherlands,ALLAREA,E,G,PERCENT,100
2003,Netherlands,ALLAREA,E,G,PERCENT,100
2004,Netherlands,ALLAREA,E,G,PERCENT,100
2005,Netherlands,ALLAREA,E,G,PERCENT,100
2006,Netherlands,ALLAREA,E,G,PERCENT,100
2007,Netherlands,ALLAREA,E,G,PERCENT,100
2008,Netherlands,ALLAREA,E,G,PERCENT,100
2009,Netherlands,ALLAREA,E,G,PERCENT,100
2010,Denmark,ALLAREA,E,G,PERCENT,97
2011,Denmark,ALLAREA,E,G,PERCENT,97
2012,Denmark,ALLAREA,E,G,PERCENT,97
2013,Denmark,ALLAREA,E,G,PERCENT,97
2014,Denmark,ALLAREA,E,G,PERCENT,97
2015,Denmark,ALLAREA,E,G,PERCENT,97
2016,Denmark,ALLAREA,E,G,PERCENT,97
2017,Denmark,ALLAREA,E,G,PERCENT,97
2018,Denmark,ALLAREA,E,G,PERCENT,97
2019,Denmark,ALLAREA,E,G,PERCENT,97
2006,Azerbaijan,ALLAREA,E,G,PERCENT,69
2006,Azerbaijan,URBAN,E,G,PERCENT,88
2007,Azerbaijan,ALLAREA,E,G,PERCENT,71
2007,Azerbaijan,RURAL,E,G,PERCENT,50
2007,Azerbaijan,URBAN,E,G,PERCENT,89
