Year,GeoAreaName,Name of international institution,Value
2000,Albania,IFC,0.0646
2000,Albania,IMF,0.0344
2000,Albania,UNGA,0.5291
2000,Albania,WTO,0.7143
2000,Albania,IBRD,0.0671
2005,Albania,IBRD,0.0667
2005,Albania,IMF,0.0339
2005,Albania,UNGA,0.5236
2005,Albania,IFC,0.0644
2005,Albania,ECOSOC,1.8519
2005,Albania,WTO,0.6711
2010,Albania,WTO,0.6536
2010,Albania,IMF,0.0333
2010,Albania,IFC,0.0643
2010,Albania,IBRD,0.0666
2010,Albania,UNGA,0.5208
2015,Albania,IBRD,0.0669
2015,Albania,IMF,0.0531
2015,Albania,WTO,0.625
2015,Albania,IFC,0.0781
2015,Albania,UNGA,0.5181
2015,Albania,ECOSOC,1.8519
2016,Albania,UNGA,0.5181
2016,Albania,IBRD,0.07
2016,Albania,IFC,0.0781
2016,Albania,IMF,0.057
2016,Albania,WTO,0.6173
2017,Albania,UNGA,0.5181
2017,Albania,WTO,0.6098
2017,Albania,IMF,0.0568
2017,Albania,IFC,0.0781
2017,Albania,IBRD,0.0691
2018,Albania,UNGA,0.5181
2018,Albania,IFC,0.0781
2018,Albania,WTO,0.6098
2018,Albania,IBRD,0.0786
2018,Albania,IMF,0.0568
2019,Albania,IMF,0.0568
2019,Albania,IBRD,0.0777
2019,Albania,IFC,0.7721
2019,Albania,WTO,0.6098
2019,Albania,UNGA,0.5181
2020,Albania,UNGA,0.5181
2020,Albania,IFC,0.07791
2000,Croatia,IBRD,0.158
2000,Croatia,IFC,0.1304
2000,Croatia,UNGA,0.5291
2000,Croatia,IMF,0.1822
2000,Croatia,ECOSOC,1.8519
2000,Croatia,IADB,0.05
2000,Croatia,WTO,0.7143
2005,Croatia,IBRD,0.1571
2005,Croatia,IADB,0.05
2005,Croatia,WTO,0.6711
2005,Croatia,UNGA,0.5236
2005,Croatia,IFC,0.1301
2005,Croatia,IMF,0.1793
2010,Croatia,WTO,0.6536
2010,Croatia,IFC,0.1297
2010,Croatia,IMF,0.1762
2010,Croatia,IADB,0.05
2010,Croatia,IBRD,0.1569
2010,Croatia,UNGA,0.5208
2015,Croatia,IBRD,0.155
2015,Croatia,IADB,0.05
2015,Croatia,ECOSOC,1.8519
2020,Albania,WTO,0.60976
2020,Albania,IMF,0.05679
2020,Albania,IBRD,0.07632
2021,Albania,IBRD,0.07461
2021,Albania,UNGA,0.51813
2021,Albania,IMF,0.05659
2021,Albania,IFC,0.07485
2021,Albania,WTO,0.60976
2000,Azerbaijan,UNGA,0.5291
2000,Azerbaijan,IMF,0.0868
2000,Azerbaijan,ADB,0.701
2000,Hungary,UNGA,0.5291
2000,Hungary,WTO,0.7143
2000,Hungary,IBRD,0.5157
2000,Hungary,IMF,0.4967
2000,Hungary,IFC,0.4657
2005,Hungary,IBRD,0.5128
2005,Hungary,IFC,0.4643
2005,Hungary,UNGA,0.5236
2005,Hungary,IMF,0.4888
2005,Hungary,WTO,0.6711
2010,Hungary,IFC,0.463
2000,Republic of Moldova,IMF,0.0692
2000,Republic of Moldova,IBRD,0.1005
2000,Republic of Moldova,UNGA,0.5291
2000,Republic of Moldova,IFC,0.0414
2005,Republic of Moldova,UNGA,0.5236
2005,Republic of Moldova,IMF,0.0681
2005,Republic of Moldova,IFC,0.0429
2005,Republic of Moldova,WTO,0.6711
2005,Republic of Moldova,IBRD,0.1
2010,Republic of Moldova,ECOSOC,1.8519
2015,Croatia,IFC,0.13625
2015,Croatia,IMF,0.1741
2015,Croatia,WTO,0.625
2015,Croatia,UNGA,0.5181
2016,Croatia,IBRD,0.16
2016,Croatia,IFC,0.13625
2016,Croatia,IMF,0.173
2016,Croatia,WTO,0.6173
2016,Croatia,IADB,0.05
2016,Croatia,UNGA,0.5181
2017,Croatia,IADB,0.05
2000,Azerbaijan,IBRD,0.1178
2000,Azerbaijan,IFC,0.109
2005,Azerbaijan,IMF,0.0855
2005,Azerbaijan,IBRD,0.1171
2005,Azerbaijan,ADB,0.671
2005,Azerbaijan,ECOSOC,1.8519
2005,Azerbaijan,UNGA,0.5236
2005,Azerbaijan,IFC,0.1087
2010,Azerbaijan,ADB,0.703
2010,Azerbaijan,IFC,0.1084
2010,Azerbaijan,IMF,0.0839
2010,Hungary,WTO,0.6536
2010,Hungary,IMF,0.4802
2010,Hungary,IBRD,0.5119
2010,Hungary,UNGA,0.5208
2015,Hungary,IBRD,0.4954
2015,Hungary,UNGA,0.5181
2015,Hungary,IFC,0.4634
2015,Hungary,IMF,0.4413
2015,Hungary,WTO,0.625
2016,Hungary,WTO,0.6173
2016,Hungary,IMF,0.418
2017,Croatia,UNGA,0.5181
2017,Croatia,WTO,0.6098
2017,Croatia,IMF,0.1717
2017,Croatia,IFC,0.13625
2017,Croatia,IBRD,0.1525
2018,Croatia,IFC,0.1363
2018,Croatia,WTO,0.6098
2018,Croatia,UNGA,0.5181
2018,Croatia,IADB,0.05
2018,Croatia,IBRD,0.1499
2018,Croatia,IMF,0.1717
2010,Azerbaijan,UNGA,0.5208
2010,Azerbaijan,IBRD,0.1169
2015,Azerbaijan,UNGA,0.5181
2015,Azerbaijan,IBRD,0.1037
2015,Azerbaijan,IFC,0.1173
2015,Azerbaijan,IMF,0.0931
2015,Azerbaijan,ADB,0.655
2016,Azerbaijan,ADB,0.654
2016,Azerbaijan,IMF,0.108
2016,Azerbaijan,IFC,0.1173
2016,Azerbaijan,IBRD,0.11
2019,Croatia,IMF,0.17169
2019,Croatia,IBRD,0.1477
2019,Croatia,WTO,0.6098
2019,Croatia,IADB,0.05
2019,Croatia,UNGA,0.5181
2019,Croatia,IFC,0.1352
2020,Croatia,IFC,0.13606
2020,Croatia,WTO,0.60976
2020,Croatia,UNGA,0.5181
2020,Croatia,IMF,0.17162
2020,Croatia,IBRD,0.148
2016,Hungary,IBRD,0.5
2016,Hungary,IFC,0.4634
2016,Hungary,UNGA,0.5181
2017,Hungary,UNGA,0.5181
2017,Hungary,IFC,0.4634
2017,Hungary,IMF,0.4148
2017,Hungary,WTO,0.6098
2017,Hungary,IBRD,0.4866
2018,Hungary,IBRD,0.477
2018,Hungary,IMF,0.4147
2018,Hungary,WTO,0.6098
2018,Hungary,IFC,0.4634
2018,Hungary,UNGA,0.5181
2019,Hungary,WTO,0.6098
2019,Hungary,UNGA,0.5181
2019,Hungary,IFC,0.4602
2019,Hungary,IMF,0.41468
2019,Hungary,IBRD,0.4686
2020,Hungary,IMF,0.41448
2020,Hungary,IBRD,0.45636
2020,Hungary,IFC,0.46318
2016,Azerbaijan,UNGA,0.5181
2017,Azerbaijan,UNGA,0.5181
2017,Azerbaijan,ECOSOC,1.85185185185185
2017,Azerbaijan,IBRD,0.1298
2017,Azerbaijan,IFC,0.1173
2017,Azerbaijan,IMF,0.107
2017,Azerbaijan,ADB,0.654
2018,Azerbaijan,IFC,0.1173
2018,Azerbaijan,ECOSOC,1.8519
2018,Azerbaijan,ADB,0.6535
2021,Croatia,IBRD,0.14728
2021,Croatia,IMF,0.17129
2021,Croatia,UNGA,0.51813
2021,Croatia,WTO,0.60976
2021,Croatia,IFC,0.13565
2000,Cyprus,WTO,0.7143
2000,Cyprus,IBRD,0.1063
2000,Cyprus,UNGA,0.5291
2000,Cyprus,IMF,0.0769
2000,Cyprus,IFC,0.0995
2005,Cyprus,IFC,0.0992
2020,Hungary,WTO,0.60976
2020,Hungary,UNGA,0.5181
2021,Hungary,UNGA,0.51813
2021,Hungary,WTO,0.60976
2021,Hungary,IFC,0.47727
2021,Hungary,IBRD,0.47252
2021,Hungary,IMF,0.41387
2000,Iceland,UNGA,0.5291
2000,Iceland,IFC,0.0122
2000,Iceland,IMF,0.0666
2000,Iceland,WTO,0.7143
2018,Azerbaijan,UNGA,0.5181
2018,Azerbaijan,IBRD,0.1277
2018,Azerbaijan,IMF,0.107
2019,Azerbaijan,IMF,0.10696
2019,Azerbaijan,IBRD,0.1259
2019,Azerbaijan,ADB,0.64909
2019,Azerbaijan,UNGA,0.5181
2019,Azerbaijan,ECOSOC,1.85185
2019,Azerbaijan,IFC,0.1163
2020,Azerbaijan,IFC,0.1171
2020,Azerbaijan,UNGA,0.5181
2020,Azerbaijan,ADB,0.649
2020,Azerbaijan,IMF,0.10693
2020,Azerbaijan,IBRD,0.12316
2021,Azerbaijan,IBRD,0.12455
2021,Azerbaijan,UNGA,0.51813
2021,Azerbaijan,IMF,0.10667
2021,Azerbaijan,IFC,0.11154
2000,Austria,IFC,0.8326
2000,Austria,UNGA,0.5291
2005,Cyprus,IMF,0.0757
2005,Cyprus,UNGA,0.5236
2005,Cyprus,WTO,0.6711
2005,Cyprus,IBRD,0.1057
2010,Cyprus,WTO,0.6536
2010,Cyprus,IMF,0.252
2010,Cyprus,IFC,0.0989
2010,Cyprus,UNGA,0.5208
2010,Cyprus,IBRD,0.1055
2015,Cyprus,IBRD,0.0954
2015,Cyprus,IFC,0.1089
2015,Cyprus,IMF,0.092
2015,Cyprus,WTO,0.625
2015,Cyprus,UNGA,0.5181
2016,Cyprus,IBRD,0.09
2016,Cyprus,IFC,0.1089
2016,Cyprus,IMF,0.09
2016,Cyprus,WTO,0.6173
2016,Cyprus,UNGA,0.5181
2017,Cyprus,UNGA,0.5181
2017,Cyprus,WTO,0.6098
2000,Austria,IMF,0.8863
2000,Austria,ADB,0.616
2000,Austria,AFDB,0.487
2000,Austria,ECOSOC,1.8519
2000,Austria,IADB,0.161
2000,Austria,WTO,0.7143
2000,Austria,IBRD,0.7029
2005,Austria,IBRD,0.6989
2005,Austria,WTO,0.6711
2005,Austria,AFDB,0.466
2005,Austria,ADB,0.587
2017,Cyprus,IMF,0.0895
2017,Cyprus,IFC,0.1089
2017,Cyprus,IBRD,0.0913
2018,Cyprus,IFC,0.1089
2018,Cyprus,WTO,0.6098
2018,Cyprus,UNGA,0.5181
2018,Cyprus,IBRD,0.1061
2018,Cyprus,IMF,0.0895
2019,Cyprus,IMF,0.08949
2019,Cyprus,IBRD,0.1047
2019,Cyprus,WTO,0.6098
2005,Austria,UNGA,0.5236
2005,Austria,IMF,0.8722
2005,Austria,IFC,0.8301
2005,Austria,IADB,0.161
2010,Austria,UNGA,0.5208
2010,Austria,IMF,0.8567
2010,Austria,IBRD,0.6978
2010,Austria,ADB,0.608
2010,Austria,WTO,0.6536
2010,Austria,AFDB,0.458
2010,Austria,IFC,0.8278
2019,Cyprus,UNGA,0.5181
2019,Cyprus,IFC,0.108
2020,Cyprus,IFC,0.10871
2020,Cyprus,WTO,0.60976
2020,Cyprus,UNGA,0.5181
2020,Cyprus,IMF,0.08947
2020,Cyprus,IBRD,0.10259
2021,Cyprus,IBRD,0.09992
2021,Cyprus,IMF,0.08923
2021,Cyprus,UNGA,0.51813
2021,Cyprus,WTO,0.60976
2021,Cyprus,IFC,0.10369
2000,Czechia,ECOSOC,1.8519
2000,Czechia,WTO,0.7143
2000,Czechia,IBRD,0.4075
2000,Czechia,IFC,0.3816
2000,Czechia,UNGA,0.5291
2000,Czechia,IMF,0.3944
2005,Czechia,IBRD,0.4052
2005,Czechia,WTO,0.6711
2005,Czechia,UNGA,0.5236
2005,Czechia,IMF,0.3881
2000,Iceland,IBRD,0.0937
2005,Iceland,IBRD,0.0932
2005,Iceland,UNGA,0.5236
2005,Iceland,IMF,0.0656
2005,Iceland,IFC,0.0121
2005,Iceland,WTO,0.6711
2005,Iceland,ECOSOC,1.8519
2010,Iceland,WTO,0.6536
2010,Iceland,IFC,0.0121
2010,Iceland,IMF,0.0644
2010,Iceland,UNGA,0.5208
2005,Czechia,IFC,0.3805
2010,Czechia,IBRD,0.4045
2010,Czechia,WTO,0.6536
2010,Czechia,IFC,0.3794
2010,Czechia,IMF,0.0743
2010,Czechia,UNGA,0.5208
2015,Czechia,IBRD,0.3773
2015,Czechia,IFC,0.35822
2015,Czechia,IMF,0.4269
2015,Czechia,WTO,0.625
2015,Czechia,UNGA,0.5181
2010,Iceland,IBRD,0.093
2015,Iceland,IBRD,0.0971
2015,Iceland,UNGA,0.5181
2015,Iceland,IFC,0.03173
2015,Iceland,IMF,0.0759
2015,Iceland,WTO,0.625
2016,Iceland,WTO,0.6173
2016,Iceland,IFC,0.03173
2016,Iceland,IMF,0.094
2016,Iceland,IBRD,0.1
2016,Iceland,UNGA,0.5181
2010,Austria,IADB,0.161
2010,Austria,UNSC,6.6667
2014,Austria,AFDB,0.456
2015,Austria,AFDB,0.45
2015,Austria,IMF,0.8679
2015,Austria,IFC,0.75673
2015,Austria,ADB,0.571
2015,Austria,WTO,0.625
2015,Austria,UNGA,0.5181
2015,Austria,ECOSOC,1.8519
2015,Austria,IADB,0.161
2015,Austria,IBRD,0.6602
2016,Austria,UNGA,0.5181
2016,Austria,IADB,0.161
2016,Austria,IBRD,0.66
2016,Austria,IMF,0.817
2016,Austria,IFC,0.75673
2016,Austria,ADB,0.571
2016,Austria,WTO,0.6173
2016,Austria,AFDB,0.4539
2017,Austria,WTO,0.6098
2017,Austria,AFDB,0.4539
2017,Iceland,UNGA,0.5181
2017,Iceland,IBRD,0.1032
2017,Iceland,IMF,0.0931
2017,Iceland,IFC,0.03173
2017,Iceland,WTO,0.6098
2018,Iceland,WTO,0.6098
2018,Iceland,IFC,0.0317
2018,Iceland,IMF,0.0931
2018,Iceland,IBRD,0.1016
2018,Iceland,UNGA,0.5181
2019,Iceland,WTO,0.6098
2016,Czechia,IBRD,0.38
2016,Czechia,IMF,0.466
2016,Czechia,IFC,0.35822
2016,Czechia,WTO,0.6173
2016,Czechia,UNGA,0.5181
2016,Czechia,ECOSOC,1.8519
2017,Czechia,ECOSOC,1.85185185185185
2017,Czechia,UNGA,0.5181
2017,Czechia,WTO,0.6098
2017,Czechia,IMF,0.4625
2017,Czechia,IFC,0.35822
2017,Austria,ADB,0.571
2017,Austria,IMF,0.8107
2017,Austria,IFC,0.75673
2017,Austria,IBRD,0.6484
2017,Austria,IADB,0.161
2017,Austria,UNGA,0.5181
2018,Austria,UNGA,0.5181
2018,Austria,IADB,0.161
2018,Austria,ADB,0.5701
2018,Austria,IFC,0.7567
2018,Austria,WTO,0.6098
2019,Iceland,UNGA,0.5181
2019,Iceland,IBRD,0.1003
2019,Iceland,IMF,0.09307
2019,Iceland,IFC,0.0313
2020,Iceland,IFC,0.03154
2020,Iceland,WTO,0.60976
2020,Iceland,IMF,0.09304
2020,Iceland,IBRD,0.10057
2020,Iceland,UNGA,0.5181
2021,Iceland,UNGA,0.51813
2021,Iceland,IMF,0.0928
2017,Czechia,IBRD,0.368
2018,Czechia,IFC,0.3582
