Year,GeoAreaName,Age,Value
2000,Albania,<5Y,52.3
2001,Albania,<5Y,54.1
2002,Albania,<5Y,55.2
2003,Albania,<5Y,55.5
2004,Albania,<5Y,55.0
2005,Albania,<5Y,53.7
2006,Albania,<5Y,51.6
2007,Albania,<5Y,49.0
2000,Greece,<5Y,57.2
2001,Greece,<5Y,58.9
2002,Greece,<5Y,60.9
2003,Greece,<5Y,63.2
2004,Greece,<5Y,65.5
2005,Greece,<5Y,67.4
2006,Greece,<5Y,69.3
2007,Greece,<5Y,71.5
2000,Turkmenistan,<5Y,24.2
2001,Turkmenistan,<5Y,24.2
2002,Turkmenistan,<5Y,25.2
2003,Turkmenistan,<5Y,26.8
2004,Turkmenistan,<5Y,28.3
2005,Turkmenistan,<5Y,29.4
2006,Turkmenistan,<5Y,30.7
2007,Turkmenistan,<5Y,30.8
2008,Albania,<5Y,46.3
2009,Albania,<5Y,43.5
2010,Albania,<5Y,41.0
2011,Albania,<5Y,38.7
2012,Albania,<5Y,36.8
2013,Albania,<5Y,34.9
2014,Albania,<5Y,33.1
2015,Albania,<5Y,31.3
2008,Greece,<5Y,73.5
2009,Greece,<5Y,75.2
2010,Greece,<5Y,76.0
2011,Greece,<5Y,77.0
2012,Greece,<5Y,76.0
2013,Greece,<5Y,73.5
2014,Greece,<5Y,70.4
2015,Greece,<5Y,67.8
2008,Turkmenistan,<5Y,30.1
2009,Turkmenistan,<5Y,29.4
2010,Turkmenistan,<5Y,29.2
2011,Turkmenistan,<5Y,28.7
2012,Turkmenistan,<5Y,28.9
2013,Turkmenistan,<5Y,29.3
2014,Turkmenistan,<5Y,29.4
2015,Turkmenistan,<5Y,29.1
2016,Albania,<5Y,30.5
2017,Albania,<5Y,28.9
2018,Albania,<5Y,27.2
2019,Albania,<5Y,25.5
2020,Albania,<5Y,24.2
2000,Azerbaijan,<5Y,51.8
2001,Azerbaijan,<5Y,52.6
2016,Greece,<5Y,64.2
2017,Greece,<5Y,61.8
2018,Greece,<5Y,60.3
2019,Greece,<5Y,59.0
2020,Greece,<5Y,56.9
2000,Kazakhstan,<5Y,90.2
2001,Kazakhstan,<5Y,95.1
2016,Turkmenistan,<5Y,29.1
2017,Turkmenistan,<5Y,28.3
2018,Turkmenistan,<5Y,27.1
