Year,GeoAreaName,Migratory status,Value
2015,Croatia,,0.57
2016,Croatia,,0.57
2017,Croatia,,1.12
2018,Croatia,,1.12
2019,Croatia,,1.12
2020,Croatia,,1.12
2015,Cyprus,,0.0
2016,Cyprus,,0.0
2017,Cyprus,,0.0
2015,Albania,,0.88
2016,Albania,,0.72
2017,Albania,,0.72
2018,Albania,,0.72
2019,Albania,,0.72
2020,Albania,,0.72
2018,Cyprus,,0.0
2019,Cyprus,,0.0
2020,Cyprus,,0.0
2015,Czechia,,0.18
2016,Czechia,,0.18
2017,Czechia,,0.18
2018,Czechia,,0.18
2019,Czechia,,0.18
2020,Czechia,,0.18
2015,Austria,,0.0
2016,Austria,,0.0
2017,Austria,,0.0
2015,Denmark,,0.73
2016,Denmark,,0.53
2017,Denmark,,0.53
2018,Austria,,0.0
2019,Austria,,0.0
2020,Austria,,0.0
2015,Türkiye,,3.53
2016,Türkiye,,2.47
2018,Türkiye,,5.1
2018,Denmark,,0.53
2019,Denmark,,0.19
2020,Denmark,,0.19
2015,Armenia,,1.22
2016,Armenia,,1.4
2017,Armenia,,1.4
2018,Armenia,,1.4
2019,Armenia,,1.4
2020,Armenia,,1.4
2019,Türkiye,,3.66
2020,Türkiye,,3.66
2015,Ukraine,,0.74
2015,Belgium,,0.35
2016,Belgium,,0.0
2017,Belgium,,0.0
2015,Estonia,,0.0
2016,Estonia,,0.0
2017,Estonia,,0.0
2016,Ukraine,,0.57
2017,Ukraine,,0.57
2018,Ukraine,,0.57
2018,Belgium,,0.0
2019,Belgium,,0.51
2020,Belgium,,0.51
2019,Ukraine,,0.57
2020,Ukraine,,0.94
2015,North Macedonia,,0.2
2016,North Macedonia,,0.52
2017,North Macedonia,,0.52
2018,North Macedonia,,0.52
2015,Bosnia and Herzegovina,,0.0
2016,Bosnia and Herzegovina,,1.05
2017,Bosnia and Herzegovina,,1.05
2018,Bosnia and Herzegovina,,1.05
2019,Bosnia and Herzegovina,,0.89
2020,Bosnia and Herzegovina,,0.89
2015,Bulgaria,,1.08
2016,Bulgaria,,1.08
2017,Bulgaria,,1.08
2018,Estonia,,0.0
2019,Estonia,,0.15
2020,Estonia,,0.15
2018,Bulgaria,,1.08
2019,Bulgaria,,0.89
