Year,GeoAreaName,Level/Status,Value
2022,Albania,_T,1
2022,Albania,LS_COMPDISSE,1
2022,Azerbaijan,LS_COMPDISSE,1
2022,Azerbaijan,_T,1
2022,Austria,_T,1
2022,Austria,LS_COMPDISSE,1
2022,Armenia,_T,1
2022,Armenia,LS_COMPDISSE,1
2022,Belgium,LS_COMPDISSE,1
2022,Belgium,_T,1
2022,Bosnia and Herzegovina,_T,1
2022,Bosnia and Herzegovina,LS_COMPDISSE,1
2022,Bulgaria,_T,1
2022,Bulgaria,LS_COMPDISSE,1
2022,Belarus,LS_COMPDISSE,1
2022,Belarus,_T,1
2022,Croatia,LS_COMPDISSE,1
2022,Croatia,_T,1
2022,Cyprus,_T,1
2022,Cyprus,LS_COMPDISSE,1
2022,Czechia,LS_COMPDISSE,1
2022,Czechia,_T,1
2022,Denmark,LS_COMPDISSE,1
2022,Denmark,_T,1
2022,Estonia,LS_COMPDISSE,1
2022,Estonia,_T,1
2022,Finland,_T,1
2022,Finland,LS_COMPDISSE,1
2022,France,LS_COMPDISSE,1
2022,France,_T,1
2022,Georgia,LS_COMPDISSE,1
2022,Georgia,_T,1
2022,Germany,LS_COMPDISSE,1
2022,Germany,_T,1
2022,Greece,_T,1
2022,Greece,LS_COMPDISSE,1
2022,Hungary,LS_COMPDISSE,1
2022,Hungary,_T,1
2022,Iceland,LS_COMPDISSE,1
2022,Iceland,_T,1
2022,Ireland,LS_COMPDISSE,1
2022,Ireland,_T,1
2022,Italy,_T,1
2022,Italy,LS_COMPDISSE,1
2022,Kazakhstan,LS_COMPDISSE,1
2022,Kazakhstan,_T,1
2022,Latvia,_T,1
2022,Latvia,LS_COMPDISSE,1
2022,Lithuania,_T,1
2022,Lithuania,LS_COMPDISSE,1
2022,Luxembourg,_T,1
2022,Luxembourg,LS_COMPDISSE,1
2022,Malta,_T,1
2022,Malta,LS_COMPDISSE,1
2022,Republic of Moldova,LS_DISSEM,1
2022,Republic of Moldova,_T,1
2022,Netherlands,_T,1
2022,Netherlands,LS_COMPDISSE,1
2022,Norway,LS_COMPDISSE,1
2022,Norway,_T,1
2022,Poland,_T,1
2022,Poland,LS_COMPDISSE,1
2022,Portugal,_T,1
2022,Portugal,LS_COMPDISSE,1
2022,Romania,_T,1
2022,Romania,LS_COMPDISSE,1
2022,Serbia,LS_COMPDISSE,1
2022,Serbia,_T,1
2022,Slovakia,LS_COMPDISSE,1
2022,Slovakia,_T,1
2022,Slovenia,LS_COMPDISSE,1
2022,Slovenia,_T,1
2022,Spain,_T,1
2022,Spain,LS_COMPDISSE,1
2022,Sweden,LS_COMPDISSE,1
2022,Sweden,_T,1
2022,Switzerland,LS_COMPDISSE,1
2022,Switzerland,_T,1
2022,Türkiye,LS_COMPDISSE,1
2022,Türkiye,_T,1
2022,Ukraine,_T,1
2022,Ukraine,LS_COMPDISSE,1
2022,North Macedonia,_T,1
2022,North Macedonia,LS_COMPDISSE,1
2022,North Macedonia,LS_COMPDISSE,1
