Year,GeoAreaName,Location,Value
2008,Republic of Moldova,RURAL,82
2008,Republic of Moldova,URBAN,93
2008,Republic of Moldova,ALLAREA,87
2009,Republic of Moldova,ALLAREA,87
2009,Republic of Moldova,URBAN,93
2009,Republic of Moldova,RURAL,82
2010,Republic of Moldova,RURAL,82
2010,Republic of Moldova,ALLAREA,87
2010,Republic of Moldova,URBAN,93
2011,Republic of Moldova,URBAN,93
2009,Azerbaijan,ALLAREA,89
2009,Azerbaijan,RURAL,87
2009,Azerbaijan,URBAN,91
2010,Azerbaijan,ALLAREA,89
2010,Azerbaijan,RURAL,87
2010,Azerbaijan,URBAN,91
2011,Azerbaijan,ALLAREA,89
2011,Azerbaijan,RURAL,87
2011,Azerbaijan,URBAN,91
2012,Azerbaijan,ALLAREA,89
2011,Republic of Moldova,RURAL,82
2011,Republic of Moldova,ALLAREA,87
2012,Republic of Moldova,URBAN,93
2012,Republic of Moldova,RURAL,82
2012,Republic of Moldova,ALLAREA,87
2013,Republic of Moldova,ALLAREA,87
2013,Republic of Moldova,URBAN,93
2013,Republic of Moldova,RURAL,82
2014,Republic of Moldova,URBAN,93
2014,Republic of Moldova,RURAL,82
2012,Azerbaijan,RURAL,87
2012,Azerbaijan,URBAN,91
2013,Azerbaijan,ALLAREA,89
2013,Azerbaijan,RURAL,87
2013,Azerbaijan,URBAN,91
2014,Azerbaijan,ALLAREA,89
2014,Azerbaijan,URBAN,91
2014,Azerbaijan,RURAL,87
2015,Azerbaijan,ALLAREA,89
2015,Azerbaijan,RURAL,87
2014,Republic of Moldova,ALLAREA,87
2015,Republic of Moldova,RURAL,82
2015,Republic of Moldova,URBAN,93
2015,Republic of Moldova,ALLAREA,87
2016,Republic of Moldova,URBAN,93
2016,Republic of Moldova,ALLAREA,87
2016,Republic of Moldova,RURAL,82
2014,Montenegro,URBAN,99
2014,Montenegro,RURAL,99
2014,Montenegro,ALLAREA,99
2015,Montenegro,URBAN,99
2015,Montenegro,RURAL,99
2015,Montenegro,ALLAREA,99
2016,Montenegro,ALLAREA,99
2016,Montenegro,RURAL,99
2016,Montenegro,URBAN,99
2017,Montenegro,URBAN,99
2017,Montenegro,RURAL,99
2017,Montenegro,ALLAREA,99
2018,Montenegro,URBAN,99
2015,Azerbaijan,URBAN,91
2016,Azerbaijan,ALLAREA,89
2016,Azerbaijan,URBAN,91
2016,Azerbaijan,RURAL,87
2017,Azerbaijan,ALLAREA,89
2017,Azerbaijan,RURAL,87
2017,Azerbaijan,URBAN,91
2000,Armenia,ALLAREA,83
2000,Armenia,RURAL,66
2000,Armenia,URBAN,93
2001,Armenia,ALLAREA,84
2001,Armenia,RURAL,67
2001,Armenia,URBAN,93
2002,Armenia,ALLAREA,84
2002,Armenia,RURAL,68
2002,Armenia,URBAN,93
2003,Armenia,RURAL,70
2003,Armenia,URBAN,94
2003,Armenia,ALLAREA,85
2004,Armenia,ALLAREA,86
2004,Armenia,RURAL,71
2004,Armenia,URBAN,94
2005,Armenia,ALLAREA,86
2005,Armenia,RURAL,73
2005,Armenia,URBAN,94
2006,Armenia,ALLAREA,87
2006,Armenia,RURAL,74
2006,Armenia,URBAN,94
2007,Armenia,URBAN,94
2007,Armenia,RURAL,76
2007,Armenia,ALLAREA,88
2008,Armenia,ALLAREA,88
2008,Armenia,RURAL,77
2008,Armenia,URBAN,95
2009,Armenia,ALLAREA,89
2009,Armenia,RURAL,78
2009,Armenia,URBAN,95
2010,Armenia,ALLAREA,89
2010,Armenia,RURAL,80
2010,Armenia,URBAN,95
2011,Armenia,ALLAREA,90
2011,Armenia,RURAL,81
2011,Armenia,URBAN,95
2012,Armenia,ALLAREA,91
2012,Armenia,RURAL,83
2012,Armenia,URBAN,96
2013,Armenia,ALLAREA,91
2013,Armenia,RURAL,84
2013,Armenia,URBAN,96
2014,Armenia,ALLAREA,92
2014,Armenia,RURAL,85
2014,Armenia,URBAN,96
2015,Armenia,ALLAREA,93
2015,Armenia,RURAL,87
2015,Armenia,URBAN,96
2016,Armenia,ALLAREA,93
2016,Armenia,RURAL,88
2016,Armenia,URBAN,96
2017,Armenia,ALLAREA,94
2017,Armenia,RURAL,90
2018,Montenegro,RURAL,99
2018,Montenegro,ALLAREA,99
2019,Montenegro,URBAN,99
2019,Montenegro,RURAL,99
2019,Montenegro,ALLAREA,99
2020,Montenegro,RURAL,99
2020,Montenegro,URBAN,99
2020,Montenegro,ALLAREA,99
2006,Serbia,ALLAREA,98
2006,Serbia,RURAL,98
2017,Armenia,URBAN,97
2018,Armenia,ALLAREA,95
2018,Armenia,RURAL,91
2018,Armenia,URBAN,97
2019,Armenia,ALLAREA,95
2019,Armenia,RURAL,91
2019,Armenia,URBAN,97
2020,Armenia,RURAL,91
2020,Armenia,URBAN,97
2020,Armenia,ALLAREA,95
2006,Serbia,URBAN,98
2007,Serbia,ALLAREA,98
2007,Serbia,URBAN,98
2007,Serbia,RURAL,98
2008,Serbia,ALLAREA,98
2008,Serbia,RURAL,98
2008,Serbia,URBAN,98
2009,Serbia,URBAN,98
2009,Serbia,RURAL,98
2009,Serbia,ALLAREA,98
2010,Serbia,ALLAREA,98
2010,Serbia,URBAN,98
2010,Serbia,RURAL,98
2011,Serbia,URBAN,98
2011,Serbia,RURAL,98
2011,Serbia,ALLAREA,98
2012,Serbia,ALLAREA,98
2012,Serbia,RURAL,98
2012,Serbia,URBAN,98
2013,Serbia,URBAN,98
2008,Bosnia and Herzegovina,ALLAREA,97
2008,Bosnia and Herzegovina,RURAL,96
2008,Bosnia and Herzegovina,URBAN,99
2009,Bosnia and Herzegovina,ALLAREA,97
2009,Bosnia and Herzegovina,RURAL,96
2009,Bosnia and Herzegovina,URBAN,99
2010,Bosnia and Herzegovina,ALLAREA,97
2010,Bosnia and Herzegovina,RURAL,96
2010,Bosnia and Herzegovina,URBAN,99
2011,Bosnia and Herzegovina,ALLAREA,97
2013,Serbia,RURAL,98
2013,Serbia,ALLAREA,98
2014,Serbia,URBAN,98
2014,Serbia,RURAL,98
2014,Serbia,ALLAREA,98
2006,Tajikistan,ALLAREA,72
2006,Tajikistan,URBAN,89
2006,Tajikistan,RURAL,67
2007,Tajikistan,URBAN,89
2007,Tajikistan,RURAL,67
2007,Tajikistan,ALLAREA,72
2008,Tajikistan,ALLAREA,72
2008,Tajikistan,URBAN,89
2008,Tajikistan,RURAL,67
2009,Tajikistan,RURAL,67
2009,Tajikistan,ALLAREA,72
2009,Tajikistan,URBAN,89
2010,Tajikistan,ALLAREA,72
2010,Tajikistan,RURAL,67
2010,Tajikistan,URBAN,89
2011,Tajikistan,URBAN,88
2011,Tajikistan,RURAL,67
2011,Tajikistan,ALLAREA,72
2012,Tajikistan,URBAN,88
2012,Tajikistan,RURAL,67
2012,Tajikistan,ALLAREA,72
2013,Tajikistan,URBAN,88
2013,Tajikistan,RURAL,67
2013,Tajikistan,ALLAREA,72
2014,Tajikistan,ALLAREA,73
2014,Tajikistan,RURAL,67
2014,Tajikistan,URBAN,88
2015,Tajikistan,URBAN,88
