Year,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.27
2021,Bosnia and Herzegovina,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.49
2022,Belarus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.16
2022,Belarus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.73
2020,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.73
2020,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.42
2020,Croatia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.35
2020,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.99
2021,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.73
2021,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.43
2021,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.97
2021,Croatia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.36
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.48
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.05
2020,Cyprus,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.66
2020,Cyprus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.25
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.05
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.43
2021,Cyprus,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.27
2021,Cyprus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.24
2021,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.2
2021,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.73
2022,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.19
2022,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.31
2019,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.12
2019,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.58
2019,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.86
2019,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.2
2019,Denmark,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,1.12
2019,Denmark,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,1.17
2019,Denmark,ALLAGE,_T,POP_B,BOTHSEX,REGISTRARS,0.08
2019,Denmark,ALLAGE,_T,POP_B,BOTHSEX,JUDGES,0.12
2019,Denmark,ALLAGE,_T,POP_C,BOTHSEX,REGISTRARS,0.48
2019,Denmark,ALLAGE,_T,POP_C,BOTHSEX,JUDGES,0.14
2020,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.67
2020,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.17
2020,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.06
2020,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.54
2020,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.71
2020,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.3
2020,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.62
2020,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.21
2021,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.72
2021,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.32
2021,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.25
2021,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.57
2020,Finland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.65
2020,Finland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.23
2020,Finland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.92
2020,Finland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.55
2019,Germany,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.93
2020,Greece,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.45
2021,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.42
2021,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.01
2021,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.33
