Year,GeoAreaName,Age,Value
2000,Serbia,<5Y,57.9
2001,Serbia,<5Y,55.3
2002,Serbia,<5Y,52.7
2003,Serbia,<5Y,50.1
2004,Serbia,<5Y,46.7
2005,Serbia,<5Y,43.5
2006,Serbia,<5Y,41.4
2007,Serbia,<5Y,38.9
2000,Czechia,<5Y,12.1
2001,Czechia,<5Y,11.2
2002,Czechia,<5Y,11.0
2003,Czechia,<5Y,11.3
2004,Czechia,<5Y,11.7
2005,Czechia,<5Y,12.1
2006,Czechia,<5Y,12.9
2007,Czechia,<5Y,13.5
2008,Serbia,<5Y,36.2
2009,Serbia,<5Y,33.6
2010,Serbia,<5Y,31.9
2011,Serbia,<5Y,30.0
2012,Serbia,<5Y,28.7
2013,Serbia,<5Y,27.6
2014,Serbia,<5Y,26.7
2015,Serbia,<5Y,26.2
2008,Czechia,<5Y,13.8
2009,Czechia,<5Y,14.0
2010,Czechia,<5Y,14.1
2011,Czechia,<5Y,14.2
2012,Czechia,<5Y,14.1
2013,Czechia,<5Y,13.8
2014,Czechia,<5Y,13.6
2015,Czechia,<5Y,13.5
2016,Czechia,<5Y,13.2
2017,Czechia,<5Y,13.2
2018,Czechia,<5Y,13.6
2019,Czechia,<5Y,13.9
2020,Czechia,<5Y,14.1
2000,Estonia,<5Y,1.3
2001,Estonia,<5Y,1.2
2002,Estonia,<5Y,1.1
2003,Estonia,<5Y,1.1
2004,Estonia,<5Y,1.1
2005,Estonia,<5Y,1.1
2006,Estonia,<5Y,1.1
2007,Estonia,<5Y,1.1
2008,Estonia,<5Y,1.1
2009,Estonia,<5Y,1.1
2010,Estonia,<5Y,1.1
2016,Serbia,<5Y,25.3
2017,Serbia,<5Y,24.6
2018,Serbia,<5Y,23.9
2019,Serbia,<5Y,23.2
2020,Serbia,<5Y,22.1
2000,Tajikistan,<5Y,371.1
2001,Tajikistan,<5Y,365.1
2002,Tajikistan,<5Y,355.2
2003,Tajikistan,<5Y,341.0
2004,Tajikistan,<5Y,327.1
2005,Tajikistan,<5Y,316.2
2006,Tajikistan,<5Y,307.1
2007,Tajikistan,<5Y,300.8
2008,Tajikistan,<5Y,296.4
2009,Tajikistan,<5Y,293.6
2000,Albania,<5Y,83.0
2001,Albania,<5Y,80.4
2002,Albania,<5Y,76.6
2003,Albania,<5Y,71.9
2004,Albania,<5Y,66.3
2005,Albania,<5Y,60.4
2006,Albania,<5Y,54.4
2007,Albania,<5Y,48.5
2010,Tajikistan,<5Y,291.4
2011,Tajikistan,<5Y,294.2
2012,Tajikistan,<5Y,291.5
2013,Tajikistan,<5Y,283.8
2014,Tajikistan,<5Y,272.6
2015,Tajikistan,<5Y,260.6
2016,Tajikistan,<5Y,249.2
2017,Tajikistan,<5Y,236.8
2008,Albania,<5Y,43.3
2009,Albania,<5Y,38.8
2010,Albania,<5Y,35.2
2011,Albania,<5Y,32.3
2012,Albania,<5Y,29.9
2013,Albania,<5Y,28.0
2014,Albania,<5Y,26.2
2015,Albania,<5Y,24.5
2018,Tajikistan,<5Y,225.5
2019,Tajikistan,<5Y,215.7
2020,Tajikistan,<5Y,207.3
2000,Turkmenistan,<5Y,134.4
2001,Turkmenistan,<5Y,123.5
2002,Turkmenistan,<5Y,116.8
2003,Turkmenistan,<5Y,112.9
2016,Albania,<5Y,23.5
2017,Albania,<5Y,21.9
2018,Albania,<5Y,19.7
2019,Albania,<5Y,17.6
2020,Albania,<5Y,15.9
2000,Azerbaijan,<5Y,173.4
2001,Azerbaijan,<5Y,164.1
2004,Turkmenistan,<5Y,108.3
2005,Turkmenistan,<5Y,102.5
2006,Turkmenistan,<5Y,99.4
2007,Turkmenistan,<5Y,93.9
2008,Turkmenistan,<5Y,87.3
2009,Turkmenistan,<5Y,81.6
2010,Turkmenistan,<5Y,78.6
2011,Turkmenistan,<5Y,75.6
2012,Turkmenistan,<5Y,74.9
2013,Turkmenistan,<5Y,74.9
2014,Turkmenistan,<5Y,74.1
2015,Turkmenistan,<5Y,70.8
2016,Turkmenistan,<5Y,69.1
2017,Turkmenistan,<5Y,64.9
2018,Turkmenistan,<5Y,59.5
2019,Turkmenistan,<5Y,54.3
2020,Turkmenistan,<5Y,50.2
2000,Ukraine,<5Y,483.3
