Year,GeoAreaName,Education level,Value
2017,Albania,UPPSEC,79.96032
2018,Albania,UPPSEC,85.45455
2018,Albania,LOWSEC,89.73978
2018,Albania,PRIMAR,71.02757
2019,Albania,PRIMAR,63.32876
2019,Albania,LOWSEC,95.11426
2019,Albania,UPPSEC,85.11066
2020,Albania,UPPSEC,100.0
2020,Albania,LOWSEC,100.0
2020,Albania,PRIMAR,71.94549
2021,Albania,PRIMAR,100.0
2000,Poland,LOWSEC,100.0
2000,Poland,UPPSEC,100.0
2000,Poland,PRIMAR,100.0
2001,Poland,PRIMAR,100.0
2001,Poland,UPPSEC,100.0
2001,Poland,LOWSEC,100.0
2002,Poland,LOWSEC,100.0
2002,Poland,UPPSEC,100.0
2002,Poland,PRIMAR,100.0
2003,Poland,PRIMAR,100.0
2003,Poland,UPPSEC,100.0
2003,Poland,LOWSEC,100.0
2004,Poland,LOWSEC,100.0
2004,Poland,UPPSEC,100.0
2004,Poland,PRIMAR,100.0
2005,Poland,PRIMAR,100.0
2005,Poland,UPPSEC,100.0
2005,Poland,LOWSEC,100.0
2006,Poland,LOWSEC,100.0
2006,Poland,UPPSEC,100.0
2006,Poland,PRIMAR,100.0
2007,Poland,PRIMAR,100.0
2007,Poland,UPPSEC,100.0
2007,Poland,LOWSEC,100.0
2008,Poland,LOWSEC,100.0
2008,Poland,UPPSEC,100.0
2008,Poland,PRIMAR,100.0
2009,Poland,PRIMAR,100.0
2009,Poland,UPPSEC,100.0
2009,Poland,LOWSEC,100.0
2010,Poland,LOWSEC,100.0
2010,Poland,UPPSEC,100.0
2010,Poland,PRIMAR,100.0
2021,Albania,LOWSEC,100.0
2021,Albania,UPPSEC,92.77108
2016,Azerbaijan,LOWSEC,100.0
2016,Azerbaijan,UPPSEC,100.0
2016,Azerbaijan,PRIMAR,100.0
2017,Azerbaijan,PRIMAR,100.0
2017,Azerbaijan,UPPSEC,100.0
2017,Azerbaijan,LOWSEC,100.0
2018,Azerbaijan,LOWSEC,100.0
2018,Azerbaijan,UPPSEC,100.0
2018,Azerbaijan,PRIMAR,100.0
2011,Poland,PRIMAR,100.0
2011,Poland,UPPSEC,100.0
2011,Poland,LOWSEC,100.0
2012,Poland,LOWSEC,100.0
2012,Poland,UPPSEC,100.0
2012,Poland,PRIMAR,100.0
2013,Poland,PRIMAR,100.0
2013,Poland,UPPSEC,100.0
2013,Poland,LOWSEC,100.0
2014,Poland,LOWSEC,100.0
2014,Poland,UPPSEC,100.0
2019,Azerbaijan,PRIMAR,100.0
2019,Azerbaijan,UPPSEC,100.0
2019,Azerbaijan,LOWSEC,100.0
2020,Azerbaijan,LOWSEC,100.0
2020,Azerbaijan,UPPSEC,100.0
2020,Azerbaijan,PRIMAR,100.0
2021,Azerbaijan,PRIMAR,100.0
2021,Azerbaijan,LOWSEC,100.0
2021,Azerbaijan,UPPSEC,100.0
2020,Armenia,PRIMAR,97.73967
2020,Armenia,UPPSEC,96.42185
