Year,GeoAreaName,Sex,Type of occupation,Value
2013,Albania,MALE,NURS,31.5
2013,Albania,FEMALE,NURS,68.5
2013,Albania,MALE,PHYS,53.1
2013,Albania,FEMALE,PHYS,46.9
2013,Azerbaijan,FEMALE,PHYS,64.7
2013,Azerbaijan,MALE,PHYS,35.3
2016,Austria,FEMALE,NURS,93.2
2016,Austria,MALE,NURS,6.8
2000,Armenia,FEMALE,PHYS,71.3
2000,Armenia,MALE,PHYS,28.7
2001,Armenia,FEMALE,PHYS,71.8
2001,Armenia,MALE,PHYS,28.2
2002,Armenia,MALE,PHYS,29.2
2002,Armenia,FEMALE,PHYS,70.8
2003,Armenia,FEMALE,PHYS,70.4
2003,Armenia,MALE,PHYS,29.6
2004,Armenia,MALE,PHYS,29.6
2004,Armenia,FEMALE,PHYS,70.4
2005,Armenia,FEMALE,PHYS,70.6
2005,Armenia,MALE,PHYS,29.4
2006,Armenia,MALE,PHYS,29.5
2006,Armenia,FEMALE,PHYS,70.5
2007,Armenia,FEMALE,PHYS,70.7
2007,Armenia,MALE,PHYS,29.3
2008,Armenia,MALE,PHYS,29.6
2008,Armenia,FEMALE,PHYS,70.4
2009,Armenia,MALE,PHYS,30.0
2016,Norway,FEMALE,NURS,89.1
2016,Norway,MALE,NURS,10.9
2018,Norway,FEMALE,PHYS,49.9
2018,Norway,MALE,PHYS,50.1
2018,Poland,FEMALE,NURS,97.7
2018,Poland,MALE,NURS,2.3
2011,Portugal,FEMALE,NURS,82.1
2011,Portugal,MALE,NURS,17.9
2016,Portugal,MALE,NURS,22.1
2009,Armenia,FEMALE,PHYS,70.0
2010,Armenia,FEMALE,PHYS,69.5
2010,Armenia,MALE,PHYS,30.5
2011,Armenia,FEMALE,PHYS,69.5
2011,Armenia,FEMALE,NURS,97.6
2011,Armenia,MALE,NURS,2.4
2011,Armenia,MALE,PHYS,30.5
2012,Armenia,FEMALE,PHYS,69.2
2012,Armenia,MALE,PHYS,30.8
2013,Armenia,FEMALE,PHYS,69.2
2013,Armenia,MALE,PHYS,30.8
