Year,GeoAreaName,Location,Value
2010,Azerbaijan,TSUB,29.57853
2010,Azerbaijan,RURAL,28.50277
2010,Azerbaijan,CITY,33.38792
2010,Azerbaijan,URBAN,32.10206
2010,Azerbaijan,ALLAREA,30.1081
2011,Azerbaijan,CITY,37.43776
2011,Azerbaijan,TSUB,33.39423
2011,Azerbaijan,RURAL,32.18854
2011,Azerbaijan,ALLAREA,33.92017
2011,Azerbaijan,URBAN,36.07442
2012,Azerbaijan,CITY,37.0785
2012,Azerbaijan,URBAN,35.72314
2012,Azerbaijan,RURAL,31.86333
2012,Azerbaijan,TSUB,33.05422
2012,Azerbaijan,ALLAREA,33.58166
2013,Azerbaijan,RURAL,29.744
2013,Azerbaijan,CITY,34.64708
2013,Azerbaijan,ALLAREA,31.35332
2013,Azerbaijan,TSUB,30.83021
2013,Azerbaijan,URBAN,33.36297
2014,Azerbaijan,CITY,33.15734
2014,Azerbaijan,URBAN,31.89102
2014,Azerbaijan,TSUB,29.38942
2014,Azerbaijan,RURAL,28.36138
2014,Azerbaijan,ALLAREA,29.929
2015,Azerbaijan,TSUB,29.18564
2015,Azerbaijan,URBAN,31.53602
2015,Azerbaijan,RURAL,28.17802
2015,Azerbaijan,CITY,32.72397
2015,Azerbaijan,ALLAREA,29.66727
2016,Azerbaijan,URBAN,30.59647
2016,Azerbaijan,ALLAREA,28.84057
2016,Azerbaijan,RURAL,27.44532
2016,Azerbaijan,TSUB,28.39898
2016,Azerbaijan,CITY,31.70551
2017,Azerbaijan,RURAL,26.093
2017,Azerbaijan,CITY,30.33718
2017,Azerbaijan,ALLAREA,27.47704
2017,Azerbaijan,TSUB,27.0163
2017,Azerbaijan,URBAN,29.2244
2018,Azerbaijan,CITY,29.86457
2018,Azerbaijan,RURAL,25.56283
2018,Azerbaijan,URBAN,28.73272
2018,Azerbaijan,TSUB,26.48363
2018,Azerbaijan,ALLAREA,26.96124
2019,Azerbaijan,ALLAREA,24.64286
2019,Azerbaijan,RURAL,23.43242
2019,Azerbaijan,CITY,27.15334
2010,Croatia,ALLAREA,20.99358
2010,Croatia,URBAN,21.23688
2010,Croatia,RURAL,20.76388
2010,Croatia,CITY,20.88841
2010,Croatia,TSUB,21.64045
2011,Croatia,URBAN,22.32651
2011,Croatia,CITY,21.94819
2011,Croatia,TSUB,22.76593
2011,Croatia,ALLAREA,22.06682
2011,Croatia,RURAL,21.82058
2012,Croatia,CITY,19.83516
2012,Croatia,RURAL,19.64296
2019,Azerbaijan,TSUB,24.24792
2019,Azerbaijan,URBAN,26.18158
2010,Austria,TSUB,15.2892
2010,Austria,RURAL,13.97241
2010,Austria,CITY,18.32476
2010,Austria,ALLAREA,15.62129
2010,Austria,URBAN,16.97136
2011,Austria,TSUB,15.6588
2011,Austria,RURAL,14.31685
2011,Austria,CITY,18.69682
2011,Austria,ALLAREA,15.98621
2011,Austria,URBAN,17.34534
2012,Croatia,TSUB,20.49375
2012,Croatia,URBAN,20.13937
2012,Croatia,ALLAREA,19.8851
2013,Croatia,CITY,18.90814
2013,Croatia,RURAL,18.68919
