Year,GeoAreaName,Level/Status,Value
2017,Albania,_T,51
2020,Albania,_T,47
2017,Azerbaijan,_T,72
2020,Azerbaijan,_T,54
2017,Austria,_T,100
2020,Austria,_T,93
2017,Armenia,_T,28
2020,Armenia,_T,47
2017,Belgium,_T,78
2020,Belgium,_T,88
2017,Bosnia and Herzegovina,_T,62
2020,Bosnia and Herzegovina,_T,56
2017,Bulgaria,_T,62
2020,Bulgaria,_T,70
2017,Belarus,_T,58
2020,Belarus,_T,66
2017,Croatia,_T,84
2020,Croatia,_T,84
2017,Cyprus,_T,85
2020,Cyprus,_T,89
2017,Czechia,_T,82
2020,Czechia,_T,83
2017,Denmark,_T,94
2020,Denmark,_T,96
2017,Estonia,_T,80
2020,Estonia,_T,80
2017,Finland,_T,77
2020,Finland,_T,82
2017,France,_T,100
2020,France,_T,100
2017,Georgia,_T,32
2020,Georgia,_T,39
2017,Germany,_T,83
2020,Germany,_T,87
2017,Greece,_T,77
2020,Greece,_T,87
2017,Hungary,_T,76
2020,Hungary,_T,77
2017,Iceland,_T,75
2020,Iceland,_T,78
2017,Ireland,_T,82
2020,Ireland,_T,84
2017,Italy,_T,51
2020,Italy,_T,76
2017,Kazakhstan,_T,40
2020,Kazakhstan,_T,51
2020,Kyrgyzstan,_T,43
2017,Latvia,_T,69
2020,Latvia,_T,77
2017,Liechtenstein,_T,73
2020,Liechtenstein,_T,70
2017,Lithuania,_T,62
2020,Lithuania,_T,62
2017,Luxembourg,_T,92
2020,Luxembourg,_T,90
2017,Malta,_T,76
2020,Malta,_T,88
2017,Republic of Moldova,_T,31
2020,Republic of Moldova,_T,46
2017,Montenegro,_T,40
2020,Montenegro,_T,38
2017,Netherlands,_T,88
2020,Netherlands,_T,87
2017,Norway,_T,64
2020,Norway,_T,66
2017,Poland,_T,40
2020,Poland,_T,72
2017,Portugal,_T,78
2020,Portugal,_T,78
2017,Romania,_T,84
2020,Romania,_T,82
2017,Serbia,_T,37
2020,Serbia,_T,42
2017,Slovakia,_T,66
2020,Slovakia,_T,62
2017,Slovenia,_T,62
2020,Slovenia,_T,81
2017,Spain,_T,90
2020,Spain,_T,90
2017,Sweden,_T,87
2020,Sweden,_T,87
2017,Switzerland,_T,81
2020,Switzerland,_T,81
2020,Tajikistan,_T,48
2017,Türkiye,_T,70
2020,Türkiye,_T,73
2020,Turkmenistan,_T,63
2017,Ukraine,_T,40
2020,Ukraine,_T,40
2017,North Macedonia,_T,27
2020,North Macedonia,_T,43
2017,Uzbekistan,_T,56
2020,Uzbekistan,_T,60
2020,Uzbekistan,_T,60
