Year,GeoAreaName,Level_of_government,Value
2019,Bosnia and Herzegovina,_T,51.59243
2020,Bosnia and Herzegovina,_T,49.54558
2021,Bosnia and Herzegovina,_T,52.31117
2019,Belarus,_T,72.66149
2018,Czechia,_T,175.71341
2019,Czechia,_T,169.97732
2020,Czechia,_T,160.64985
2019,Denmark,_T,217.78765
2020,Denmark,_T,216.36692
2017,Finland,_T,197.06155
2018,Finland,_T,201.51146
2019,Finland,_T,196.90304
2020,Finland,_T,213.8249
2018,France,_T,116.09027
2019,France,_T,129.62145
2020,France,_T,151.77084
2020,Georgia,_T,8.67626
2021,Georgia,_T,14.62344
2020,Greece,_T,10.75492
2020,Luxembourg,_T,205.28742
2021,Luxembourg,_T,220.75448
2020,Malta,_T,516.64742
2020,Norway,_T,23.75277
2021,Norway,_T,22.56032
2019,Poland,_T,104.38648
2020,Poland,_T,99.12304
2021,Poland,_T,94.40208
2018,Portugal,_T,50.50849
2019,Portugal,_T,51.39418
2020,Portugal,_T,41.99593
2017,Spain,_T,71.19094
2018,Spain,_T,74.23995
2019,Spain,_T,79.76633
2020,Spain,_T,61.71669
2018,Sweden,_T,108.33964
2019,Sweden,_T,95.37388
2020,Sweden,_T,97.73471
2021,Sweden,_T,130.31396
2018,Switzerland,_T,187.17923
2019,Switzerland,_T,198.18259
2020,Switzerland,_T,195.06636
2020,Switzerland,_T,195.06636
