Year,GeoAreaName,Education level,Value
2017,Albania,UPPSEC,11.90476
2018,Albania,LOWSEC,7.13755
2018,Albania,PRIMAR,5.06266
2018,Albania,UPPSEC,9.49495
2019,Albania,UPPSEC,11.0664
2019,Albania,PRIMAR,7.17878
2019,Albania,LOWSEC,7.95902
2020,Albania,LOWSEC,8.79479
2020,Albania,PRIMAR,8.1297
2020,Albania,UPPSEC,23.15369
2000,Finland,PRIMAR,100.0
2000,Finland,LOWSEC,100.0
2000,Finland,UPPSEC,100.0
2001,Finland,UPPSEC,100.0
2001,Finland,LOWSEC,100.0
2001,Finland,PRIMAR,100.0
2002,Finland,LOWSEC,100.0
2002,Finland,UPPSEC,100.0
2002,Finland,PRIMAR,100.0
2003,Finland,UPPSEC,100.0
2003,Finland,LOWSEC,100.0
2003,Finland,PRIMAR,100.0
2004,Finland,LOWSEC,100.0
2004,Finland,UPPSEC,100.0
2004,Finland,PRIMAR,100.0
2005,Finland,PRIMAR,100.0
2005,Finland,UPPSEC,100.0
2005,Finland,LOWSEC,100.0
2006,Finland,LOWSEC,100.0
2006,Finland,UPPSEC,100.0
2006,Finland,PRIMAR,100.0
2007,Finland,PRIMAR,100.0
2007,Finland,UPPSEC,100.0
2007,Finland,LOWSEC,100.0
2008,Finland,LOWSEC,100.0
2008,Finland,UPPSEC,100.0
2008,Finland,PRIMAR,100.0
2009,Finland,PRIMAR,100.0
2009,Finland,UPPSEC,100.0
2009,Finland,LOWSEC,100.0
2010,Finland,LOWSEC,100.0
2010,Finland,UPPSEC,100.0
2010,Finland,PRIMAR,100.0
2011,Finland,PRIMAR,100.0
2011,Finland,UPPSEC,100.0
2011,Finland,LOWSEC,100.0
2012,Finland,LOWSEC,100.0
2012,Finland,PRIMAR,100.0
2012,Finland,UPPSEC,100.0
2013,Finland,UPPSEC,100.0
2013,Finland,PRIMAR,100.0
2013,Finland,LOWSEC,100.0
2014,Finland,LOWSEC,100.0
2014,Finland,PRIMAR,100.0
2014,Finland,UPPSEC,100.0
2015,Finland,UPPSEC,100.0
2015,Finland,PRIMAR,100.0
2015,Finland,LOWSEC,100.0
2016,Finland,LOWSEC,100.0
2016,Finland,PRIMAR,100.0
2016,Finland,UPPSEC,100.0
2017,Finland,UPPSEC,100.0
2017,Finland,PRIMAR,100.0
2017,Finland,LOWSEC,100.0
2018,Finland,LOWSEC,100.0
2018,Finland,PRIMAR,100.0
2018,Finland,UPPSEC,100.0
2019,Finland,UPPSEC,100.0
2019,Finland,PRIMAR,100.0
2019,Finland,LOWSEC,100.0
2017,Kazakhstan,LOWSEC,8.99199
2017,Kazakhstan,UPPSEC,59.8474
2017,Kazakhstan,PRIMAR,4.33864
2018,Kazakhstan,PRIMAR,6.71618
2018,Kazakhstan,UPPSEC,77.29908
2018,Kazakhstan,LOWSEC,11.98026
2016,Latvia,PRIMAR,17.67956
2016,Latvia,UPPSEC,17.2043
2016,Latvia,LOWSEC,17.29428
2020,Lithuania,LOWSEC,88.20755
2020,Lithuania,UPPSEC,88.8412
2020,Lithuania,PRIMAR,68.8
2014,Slovakia,UPPSEC,8.01857
2014,Slovakia,LOWSEC,24.53834
2014,Slovakia,PRIMAR,14.6727
2015,Slovakia,PRIMAR,14.67324
2015,Slovakia,LOWSEC,24.65847
2015,Slovakia,UPPSEC,8.01206
2016,Slovakia,UPPSEC,8.27354
2016,Slovakia,LOWSEC,24.21984
2016,Slovakia,PRIMAR,14.48478
2020,Turkmenistan,LOWSEC,0.91006
2020,Turkmenistan,PRIMAR,0.91006
2020,Turkmenistan,UPPSEC,0.91006
2016,Ukraine,LOWSEC,78.52408
2016,Ukraine,PRIMAR,62.8041
2016,Ukraine,UPPSEC,78.84776
2017,Ukraine,UPPSEC,79.27706
2017,Ukraine,PRIMAR,62.78626
2017,Ukraine,LOWSEC,77.25029
2018,Ukraine,LOWSEC,78.63785
2018,Ukraine,PRIMAR,66.01164
2018,Ukraine,UPPSEC,80.69211
2019,Ukraine,UPPSEC,80.37906
2019,Ukraine,PRIMAR,64.06891
2019,Ukraine,LOWSEC,76.77315
2020,Ukraine,LOWSEC,78.72697
2020,Ukraine,PRIMAR,65.52962
2020,Ukraine,UPPSEC,81.5171
2021,Ukraine,UPPSEC,82.34939
2021,Ukraine,PRIMAR,66.76357
2021,Ukraine,LOWSEC,78.88638
2017,Uzbekistan,UPPSEC,30.01277
2019,Uzbekistan,PRIMAR,27.03614
2019,Uzbekistan,LOWSEC,27.08333
2020,Uzbekistan,LOWSEC,30.46844
2020,Uzbekistan,PRIMAR,30.44846
2021,Uzbekistan,PRIMAR,49.8042
2021,Uzbekistan,LOWSEC,32.71037
2021,Uzbekistan,UPPSEC,46.21027
2021,Uzbekistan,UPPSEC,46.21027
