Value,Disaggregation combinations using this value,Number of indicators
Albania,12,2
Armenia,16,2
Austria,16,2
Azerbaijan,16,2
Belarus,16,2
Belgium,16,2
Bosnia and Herzegovina,16,2
Bulgaria,16,2
Croatia,16,2
Cyprus,16,2
Czechia,16,2
Denmark,16,2
Estonia,16,2
Finland,16,2
France,16,2
Georgia,16,2
Germany,2,2
Greece,16,2
Hungary,16,2
Iceland,16,2
Ireland,16,2
Italy,16,2
Kazakhstan,16,2
Kyrgyzstan,16,2
Latvia,16,2
Lithuania,16,2
Luxembourg,16,2
Malta,14,2
Montenegro,16,2
Netherlands,12,2
North Macedonia,16,2
Norway,16,2
Poland,16,2
Portugal,16,2
Republic of Moldova,16,2
Romania,16,2
Serbia,16,2
Slovakia,16,2
Slovenia,12,2
Spain,16,2
Sweden,16,2
Switzerland,16,2
Tajikistan,16,2
Turkmenistan,2,2
Türkiye,16,2
Ukraine,16,2
Uzbekistan,2,2
