Year,GeoAreaName,Age,Sex,Value
2005,Albania,ALLAGE,BOTHSEX,7
2006,Albania,ALLAGE,BOTHSEX,6
2017,Albania,<18Y,FEMALE,18
2017,Albania,<18Y,BOTHSEX,22
2018,Albania,18+,BOTHSEX,5
2018,Albania,<18Y,MALE,14
2018,Albania,<18Y,FEMALE,11
2018,Latvia,18+,FEMALE,10
2018,Latvia,ALLAGE,BOTHSEX,11
2018,Latvia,18+,BOTHSEX,11
2019,Latvia,18+,BOTHSEX,27
2019,Latvia,18+,MALE,23
2018,Albania,<18Y,BOTHSEX,25
2019,Albania,<18Y,BOTHSEX,23
2019,Albania,<18Y,MALE,8
2019,Albania,<18Y,FEMALE,15
2019,Latvia,ALLAGE,BOTHSEX,28
2019,Latvia,18+,FEMALE,5
2020,Latvia,18+,BOTHSEX,37
2020,Albania,<18Y,BOTHSEX,25
2020,Albania,<18Y,FEMALE,17
2020,Albania,<18Y,MALE,8
2020,Latvia,18+,FEMALE,34
2020,Latvia,ALLAGE,BOTHSEX,37
2021,Albania,ALLAGE,BOTHSEX,16
2006,Azerbaijan,ALLAGE,BOTHSEX,9
2009,Azerbaijan,ALLAGE,BOTHSEX,11
2012,Azerbaijan,ALLAGE,BOTHSEX,17
2013,Azerbaijan,ALLAGE,BOTHSEX,16
2014,Lithuania,ALLAGE,BOTHSEX,6
2014,Lithuania,18+,FEMALE,5
2015,Lithuania,ALLAGE,BOTHSEX,5
2016,Lithuania,18+,FEMALE,9
2016,Lithuania,ALLAGE,BOTHSEX,12
2017,Lithuania,18+,MALE,11
2017,Lithuania,18+,FEMALE,24
2017,Lithuania,ALLAGE,BOTHSEX,35
2007,Austria,ALLAGE,BOTHSEX,64
2008,Austria,ALLAGE,BOTHSEX,80
2009,Austria,ALLAGE,BOTHSEX,58
2017,Austria,18+,MALE,46
2018,Austria,18+,MALE,33
2019,Austria,18+,MALE,40
2020,Austria,18+,MALE,42
2020,Austria,ALLAGE,BOTHSEX,83
2020,Austria,18+,FEMALE,41
2009,Armenia,ALLAGE,BOTHSEX,16
2013,Armenia,ALLAGE,BOTHSEX,6
2015,Armenia,ALLAGE,BOTHSEX,9
2016,Armenia,ALLAGE,BOTHSEX,21
2017,Armenia,ALLAGE,BOTHSEX,9
2018,Armenia,ALLAGE,BOTHSEX,27
2018,Armenia,18+,FEMALE,23
2019,Armenia,ALLAGE,BOTHSEX,5
2005,Belgium,ALLAGE,BOTHSEX,57
2006,Belgium,ALLAGE,BOTHSEX,65
2007,Belgium,ALLAGE,BOTHSEX,290
2008,Belgium,ALLAGE,BOTHSEX,204
2009,Belgium,ALLAGE,BOTHSEX,200
2012,Belgium,ALLAGE,BOTHSEX,65
2013,Belgium,ALLAGE,BOTHSEX,79
2014,Belgium,ALLAGE,BOTHSEX,86
