Year,GeoAreaName,Education level,Value
2000,Croatia,LOWSEC,1.0
2000,Croatia,PREPRI,0.88472
2000,Croatia,PRIMAR,1.0
2000,Croatia,UPPSEC,1.0
2000,Croatia,SECOND,1.0
2001,Croatia,SECOND,1.0
2001,Croatia,UPPSEC,1.0
2001,Croatia,PRIMAR,1.0
2001,Croatia,PREPRI,0.85625
2001,Croatia,LOWSEC,1.0
2002,Croatia,LOWSEC,1.0
2002,Croatia,PREPRI,0.85377
2002,Croatia,PRIMAR,1.0
2002,Croatia,UPPSEC,1.0
2002,Croatia,SECOND,1.0
2003,Croatia,SECOND,1.0
2003,Croatia,UPPSEC,1.0
2003,Croatia,PRIMAR,1.0
2003,Croatia,PREPRI,0.83794
2003,Croatia,LOWSEC,1.0
2019,Republic of Moldova,LOWSEC,1.0
2019,Republic of Moldova,PRIMAR,1.0
2019,Republic of Moldova,UPPSEC,1.0
2019,Republic of Moldova,SECOND,1.0
2019,Republic of Moldova,PREPRI,1.0
2020,Republic of Moldova,SECOND,1.0
2020,Republic of Moldova,UPPSEC,1.0
2020,Republic of Moldova,PRIMAR,1.0
2020,Republic of Moldova,LOWSEC,1.0
2020,Republic of Moldova,PREPRI,1.0
2018,Albania,PRIMAR,1.07191
2018,Albania,LOWSEC,1.17419
2018,Albania,PREPRI,2.0
2020,Albania,LOWSEC,0.78184
2020,Albania,SECOND,0.91184
2020,Albania,UPPSEC,1.15123
2021,Albania,UPPSEC,1.0422
2021,Albania,SECOND,0.9142
2021,Albania,LOWSEC,0.85507
2021,Albania,PRIMAR,0.83207
2021,Albania,PREPRI,2.0
2000,Azerbaijan,PRIMAR,0.99938
2000,Azerbaijan,PREPRI,1.36833
2001,Azerbaijan,PREPRI,2.0
2001,Azerbaijan,PRIMAR,1.00004
2002,Azerbaijan,PRIMAR,1.0
2002,Azerbaijan,PREPRI,2.0
2003,Azerbaijan,PREPRI,0.82725
2003,Azerbaijan,PRIMAR,1.00293
