Year,GeoAreaName,Sampling Stations,Value
2011,Belgium,R-VBELGICA,8.102
2012,Belgium,R-VBELGICA,8.161
2013,Belgium,W07,7.95
2013,Belgium,W05,8.033
2013,Belgium,W02,7.91
2013,Belgium,R-VBELGICA,8.477
2013,Belgium,W09,8.005
2013,Belgium,W08,8.18
2013,Belgium,W01,8.115
2013,Belgium,S03,8.17
2013,Belgium,S01,8.165
2013,Belgium,W10,7.985
2013,Belgium,W03,7.91
2013,Belgium,W04,8.045
2013,Belgium,W06,8.037
2014,Belgium,S01,8.29
2014,Belgium,W07,8.404
2014,Belgium,W05,8.396
2014,Belgium,W06,8.356
2014,Belgium,W04,8.338
2014,Belgium,W10,8.34
2014,Belgium,W08,8.322
2014,Belgium,W01,8.304
2014,Belgium,S03,8.315
2014,Belgium,W09,8.36
2014,Belgium,R-VBELGICA,8.503
2014,Belgium,W03,8.342
2014,Belgium,W02,8.288
2015,Belgium,W09,8.25
2015,Belgium,W08,8.25
2015,Belgium,W10,8.213
2015,Belgium,W02,8.295
2015,Belgium,S03,8.3
2015,Belgium,W01,8.13
2015,Belgium,W03,8.26
2015,Belgium,W04,8.188
2015,Belgium,W05,8.268
2015,Belgium,W07,8.233
2015,Belgium,W06,8.26
2015,Belgium,R-VBELGICA,8.502
2015,Belgium,S01,8.64
2016,Belgium,W04,8.175
2016,Belgium,W10,8.165
2016,Belgium,W08,8.19
2016,Belgium,W07,8.2
2016,Belgium,W09,8.165
2016,Belgium,W06,8.19
2016,Belgium,W03,8.21
2016,Belgium,W02,8.25
2017,Belgium,W01,8.28
2017,Belgium,W05,8.28
2017,Belgium,W09,8.335
2017,Belgium,VLIZLWSTATION,7.882
2017,Belgium,W10,8.345
2017,Belgium,W06,8.385
2017,Belgium,W08,8.335
2017,Belgium,W07,8.345
2017,Belgium,W04,8.305
2017,Belgium,W02,8.32
2017,Belgium,W03,8.355
2018,Belgium,W02,8.42
2018,Belgium,W07,8.405
2018,Belgium,W10,8.405
2018,Belgium,VLIZLWSTATION,7.906
2018,Belgium,W09,8.36
2018,Belgium,W08,8.203
2018,Belgium,W06,8.385
2018,Belgium,MOW1,8.34
2018,Belgium,W03,8.324
2018,Belgium,W04,8.335
2018,Belgium,W05,8.235
2018,Belgium,W01,8.291
2019,Belgium,W08,7.817
2019,Belgium,VLIZLWSTATION,7.944
2019,Belgium,W03,7.818
2019,Belgium,MOW1,7.6
2019,Belgium,W05,7.791
2020,Belgium,VLIZLWSTATION,7.943
2020,Belgium,W08,8.213
2020,Belgium,W03,8.254
2020,Belgium,W05,8.161
2020,Belgium,MOW1,8.127
2021,Belgium,VLIZLWSTATION,7.871
2019,Estonia,ESSA1,7.783
2020,Estonia,SJA,7.988
2020,Estonia,ESSA2,7.844
2021,Estonia,SJA2,7.566
2021,Estonia,ESSA3,7.885
2019,Finland,IU1,8.185
2019,Finland,GF2,8.418
2019,Finland,US3,8.159
2019,Finland,FI-US5B,8.116
2019,Finland,US6B,8.078
2019,Finland,CVI,7.84
2019,Finland,FI-F13,7.958
2019,Finland,F15,7.975
2019,Finland,FI-F16,7.876
2019,Finland,TROSKAH,8.263
2019,Finland,LL6A,8.431
2019,Finland,SS29,8.32
2019,Finland,LL15,8.5
2019,Finland,MS2,8.245
2019,Finland,MS3,8.235
2019,Finland,MS6,8.187
2019,Finland,F64,8.268
2019,Finland,F69,8.288
2019,Finland,GF1,8.432
2019,Finland,LL12,8.489
2019,Finland,LL17,8.543
2019,Finland,IU3,8.266
2019,Finland,IU5,8.313
2019,Finland,FI-F2,7.823
2019,Finland,SR8,8.26
2019,Finland,39A,7.988
2019,Finland,AMN,8.463
2019,Finland,BO3,7.868
2019,Finland,BY29,8.463
2019,Finland,CV,7.855
2019,Finland,LL7S,8.45
2019,Finland,LL9,8.328
2019,Finland,F18,8.128
2019,Finland,LL5,8.363
2019,Finland,LL7,8.56
2019,Finland,RR7,7.85
2019,Finland,SR1A,8.205
2019,Finland,SR3,8.256
2019,Finland,FI-SR5,8.298
2019,Finland,SR7,8.329
2019,Finland,MS9,8.212
2019,Finland,RR3,7.878
2019,Finland,RR6,7.817
2019,Finland,LL3A,8.33
2019,Finland,F26,8.102
2019,Finland,LL19,8.513
2019,Finland,F33,8.268
2019,Finland,F62,8.266
2019,Finland,IU7,8.305
2019,Finland,JML,8.293
2019,Finland,LL11,8.384
2019,Finland,US7,7.935
2019,Finland,UUS-23LANGDEN,8.507
2019,Finland,XII3,8.371
2019,Finland,XIV3,8.19
2019,Finland,XV1,8.271
2010,France,SURATLANT,8.084
2010,France,OVIDE-2010,8.12
