Year,GeoAreaName,Age,Freq,Location,Sex,Value
2000,Armenia,,,,,54.0
2001,Armenia,,,,,57.0
2002,Armenia,,,,,59.0
2003,Armenia,,,,,64.0
2004,Armenia,,,,,69.0
2005,Armenia,,,,,92.0
2006,Armenia,,,,,75.0
2007,Armenia,,,,,72.0
2008,Armenia,,,,,71.0
2009,Armenia,,,,,68.0
2010,Armenia,,,,,61.0
2011,Armenia,,,,,55.0
2012,Armenia,,,,,53.0
2013,Armenia,,,,,60.0
2014,Armenia,,,,,57.0
2015,Armenia,,,,,50.0
2016,Armenia,,,,,44.0
2017,Armenia,,,,,36.0
2018,Armenia,,,,,31.0
2019,Armenia,,,,,26.0
2020,Armenia,,,,,25.0
2021,Armenia,,,,,27.0
2000,Belgium,,,,,14.0
2001,Belgium,,,,,15.0
2002,Belgium,,,,,13.0
2003,Belgium,,,,,12.0
2004,Belgium,,,,,12.0
2005,Belgium,,,,,12.0
2006,Belgium,,,,,11.0
2007,Belgium,,,,,10.0
2008,Belgium,,,,,10.0
2009,Belgium,,,,,9.8
2010,Belgium,,,,,11.0
2011,Belgium,,,,,10.0
2012,Belgium,,,,,9.5
2013,Belgium,,,,,9.4
2014,Belgium,,,,,9.1
2015,Belgium,,,,,9.5
2016,Belgium,,,,,10.0
2017,Belgium,,,,,9.3
2018,Belgium,,,,,9.2
2019,Belgium,,,,,8.9
2020,Belgium,,,,,7.7
2021,Belgium,,,,,8.1
2000,Bosnia and Herzegovina,,,,,83.0
2001,Bosnia and Herzegovina,,,,,82.0
2002,Bosnia and Herzegovina,,,,,56.0
2003,Bosnia and Herzegovina,,,,,59.0
2004,Bosnia and Herzegovina,,,,,78.0
2005,Bosnia and Herzegovina,,,,,70.0
2006,Bosnia and Herzegovina,,,,,59.0
2007,Bosnia and Herzegovina,,,,,79.0
2008,Bosnia and Herzegovina,,,,,57.0
2000,Latvia,,,,,95.0
2001,Latvia,,,,,97.0
2002,Latvia,,,,,89.0
2003,Latvia,,,,,85.0
2004,Latvia,,,,,80.0
2005,Latvia,,,,,73.0
2006,Latvia,,,,,67.0
2007,Latvia,,,,,65.0
2008,Latvia,,,,,56.0
2020,Turkmenistan,,,,,46.0
2021,Turkmenistan,,,,,47.0
2000,Ukraine,,,,,114.0
2001,Ukraine,,,,,119.0
2002,Ukraine,,,,,123.0
2003,Ukraine,,,,,126.0
2004,Ukraine,,,,,127.0
2005,Ukraine,,,,,127.0
2006,Ukraine,,,,,125.0
2000,Albania,,,,,22.0
2001,Albania,,,,,20.0
2002,Albania,,,,,22.0
2003,Albania,,,,,20.0
2004,Albania,,,,,20.0
2005,Albania,,,,,19.0
2006,Albania,,,,,18.0
2007,Albania,,,,,17.0
2008,Albania,,,,,16.0
2009,Bosnia and Herzegovina,,,,,58.0
2010,Bosnia and Herzegovina,,,,,45.0
2011,Bosnia and Herzegovina,,,,,46.0
2012,Bosnia and Herzegovina,,,,,49.0
2013,Bosnia and Herzegovina,,,,,44.0
2014,Bosnia and Herzegovina,,,,,43.0
2015,Bosnia and Herzegovina,,,,,40.0
2016,Bosnia and Herzegovina,,,,,33.0
2017,Bosnia and Herzegovina,,,,,29.0
2009,Latvia,,,,,51.0
2010,Latvia,,,,,50.0
2011,Latvia,,,,,48.0
2012,Latvia,,,,,54.0
2013,Latvia,,,,,49.0
2014,Latvia,,,,,42.0
2015,Latvia,,,,,40.0
2016,Latvia,,,,,37.0
2017,Latvia,,,,,32.0
2009,Albania,,,,,17.0
